perfil_adaptativa,perfil_centralizada,metrica,estimando,pares_previstos,pares_retidos,pares_indefinidos,estatuto,media,ic95_inf,ic95_sup,N_instancias,sinal,evidencia,tau_inicial_A,tau_min_A,p_reporte_A,p_deteccao_A,tau_inicial_C,tau_min_C,p_reporte_C,p_deteccao_C,regiao
0,0,atraso_relativo,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,atraso_relativo,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,taxa_omissao,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,taxa_omissao,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,divida_latente_sobre_plano,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,divida_latente_sobre_plano,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,taxa_falha_efetiva,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,taxa_falha_efetiva,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,fracao_porta1,observado,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
0,0,fracao_porta1,pares_completos,16,16,0,COMPLETO,0.0,0.0,0.0,4,zero,inclui_zero,0.25,0.25,0.15,0.03,0.25,0.25,0.15,0.03,perfis_identicos
