regiao,metrica,sinal,evidencia,estatuto,N_contrastes
inclui_inversao_de_premissa,atraso_relativo,negativo,inclui_zero,COMPLETO,1225
inclui_inversao_de_premissa,atraso_relativo,negativo,negativo,COMPLETO,905
inclui_inversao_de_premissa,atraso_relativo,positivo,inclui_zero,COMPLETO,1509
inclui_inversao_de_premissa,atraso_relativo,positivo,positivo,COMPLETO,1599
inclui_inversao_de_premissa,atraso_relativo,zero,inclui_zero,COMPLETO,27
inclui_inversao_de_premissa,divida_latente_sobre_plano,negativo,inclui_zero,COMPLETO,1183
inclui_inversao_de_premissa,divida_latente_sobre_plano,negativo,negativo,COMPLETO,912
inclui_inversao_de_premissa,divida_latente_sobre_plano,positivo,inclui_zero,COMPLETO,1515
inclui_inversao_de_premissa,divida_latente_sobre_plano,positivo,positivo,COMPLETO,1627
inclui_inversao_de_premissa,divida_latente_sobre_plano,zero,inclui_zero,COMPLETO,28
inclui_inversao_de_premissa,fracao_porta1,negativo,inclui_zero,COMPLETO,1268
inclui_inversao_de_premissa,fracao_porta1,negativo,negativo,COMPLETO,1124
inclui_inversao_de_premissa,fracao_porta1,positivo,inclui_zero,COMPLETO,1134
inclui_inversao_de_premissa,fracao_porta1,positivo,positivo,COMPLETO,1690
inclui_inversao_de_premissa,fracao_porta1,zero,inclui_zero,COMPLETO,49
inclui_inversao_de_premissa,taxa_falha_efetiva,negativo,inclui_zero,COMPLETO,2045
inclui_inversao_de_premissa,taxa_falha_efetiva,negativo,negativo,COMPLETO,235
inclui_inversao_de_premissa,taxa_falha_efetiva,positivo,inclui_zero,COMPLETO,2560
inclui_inversao_de_premissa,taxa_falha_efetiva,positivo,positivo,COMPLETO,375
inclui_inversao_de_premissa,taxa_falha_efetiva,zero,inclui_zero,COMPLETO,50
inclui_inversao_de_premissa,taxa_omissao,negativo,inclui_zero,COMPLETO,597
inclui_inversao_de_premissa,taxa_omissao,negativo,negativo,COMPLETO,1539
inclui_inversao_de_premissa,taxa_omissao,positivo,inclui_zero,COMPLETO,872
inclui_inversao_de_premissa,taxa_omissao,positivo,positivo,COMPLETO,2223
inclui_inversao_de_premissa,taxa_omissao,zero,inclui_zero,COMPLETO,34
ordenacao_historica,atraso_relativo,negativo,inclui_zero,COMPLETO,386
ordenacao_historica,atraso_relativo,negativo,negativo,COMPLETO,697
ordenacao_historica,atraso_relativo,positivo,inclui_zero,COMPLETO,102
ordenacao_historica,atraso_relativo,positivo,positivo,COMPLETO,3
ordenacao_historica,atraso_relativo,zero,inclui_zero,COMPLETO,27
ordenacao_historica,divida_latente_sobre_plano,negativo,inclui_zero,COMPLETO,401
ordenacao_historica,divida_latente_sobre_plano,negativo,negativo,COMPLETO,716
ordenacao_historica,divida_latente_sobre_plano,positivo,inclui_zero,COMPLETO,69
ordenacao_historica,divida_latente_sobre_plano,positivo,positivo,COMPLETO,1
ordenacao_historica,divida_latente_sobre_plano,zero,inclui_zero,COMPLETO,28
ordenacao_historica,fracao_porta1,negativo,inclui_zero,COMPLETO,227
ordenacao_historica,fracao_porta1,negativo,negativo,COMPLETO,577
ordenacao_historica,fracao_porta1,positivo,inclui_zero,COMPLETO,361
ordenacao_historica,fracao_porta1,positivo,positivo,COMPLETO,11
ordenacao_historica,fracao_porta1,zero,inclui_zero,COMPLETO,39
ordenacao_historica,taxa_falha_efetiva,negativo,inclui_zero,COMPLETO,771
ordenacao_historica,taxa_falha_efetiva,negativo,negativo,COMPLETO,144
ordenacao_historica,taxa_falha_efetiva,positivo,inclui_zero,COMPLETO,256
ordenacao_historica,taxa_falha_efetiva,positivo,positivo,COMPLETO,4
ordenacao_historica,taxa_falha_efetiva,zero,inclui_zero,COMPLETO,40
ordenacao_historica,taxa_omissao,negativo,inclui_zero,COMPLETO,384
ordenacao_historica,taxa_omissao,negativo,negativo,COMPLETO,687
ordenacao_historica,taxa_omissao,positivo,inclui_zero,COMPLETO,109
ordenacao_historica,taxa_omissao,positivo,positivo,COMPLETO,3
ordenacao_historica,taxa_omissao,zero,inclui_zero,COMPLETO,32
perfis_identicos,atraso_relativo,zero,inclui_zero,COMPLETO,81
perfis_identicos,divida_latente_sobre_plano,zero,inclui_zero,COMPLETO,81
perfis_identicos,fracao_porta1,zero,inclui_zero,COMPLETO,81
perfis_identicos,taxa_falha_efetiva,zero,inclui_zero,COMPLETO,81
perfis_identicos,taxa_omissao,zero,inclui_zero,COMPLETO,81
