populacao,cenario,inferior,superior,N,fracao
todas_decisoes,ambos,0.0,0.01,0,0.0
todas_decisoes,ambos,0.01,0.02,0,0.0
todas_decisoes,ambos,0.02,0.03,834,0.010513444350599418
todas_decisoes,ambos,0.03,0.04,4944,0.06232430320067568
todas_decisoes,ambos,0.04,0.05,12594,0.1587605733230804
todas_decisoes,ambos,0.05,0.06,14654,0.1847290329900286
todas_decisoes,ambos,0.06,0.07,10476,0.13206096284997543
todas_decisoes,ambos,0.07,0.08,7933,0.10000378181451461
todas_decisoes,ambos,0.08,0.09,5049,0.06364793828078712
todas_decisoes,ambos,0.09,0.1,3281,0.04136044474138692
todas_decisoes,ambos,0.1,0.11,2246,0.028313184666002748
todas_decisoes,ambos,0.11,0.12,1562,0.019690647572705385
todas_decisoes,ambos,0.12,0.13,1136,0.014320470961967553
todas_decisoes,ambos,0.13,0.14,915,0.011534534269542526
todas_decisoes,ambos,0.14,0.15,704,0.008874658060937637
todas_decisoes,ambos,0.15,0.16,659,0.008307385883747022
todas_decisoes,ambos,0.16,0.17,437,0.005508843142939983
todas_decisoes,ambos,0.17,0.18,351,0.004424722982086805
todas_decisoes,ambos,0.18,0.19,389,0.004903752820603326
todas_decisoes,ambos,0.19,0.2,241,0.003038057660065299
todas_decisoes,ambos,0.2,0.21,220,0.0027733306440430117
todas_decisoes,ambos,0.21,0.22,242,0.003050663708447313
todas_decisoes,ambos,0.22,0.23,181,0.002281694757144478
todas_decisoes,ambos,0.23,0.24,127,0.0016009681445157387
todas_decisoes,ambos,0.24,0.25,135,0.0017018165315718483
todas_decisoes,ambos,0.25,0.26,132,0.001663998386425807
todas_decisoes,ambos,0.26,0.27,99,0.0012479987898193553
todas_decisoes,ambos,0.27,0.28,92,0.0011597564511452595
todas_decisoes,ambos,0.28,0.29,87,0.0010967262092351911
todas_decisoes,ambos,0.29,0.3,78,0.0009832717737970678
todas_decisoes,ambos,0.3,0.31,93,0.0011723624995272732
todas_decisoes,ambos,0.31,0.32,81,0.0010210899189431089
todas_decisoes,ambos,0.32,0.33,71,0.000895029435122972
todas_decisoes,ambos,0.33,0.34,69,0.0008698173383589446
todas_decisoes,ambos,0.34,0.35000000000000003,63,0.0007941810480668625
