concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,taxa_falha_efetiva,E_plano,retrabalho_sobre_esforco_total,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,N_req,N_fail,N_blocked,N_success,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,kind,celula,arquivo,semente,cenario,violacoes,atraso_relativo,fracao_porta1,n_selecoes_p1,fracao_fuga_p1
True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,0.26666666666666666,323.0,0.17788585969395274,0.2163761100468743,0.08894242034778303,0.09628116280705729,31,0,0,121,29,121,22,4,99,0.6268507180531939,0.4857196752206667,16,60,0,0,99,0,0.6268507180531939,nenhuma,69.88948354514038,0.0,78,0,terminal,0.25,GOV,0,j6010_1.sm,0,centralizada,0,2.411764705882353,0.5166666666666667,31,0.0
True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,0.26666666666666666,323.0,0.17788585969395274,0.2163761100468743,0.08894242034778303,0.09628116280705729,31,0,0,121,29,121,22,4,99,0.6268507180531939,0.4857196752206667,16,60,0,0,99,0,0.6268507180531939,nenhuma,69.88948354514038,0.0,78,0,terminal,0.25,GOV,0,j6010_1.sm,0,adaptativa,0,2.411764705882353,0.5166666666666667,31,0.0
True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,0.2833333333333333,323.0,0.18550912389248805,0.22776083727179905,0.080676008929519,0.11204763322179441,30,0,0,65,30,65,7,6,58,0.6586427040007742,0.39362113220747674,14,60,0,0,58,0,0.6586427040007742,nenhuma,73.56675043879109,0.0,81,0,terminal,0.25,GOV,0,j6010_1.sm,1,centralizada,0,3.0352941176470587,0.5,30,0.0
True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,0.2833333333333333,323.0,0.18550912389248805,0.22776083727179905,0.080676008929519,0.11204763322179441,30,0,0,65,30,65,7,6,58,0.6586427040007742,0.39362113220747674,14,60,0,0,58,0,0.6586427040007742,nenhuma,73.56675043879109,0.0,81,0,terminal,0.25,GOV,0,j6010_1.sm,1,adaptativa,0,3.0352941176470587,0.5,30,0.0
True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,0.36666666666666664,323.0,0.2083453811741394,0.263177118177048,0.12674635278409738,0.12006421422588559,33,0,0,98,27,98,8,17,90,0.7659648859265082,0.2570239140832174,4,60,0,0,90,0,0.7659648859265082,nenhuma,85.0062091711865,0.0,95,0,terminal,0.25,GOV,0,j6010_1.sm,2,centralizada,0,2.376470588235294,0.55,33,0.0
True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,0.36666666666666664,323.0,0.2083453811741394,0.263177118177048,0.12674635278409738,0.12006421422588559,33,0,0,98,27,98,8,17,90,0.7659648859265082,0.2570239140832174,4,60,0,0,90,0,0.7659648859265082,nenhuma,85.0062091711865,0.0,95,0,terminal,0.25,GOV,0,j6010_1.sm,2,adaptativa,0,2.376470588235294,0.55,33,0.0
True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,0.3,323.0,0.18796984292972746,0.2314813573031632,0.05040944109350287,0.09256176789195182,40,0,0,207,20,207,3,2,204,0.794910294566222,0.24332019624229823,3,60,0,0,204,0,0.794910294566222,nenhuma,74.76847840892171,0.0,81,0,terminal,0.25,GOV,0,j6010_1.sm,3,centralizada,0,2.611764705882353,0.6666666666666666,40,0.0
True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,0.3,323.0,0.18796984292972746,0.2314813573031632,0.05040944109350287,0.09256176789195182,40,0,0,207,20,207,3,2,204,0.794910294566222,0.24332019624229823,3,60,0,0,204,0,0.794910294566222,nenhuma,74.76847840892171,0.0,81,0,terminal,0.25,GOV,0,j6010_1.sm,3,adaptativa,0,2.611764705882353,0.6666666666666666,40,0.0
True,266,76,0.7324995834947552,0.0,24.993796178479236,233.0,531.0,0.0,121.0,72.91508796032242,43,17,1,0,0.2833333333333333,0.3,332.0,0.1800750086335814,0.2196237589166338,0.07528251860987722,0.10058431555822903,32,0,0,121,28,121,10,0,111,0.6268507180531939,0.4857196752206667,18,60,0,0,111,0,0.6268507180531939,nenhuma,72.91508796032244,0.0,81,0,terminal,0.25,GOV,0,j6021_1.sm,0,centralizada,0,3.5,0.5333333333333333,32,0.0
True,266,76,0.7324995834947552,0.0,24.993796178479236,233.0,531.0,0.0,121.0,72.91508796032242,43,17,1,0,0.2833333333333333,0.3,332.0,0.1800750086335814,0.2196237589166338,0.07528251860987722,0.10058431555822903,32,0,0,121,28,121,10,0,111,0.6268507180531939,0.4857196752206667,18,60,0,0,111,0,0.6268507180531939,nenhuma,72.91508796032244,0.0,81,0,terminal,0.25,GOV,0,j6021_1.sm,0,adaptativa,0,3.5,0.5333333333333333,32,0.0
