modo,tau_varrida,canal,tau_sat,s_transicao,N,completas,hiato_sem_confianca_medio,N_req_medio
portao,0.600001,ativo,1.0,0.01,7,7,3.5714285714285716,287.85714285714283
portao,0.600001,ativo,1.4,0.01,11,11,3.1818181818181817,320.27272727272725
portao,0.600001,desligado,1.0,0.01,7,7,4.142857142857143,284.57142857142856
portao,0.600001,desligado,1.4,0.01,11,11,4.636363636363637,330.09090909090907
portao,0.8,ativo,1.0,0.01,7,7,0.0,300.14285714285717
portao,0.8,ativo,1.4,0.01,11,11,0.18181818181818182,327.09090909090907
portao,0.8,desligado,1.0,0.01,7,7,0.0,295.57142857142856
portao,0.8,desligado,1.4,0.01,11,11,0.09090909090909091,334.90909090909093
portao,1.0,ativo,1.0,0.01,7,7,0.0,300.14285714285717
portao,1.0,ativo,1.4,0.01,11,11,0.18181818181818182,327.09090909090907
portao,1.0,desligado,1.0,0.01,7,7,0.0,295.57142857142856
portao,1.0,desligado,1.4,0.01,11,11,0.09090909090909091,334.90909090909093
principal,0.25,ativo,1.0,0.01,7,0,106390.28571428571,0.0
principal,0.25,ativo,1.4,0.01,11,0,107266.54545454546,0.0
principal,0.25,desligado,1.0,0.01,7,0,106390.28571428571,0.0
principal,0.25,desligado,1.4,0.01,11,0,107266.54545454546,0.0
principal,0.59,ativo,1.0,0.01,7,0,106382.0,0.0
principal,0.59,ativo,1.4,0.01,11,0,107261.27272727272,0.0
principal,0.59,desligado,1.0,0.01,7,0,106382.0,0.0
principal,0.59,desligado,1.4,0.01,11,0,107261.27272727272,0.0
principal,0.6,ativo,1.0,0.01,7,0,106382.0,0.0
principal,0.6,ativo,1.4,0.01,11,0,107261.27272727272,0.0
principal,0.6,desligado,1.0,0.01,7,0,106382.0,0.0
principal,0.6,desligado,1.4,0.01,11,0,107261.27272727272,0.0
principal,0.600001,ativo,1.0,0.01,7,7,16.571428571428573,291.85714285714283
principal,0.600001,ativo,1.4,0.01,11,11,13.181818181818182,349.54545454545456
principal,0.600001,desligado,1.0,0.01,7,7,16.0,290.57142857142856
principal,0.600001,desligado,1.4,0.01,11,11,13.090909090909092,357.90909090909093
principal,0.61,ativo,1.0,0.01,7,7,16.428571428571427,291.85714285714283
principal,0.61,ativo,1.4,0.01,11,11,13.090909090909092,349.54545454545456
principal,0.61,desligado,1.0,0.01,7,7,15.857142857142858,290.57142857142856
principal,0.61,desligado,1.4,0.01,11,11,13.0,357.90909090909093
principal,0.65,ativo,1.0,0.01,7,7,3.857142857142857,296.0
principal,0.65,ativo,1.4,0.01,11,11,3.4545454545454546,336.8181818181818
principal,0.65,desligado,1.0,0.01,7,7,3.857142857142857,300.85714285714283
principal,0.65,desligado,1.4,0.01,11,11,3.3636363636363638,347.90909090909093
principal,0.8,ativo,1.0,0.01,7,7,0.0,280.85714285714283
principal,0.8,ativo,1.4,0.01,11,11,0.18181818181818182,351.72727272727275
principal,0.8,desligado,1.0,0.01,7,7,0.0,287.42857142857144
principal,0.8,desligado,1.4,0.01,11,11,0.09090909090909091,353.0
principal,1.0,ativo,1.0,0.01,7,7,0.0,308.85714285714283
principal,1.0,ativo,1.4,0.01,11,11,0.18181818181818182,358.0
principal,1.0,desligado,1.0,0.01,7,7,0.0,307.2857142857143
principal,1.0,desligado,1.4,0.01,11,11,0.09090909090909091,358.0
rede,0.8,ativo,1.0,0.01,7,0,106396.85714285714,0.0
rede,0.8,ativo,1.4,0.01,11,0,107270.72727272728,0.0
rede,0.8,desligado,1.0,0.01,7,0,106396.85714285714,0.0
rede,0.8,desligado,1.4,0.01,11,0,107270.72727272728,0.0
rede,1.0,ativo,1.0,0.01,7,0,106395.42857142857,0.0
rede,1.0,ativo,1.4,0.01,11,0,107269.81818181818,0.0
rede,1.0,desligado,1.0,0.01,7,0,106395.42857142857,0.0
rede,1.0,desligado,1.4,0.01,11,0,107269.81818181818,0.0
