modo,tau_varrida,N,completas,incompletas,sem_tarefas,hiato_sem_confianca_media,hiato_encontrado_media,fracao_hiato_sem_confianca,N_req_medio,N_fail_medio,N_success_medio,TL_medio,confianca_final_media
portao,0.600001,36,36,0,0,3.888888888888889,347.5833333333333,0.011188364101334612,310.02777777777777,42.916666666666664,267.1111111111111,267.1111111111111,0.9346952825379522
portao,0.8,36,36,0,0,0.08333333333333333,351.94444444444446,0.00023677979479084452,318.1111111111111,42.44444444444444,275.6666666666667,275.6666666666667,0.9676051398217287
portao,1.0,36,36,0,0,0.08333333333333333,351.94444444444446,0.00023677979479084452,318.1111111111111,42.44444444444444,275.6666666666667,275.6666666666667,0.98
principal,0.25,36,0,36,24,106925.77777777778,128309.44444444444,0.8333430032430279,0.0,0.0,0.0,0.0,0.25
principal,0.59,36,0,36,24,106919.33333333333,128302.22222222222,0.8333396840792573,0.0,0.0,0.0,0.0,0.59
principal,0.6,36,0,36,24,106919.33333333333,128302.33333333333,0.8333389623987093,0.0,0.0,0.0,0.0,0.6000000000000001
principal,0.600001,36,36,0,0,14.36111111111111,381.0,0.03769320501603966,329.4166666666667,43.77777777777778,285.6388888888889,285.6388888888889,0.9241020648302329
principal,0.61,36,36,0,0,14.25,381.0,0.03740157480314961,329.4166666666667,44.0,285.4166666666667,285.4166666666667,0.9259187046573404
principal,0.65,36,36,0,0,3.5833333333333335,364.30555555555554,0.009836065573770493,325.27777777777777,39.19444444444444,286.0833333333333,286.0833333333333,0.9498582172104513
principal,0.8,36,36,0,0,0.08333333333333333,361.0,0.00023084025854108956,325.8333333333333,42.583333333333336,283.25,283.25,0.9642594883597521
principal,1.0,36,36,0,0,0.08333333333333333,374.52777777777777,0.0002225024104427798,338.5833333333333,43.416666666666664,295.1666666666667,295.1666666666667,0.9780092592592593
rede,0.8,36,0,36,24,106930.88888888889,128315.55555555556,0.8333431471026289,0.0,0.0,0.0,0.0,0.25
rede,1.0,36,0,36,24,106929.77777777778,128314.33333333333,0.8333424255885503,0.0,0.0,0.0,0.0,0.25
