etapa,canal,tau_sat,s_transicao,arquivo,N_pares_retidos
grade,ativo,0.7,0.01,j6010_1.sm,4
grade,ativo,0.7,0.01,j6021_1.sm,4
grade,ativo,0.7,0.01,j6032_1.sm,4
grade,ativo,0.7,0.01,j6043_1.sm,4
grade,ativo,0.7,0.25,j6010_1.sm,4
grade,ativo,0.7,0.25,j6021_1.sm,4
grade,ativo,0.7,0.25,j6032_1.sm,4
grade,ativo,0.7,0.25,j6043_1.sm,4
grade,ativo,0.7,0.6,j6010_1.sm,4
grade,ativo,0.7,0.6,j6021_1.sm,4
grade,ativo,0.7,0.6,j6032_1.sm,4
grade,ativo,0.7,0.6,j6043_1.sm,4
grade,ativo,1.0,0.01,j6010_1.sm,4
grade,ativo,1.0,0.01,j6021_1.sm,1
grade,ativo,1.0,0.01,j6032_1.sm,2
grade,ativo,1.0,0.01,j6043_1.sm,2
grade,ativo,1.0,0.25,j6010_1.sm,4
grade,ativo,1.0,0.25,j6021_1.sm,4
grade,ativo,1.0,0.25,j6032_1.sm,4
grade,ativo,1.0,0.25,j6043_1.sm,4
grade,ativo,1.0,0.6,j6010_1.sm,4
grade,ativo,1.0,0.6,j6021_1.sm,4
grade,ativo,1.0,0.6,j6032_1.sm,4
grade,ativo,1.0,0.6,j6043_1.sm,4
grade,ativo,1.4,0.01,j6021_1.sm,1
grade,ativo,1.4,0.01,j6032_1.sm,2
grade,ativo,1.4,0.01,j6043_1.sm,2
grade,ativo,1.4,0.25,j6010_1.sm,4
grade,ativo,1.4,0.25,j6021_1.sm,4
grade,ativo,1.4,0.25,j6032_1.sm,4
grade,ativo,1.4,0.25,j6043_1.sm,4
grade,ativo,1.4,0.6,j6010_1.sm,4
grade,ativo,1.4,0.6,j6021_1.sm,4
grade,ativo,1.4,0.6,j6032_1.sm,4
grade,ativo,1.4,0.6,j6043_1.sm,4
grade,desligado,0.7,0.01,j6010_1.sm,4
grade,desligado,0.7,0.01,j6021_1.sm,4
grade,desligado,0.7,0.01,j6032_1.sm,4
grade,desligado,0.7,0.01,j6043_1.sm,4
grade,desligado,0.7,0.25,j6010_1.sm,4
grade,desligado,0.7,0.25,j6021_1.sm,4
grade,desligado,0.7,0.25,j6032_1.sm,4
grade,desligado,0.7,0.25,j6043_1.sm,4
grade,desligado,0.7,0.6,j6010_1.sm,4
grade,desligado,0.7,0.6,j6021_1.sm,4
grade,desligado,0.7,0.6,j6032_1.sm,4
grade,desligado,0.7,0.6,j6043_1.sm,4
grade,desligado,1.0,0.01,j6010_1.sm,4
grade,desligado,1.0,0.01,j6021_1.sm,1
grade,desligado,1.0,0.01,j6032_1.sm,2
grade,desligado,1.0,0.01,j6043_1.sm,2
grade,desligado,1.0,0.25,j6010_1.sm,4
grade,desligado,1.0,0.25,j6021_1.sm,4
grade,desligado,1.0,0.25,j6032_1.sm,4
grade,desligado,1.0,0.25,j6043_1.sm,4
grade,desligado,1.0,0.6,j6010_1.sm,4
grade,desligado,1.0,0.6,j6021_1.sm,4
grade,desligado,1.0,0.6,j6032_1.sm,4
grade,desligado,1.0,0.6,j6043_1.sm,4
grade,desligado,1.4,0.01,j6021_1.sm,1
grade,desligado,1.4,0.01,j6032_1.sm,2
grade,desligado,1.4,0.01,j6043_1.sm,2
grade,desligado,1.4,0.25,j6010_1.sm,4
grade,desligado,1.4,0.25,j6021_1.sm,4
grade,desligado,1.4,0.25,j6032_1.sm,4
grade,desligado,1.4,0.25,j6043_1.sm,4
grade,desligado,1.4,0.6,j6010_1.sm,4
grade,desligado,1.4,0.6,j6021_1.sm,4
grade,desligado,1.4,0.6,j6032_1.sm,4
grade,desligado,1.4,0.6,j6043_1.sm,4
nominal,ativo,1.0,0.25,j6010_1.sm,12
nominal,ativo,1.0,0.25,j6013_1.sm,12
nominal,ativo,1.0,0.25,j6016_1.sm,12
nominal,ativo,1.0,0.25,j6019_1.sm,12
nominal,ativo,1.0,0.25,j6021_1.sm,12
nominal,ativo,1.0,0.25,j6024_1.sm,12
nominal,ativo,1.0,0.25,j6027_1.sm,12
nominal,ativo,1.0,0.25,j602_1.sm,12
nominal,ativo,1.0,0.25,j6032_1.sm,12
nominal,ativo,1.0,0.25,j6035_1.sm,12
nominal,ativo,1.0,0.25,j6038_1.sm,12
nominal,ativo,1.0,0.25,j6040_1.sm,12
nominal,ativo,1.0,0.25,j6043_1.sm,12
nominal,ativo,1.0,0.25,j6046_1.sm,12
nominal,ativo,1.0,0.25,j604_1.sm,12
nominal,ativo,1.0,0.25,j607_1.sm,12
nominal,desligado,1.0,0.25,j6010_1.sm,12
nominal,desligado,1.0,0.25,j6013_1.sm,12
nominal,desligado,1.0,0.25,j6016_1.sm,12
nominal,desligado,1.0,0.25,j6019_1.sm,12
nominal,desligado,1.0,0.25,j6021_1.sm,12
nominal,desligado,1.0,0.25,j6024_1.sm,12
nominal,desligado,1.0,0.25,j6027_1.sm,12
nominal,desligado,1.0,0.25,j602_1.sm,12
nominal,desligado,1.0,0.25,j6032_1.sm,12
nominal,desligado,1.0,0.25,j6035_1.sm,12
nominal,desligado,1.0,0.25,j6038_1.sm,12
nominal,desligado,1.0,0.25,j6040_1.sm,12
nominal,desligado,1.0,0.25,j6043_1.sm,12
nominal,desligado,1.0,0.25,j6046_1.sm,12
nominal,desligado,1.0,0.25,j604_1.sm,12
nominal,desligado,1.0,0.25,j607_1.sm,12
