etapa,canal,tau_sat,s_transicao,metrica,N_pares_previstos,N_pares_retidos,N_pares_excluidos,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,0.7,0.01,atraso_relativo,16,16,0,-1.4162901548236888,-2.3248372894007914,-0.5077430202465862,4
grade,ativo,0.7,0.01,taxa_omissao,16,16,0,-0.3052083333333333,-0.3465690128117846,-0.263847653854882,4
grade,ativo,0.7,0.01,divida_latente_sobre_plano,16,16,0,-0.09733614824894538,-0.13997727282231137,-0.05469502367557937,4
grade,ativo,0.7,0.01,taxa_falha_efetiva,16,16,0,-0.10625000000000001,-0.19883425861123966,-0.01366574138876038,4
grade,ativo,0.7,0.01,fracao_porta1,16,16,0,-0.3125,-0.5277485095632359,-0.09725149043676412,4
grade,ativo,0.7,0.25,atraso_relativo,16,16,0,-1.2474464903556135,-1.9652925366646163,-0.5296004440466107,4
grade,ativo,0.7,0.25,taxa_omissao,16,16,0,-0.22083333333333335,-0.2987193316167489,-0.14294733504991783,4
grade,ativo,0.7,0.25,divida_latente_sobre_plano,16,16,0,-0.07218855464963406,-0.10387714979899426,-0.04049995950027386,4
grade,ativo,0.7,0.25,taxa_falha_efetiva,16,16,0,-0.05312499999999999,-0.16529910037051534,0.05904910037051536,4
grade,ativo,0.7,0.25,fracao_porta1,16,16,0,-0.11458333333333333,-0.206691577178319,-0.022475089488347644,4
grade,ativo,0.7,0.6,atraso_relativo,16,16,0,-1.1350008475294515,-1.3778804972442946,-0.8921211978146084,4
grade,ativo,0.7,0.6,taxa_omissao,16,16,0,-0.20520833333333333,-0.2797047770275728,-0.13071188963909383,4
grade,ativo,0.7,0.6,divida_latente_sobre_plano,16,16,0,-0.06359177385680019,-0.0991851453615236,-0.027998402352076776,4
grade,ativo,0.7,0.6,taxa_falha_efetiva,16,16,0,-0.046875,-0.1320186221052991,0.038268622105299105,4
grade,ativo,0.7,0.6,fracao_porta1,16,16,0,-0.04062499999999998,-0.09952349721877919,0.01827349721877923,4
grade,ativo,1.0,0.01,atraso_relativo,16,9,7,-1.7935854795770325,-4.977522230593987,1.390351271439922,4
grade,ativo,1.0,0.01,taxa_omissao,16,9,7,-0.265625,-0.30249016476806945,-0.22875983523193055,4
grade,ativo,1.0,0.01,divida_latente_sobre_plano,16,9,7,-0.10837751584409001,-0.1666871850700861,-0.05006784661809394,4
grade,ativo,1.0,0.01,taxa_falha_efetiva,16,9,7,-0.0625,-0.16202508751452582,0.03702508751452582,4
grade,ativo,1.0,0.01,fracao_porta1,16,9,7,-0.26875,-0.4570182797387323,-0.08048172026126768,4
grade,ativo,1.0,0.25,atraso_relativo,16,16,0,-1.050749736393413,-1.8918157843693875,-0.20968368841743878,4
grade,ativo,1.0,0.25,taxa_omissao,16,16,0,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528,4
grade,ativo,1.0,0.25,divida_latente_sobre_plano,16,16,0,-0.06798481822994895,-0.08943409122398423,-0.046535545235913675,4
grade,ativo,1.0,0.25,taxa_falha_efetiva,16,16,0,-0.047916666666666656,-0.11410703751379828,0.01827370418046497,4
