cenario,canal,tau_sat,s_transicao,N,completas,N_grade
adaptativa,ativo,0.7,0.01,16,16,576
adaptativa,ativo,0.7,0.25,16,16,576
adaptativa,ativo,0.7,0.6,16,16,576
adaptativa,ativo,1.0,0.01,16,16,576
adaptativa,ativo,1.0,0.25,16,16,576
adaptativa,ativo,1.0,0.6,16,16,576
adaptativa,ativo,1.4,0.01,16,16,576
adaptativa,ativo,1.4,0.25,16,16,576
adaptativa,ativo,1.4,0.6,16,16,576
adaptativa,desligado,0.7,0.01,16,16,576
adaptativa,desligado,0.7,0.25,16,16,576
adaptativa,desligado,0.7,0.6,16,16,576
adaptativa,desligado,1.0,0.01,16,16,576
adaptativa,desligado,1.0,0.25,16,16,576
adaptativa,desligado,1.0,0.6,16,16,576
adaptativa,desligado,1.4,0.01,16,16,576
adaptativa,desligado,1.4,0.25,16,16,576
adaptativa,desligado,1.4,0.6,16,16,576
centralizada,ativo,0.7,0.01,16,16,576
centralizada,ativo,0.7,0.25,16,16,576
centralizada,ativo,0.7,0.6,16,16,576
centralizada,ativo,1.0,0.01,16,9,576
centralizada,ativo,1.0,0.25,16,16,576
centralizada,ativo,1.0,0.6,16,16,576
centralizada,ativo,1.4,0.01,16,5,576
centralizada,ativo,1.4,0.25,16,16,576
centralizada,ativo,1.4,0.6,16,16,576
centralizada,desligado,0.7,0.01,16,16,576
centralizada,desligado,0.7,0.25,16,16,576
centralizada,desligado,0.7,0.6,16,16,576
centralizada,desligado,1.0,0.01,16,9,576
centralizada,desligado,1.0,0.25,16,16,576
centralizada,desligado,1.0,0.6,16,16,576
centralizada,desligado,1.4,0.01,16,5,576
centralizada,desligado,1.4,0.25,16,16,576
centralizada,desligado,1.4,0.6,16,16,576
