etapa,canal,tau_sat,s_transicao,metrica,cenario,N_total,N_completas,media_marginal_completas
grade,ativo,0.7,0.01,atraso_relativo,adaptativa,16,16,2.278098608182149
grade,ativo,0.7,0.01,atraso_relativo,centralizada,16,16,3.694388763005838
grade,ativo,0.7,0.01,taxa_omissao,adaptativa,16,16,0.07812499999999999
grade,ativo,0.7,0.01,taxa_omissao,centralizada,16,16,0.3833333333333333
grade,ativo,0.7,0.01,divida_latente_sobre_plano,adaptativa,16,16,0.025475056931208336
grade,ativo,0.7,0.01,divida_latente_sobre_plano,centralizada,16,16,0.12281120518015372
grade,ativo,0.7,0.01,taxa_falha_efetiva,adaptativa,16,16,0.3260416666666666
grade,ativo,0.7,0.01,taxa_falha_efetiva,centralizada,16,16,0.43229166666666663
grade,ativo,0.7,0.01,fracao_porta1,adaptativa,16,16,0.384375
grade,ativo,0.7,0.01,fracao_porta1,centralizada,16,16,0.696875
grade,ativo,0.7,0.25,atraso_relativo,adaptativa,16,16,1.711293921967465
grade,ativo,0.7,0.25,atraso_relativo,centralizada,16,16,2.958740412323078
grade,ativo,0.7,0.25,taxa_omissao,adaptativa,16,16,0.0645833333333333
grade,ativo,0.7,0.25,taxa_omissao,centralizada,16,16,0.28541666666666665
grade,ativo,0.7,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.021972138789863364
grade,ativo,0.7,0.25,divida_latente_sobre_plano,centralizada,16,16,0.0941606934394974
grade,ativo,0.7,0.25,taxa_falha_efetiva,adaptativa,16,16,0.2677083333333333
grade,ativo,0.7,0.25,taxa_falha_efetiva,centralizada,16,16,0.3208333333333333
grade,ativo,0.7,0.25,fracao_porta1,adaptativa,16,16,0.4864583333333333
grade,ativo,0.7,0.25,fracao_porta1,centralizada,16,16,0.6010416666666667
grade,ativo,0.7,0.6,atraso_relativo,adaptativa,16,16,1.7099084138486313
grade,ativo,0.7,0.6,atraso_relativo,centralizada,16,16,2.8449092613780826
grade,ativo,0.7,0.6,taxa_omissao,adaptativa,16,16,0.06249999999999997
grade,ativo,0.7,0.6,taxa_omissao,centralizada,16,16,0.2677083333333333
grade,ativo,0.7,0.6,divida_latente_sobre_plano,adaptativa,16,16,0.02039177133222373
grade,ativo,0.7,0.6,divida_latente_sobre_plano,centralizada,16,16,0.08398354518902393
grade,ativo,0.7,0.6,taxa_falha_efetiva,adaptativa,16,16,0.26041666666666663
grade,ativo,0.7,0.6,taxa_falha_efetiva,centralizada,16,16,0.30729166666666663
grade,ativo,0.7,0.6,fracao_porta1,adaptativa,16,16,0.646875
grade,ativo,0.7,0.6,fracao_porta1,centralizada,16,16,0.6875
grade,ativo,1.0,0.01,atraso_relativo,adaptativa,16,16,2.5358085711401266
grade,ativo,1.0,0.01,atraso_relativo,centralizada,16,9,5.026337697833039
grade,ativo,1.0,0.01,taxa_omissao,adaptativa,16,16,0.07499999999999997
grade,ativo,1.0,0.01,taxa_omissao,centralizada,16,9,0.34629629629629627
grade,ativo,1.0,0.01,divida_latente_sobre_plano,adaptativa,16,16,0.025283080102766253
grade,ativo,1.0,0.01,divida_latente_sobre_plano,centralizada,16,9,0.1363766817055328
grade,ativo,1.0,0.01,taxa_falha_efetiva,adaptativa,16,16,0.3083333333333333
grade,ativo,1.0,0.01,taxa_falha_efetiva,centralizada,16,9,0.40555555555555556
grade,ativo,1.0,0.01,fracao_porta1,adaptativa,16,16,0.24583333333333332
grade,ativo,1.0,0.01,fracao_porta1,centralizada,16,9,0.5944444444444444
grade,ativo,1.0,0.25,atraso_relativo,adaptativa,16,16,1.9582766392216686
grade,ativo,1.0,0.25,atraso_relativo,centralizada,16,16,3.0090263756150817
grade,ativo,1.0,0.25,taxa_omissao,adaptativa,16,16,0.061458333333333295
grade,ativo,1.0,0.25,taxa_omissao,centralizada,16,16,0.26875
grade,ativo,1.0,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.02330482563352512
grade,ativo,1.0,0.25,divida_latente_sobre_plano,centralizada,16,16,0.09128964386347407
grade,ativo,1.0,0.25,taxa_falha_efetiva,adaptativa,16,16,0.25937499999999997
grade,ativo,1.0,0.25,taxa_falha_efetiva,centralizada,16,16,0.30729166666666663
grade,ativo,1.0,0.25,fracao_porta1,adaptativa,16,16,0.4302083333333333
grade,ativo,1.0,0.25,fracao_porta1,centralizada,16,16,0.5385416666666667
grade,ativo,1.0,0.6,atraso_relativo,adaptativa,16,16,1.688140476760244
grade,ativo,1.0,0.6,atraso_relativo,centralizada,16,16,2.7946730904413633
grade,ativo,1.0,0.6,taxa_omissao,adaptativa,16,16,0.06770833333333329
grade,ativo,1.0,0.6,taxa_omissao,centralizada,16,16,0.2520833333333333
grade,ativo,1.0,0.6,divida_latente_sobre_plano,adaptativa,16,16,0.019310532944965157
grade,ativo,1.0,0.6,divida_latente_sobre_plano,centralizada,16,16,0.07912754226642632
grade,ativo,1.0,0.6,taxa_falha_efetiva,adaptativa,16,16,0.24583333333333332
grade,ativo,1.0,0.6,taxa_falha_efetiva,centralizada,16,16,0.29166666666666663
grade,ativo,1.0,0.6,fracao_porta1,adaptativa,16,16,0.5666666666666667
grade,ativo,1.0,0.6,fracao_porta1,centralizada,16,16,0.6229166666666667
grade,ativo,1.4,0.01,atraso_relativo,adaptativa,16,16,2.580469587402721
grade,ativo,1.4,0.01,atraso_relativo,centralizada,16,5,3.4720527163318926
grade,ativo,1.4,0.01,taxa_omissao,adaptativa,16,16,0.0739583333333333
grade,ativo,1.4,0.01,taxa_omissao,centralizada,16,5,0.37333333333333335
grade,ativo,1.4,0.01,divida_latente_sobre_plano,adaptativa,16,16,0.023734870931733147
grade,ativo,1.4,0.01,divida_latente_sobre_plano,centralizada,16,5,0.13920176845057913
grade,ativo,1.4,0.01,taxa_falha_efetiva,adaptativa,16,16,0.2979166666666666
grade,ativo,1.4,0.01,taxa_falha_efetiva,centralizada,16,5,0.42666666666666664
grade,ativo,1.4,0.01,fracao_porta1,adaptativa,16,16,0.19374999999999998
grade,ativo,1.4,0.01,fracao_porta1,centralizada,16,5,0.44666666666666666
grade,ativo,1.4,0.25,atraso_relativo,adaptativa,16,16,2.175365356859754
grade,ativo,1.4,0.25,atraso_relativo,centralizada,16,16,3.3736151462237576
grade,ativo,1.4,0.25,taxa_omissao,adaptativa,16,16,0.06249999999999996
grade,ativo,1.4,0.25,taxa_omissao,centralizada,16,16,0.29166666666666663
grade,ativo,1.4,0.25,divida_latente_sobre_plano,adaptativa,16,16,0.018663401016433642
grade,ativo,1.4,0.25,divida_latente_sobre_plano,centralizada,16,16,0.09480085272567966
grade,ativo,1.4,0.25,taxa_falha_efetiva,adaptativa,16,16,0.2677083333333333
grade,ativo,1.4,0.25,taxa_falha_efetiva,centralizada,16,16,0.35
grade,ativo,1.4,0.25,fracao_porta1,adaptativa,16,16,0.28020833333333334
grade,ativo,1.4,0.25,fracao_porta1,centralizada,16,16,0.509375
grade,ativo,1.4,0.6,atraso_relativo,adaptativa,16,16,1.8219741796413453
grade,ativo,1.4,0.6,atraso_relativo,centralizada,16,16,2.7753122927915124
grade,ativo,1.4,0.6,taxa_omissao,adaptativa,16,16,0.07187499999999997
grade,ativo,1.4,0.6,taxa_omissao,centralizada,16,16,0.2583333333333333
