etapa,canal,tau_sat,s_transicao,metrica,arquivo,semente,diferenca
grade,ativo,0.7,0.01,atraso_relativo,j6010_1.sm,0,-1.4588235294117644
grade,ativo,0.7,0.01,atraso_relativo,j6010_1.sm,1,-0.976470588235294
grade,ativo,0.7,0.01,atraso_relativo,j6010_1.sm,2,-1.694117647058823
grade,ativo,0.7,0.01,atraso_relativo,j6010_1.sm,3,-1.1411764705882352
grade,ativo,0.7,0.01,atraso_relativo,j6021_1.sm,0,-2.1842105263157894
grade,ativo,0.7,0.01,atraso_relativo,j6021_1.sm,1,-1.986842105263158
grade,ativo,0.7,0.01,atraso_relativo,j6021_1.sm,2,-2.157894736842105
grade,ativo,0.7,0.01,atraso_relativo,j6021_1.sm,3,-1.8421052631578951
grade,ativo,0.7,0.01,atraso_relativo,j6032_1.sm,0,-1.956521739130435
grade,ativo,0.7,0.01,atraso_relativo,j6032_1.sm,1,-2.0579710144927534
grade,ativo,0.7,0.01,atraso_relativo,j6032_1.sm,2,-1.1014492753623188
grade,ativo,0.7,0.01,atraso_relativo,j6032_1.sm,3,-1.3623188405797104
grade,ativo,0.7,0.01,atraso_relativo,j6043_1.sm,0,-0.8333333333333333
grade,ativo,0.7,0.01,atraso_relativo,j6043_1.sm,1,-0.9259259259259256
grade,ativo,0.7,0.01,atraso_relativo,j6043_1.sm,2,-0.37037037037037046
grade,ativo,0.7,0.01,atraso_relativo,j6043_1.sm,3,-0.6111111111111112
grade,ativo,0.7,0.01,taxa_omissao,j6010_1.sm,0,-0.2666666666666666
grade,ativo,0.7,0.01,taxa_omissao,j6010_1.sm,1,-0.3166666666666667
grade,ativo,0.7,0.01,taxa_omissao,j6010_1.sm,2,-0.28333333333333344
grade,ativo,0.7,0.01,taxa_omissao,j6010_1.sm,3,-0.3833333333333333
grade,ativo,0.7,0.01,taxa_omissao,j6021_1.sm,0,-0.3
grade,ativo,0.7,0.01,taxa_omissao,j6021_1.sm,1,-0.28333333333333327
grade,ativo,0.7,0.01,taxa_omissao,j6021_1.sm,2,-0.1333333333333333
grade,ativo,0.7,0.01,taxa_omissao,j6021_1.sm,3,-0.3666666666666667
grade,ativo,0.7,0.01,taxa_omissao,j6032_1.sm,0,-0.3833333333333333
grade,ativo,0.7,0.01,taxa_omissao,j6032_1.sm,1,-0.30000000000000004
grade,ativo,0.7,0.01,taxa_omissao,j6032_1.sm,2,-0.2166666666666666
grade,ativo,0.7,0.01,taxa_omissao,j6032_1.sm,3,-0.31666666666666665
grade,ativo,0.7,0.01,taxa_omissao,j6043_1.sm,0,-0.33333333333333326
grade,ativo,0.7,0.01,taxa_omissao,j6043_1.sm,1,-0.2833333333333334
grade,ativo,0.7,0.01,taxa_omissao,j6043_1.sm,2,-0.33333333333333326
grade,ativo,0.7,0.01,taxa_omissao,j6043_1.sm,3,-0.3833333333333334
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6010_1.sm,0,-0.12693209068467182
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6010_1.sm,1,-0.1279470169542718
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6010_1.sm,2,-0.1678347206948493
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6010_1.sm,3,-0.08874867648547459
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6021_1.sm,0,-0.0562364576706861
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6021_1.sm,1,-0.1125764327500243
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6021_1.sm,2,-0.0360319603444383
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6021_1.sm,3,-0.045295447951845695
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6032_1.sm,0,-0.11773673073275541
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6032_1.sm,1,-0.13421487100817858
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6032_1.sm,2,-0.0672496770473063
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6032_1.sm,3,-0.0827495674519495
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6043_1.sm,0,-0.0866828213186325
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6043_1.sm,1,-0.12535258649609568
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6043_1.sm,2,-0.08695394877256099
grade,ativo,0.7,0.01,divida_latente_sobre_plano,j6043_1.sm,3,-0.0948353656193851
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6010_1.sm,0,-0.04999999999999999
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6010_1.sm,1,-0.1166666666666667
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6010_1.sm,2,-0.1833333333333333
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6010_1.sm,3,0.0
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6021_1.sm,0,-0.10000000000000009
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6021_1.sm,1,0.0
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6021_1.sm,2,0.01666666666666672
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6021_1.sm,3,-0.1166666666666667
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6032_1.sm,0,-0.21666666666666673
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6032_1.sm,1,-0.1333333333333333
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6032_1.sm,2,-0.033333333333333326
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6032_1.sm,3,-0.01666666666666672
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6043_1.sm,0,-0.2166666666666667
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6043_1.sm,1,-0.16666666666666657
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6043_1.sm,2,-0.20000000000000007
grade,ativo,0.7,0.01,taxa_falha_efetiva,j6043_1.sm,3,-0.16666666666666669
grade,ativo,0.7,0.01,fracao_porta1,j6010_1.sm,0,-0.09999999999999998
grade,ativo,0.7,0.01,fracao_porta1,j6010_1.sm,1,-0.3666666666666667
grade,ativo,0.7,0.01,fracao_porta1,j6010_1.sm,2,-0.33333333333333337
grade,ativo,0.7,0.01,fracao_porta1,j6010_1.sm,3,-0.18333333333333324
grade,ativo,0.7,0.01,fracao_porta1,j6021_1.sm,0,-0.25
grade,ativo,0.7,0.01,fracao_porta1,j6021_1.sm,1,-0.1333333333333333
grade,ativo,0.7,0.01,fracao_porta1,j6021_1.sm,2,-0.21666666666666667
grade,ativo,0.7,0.01,fracao_porta1,j6021_1.sm,3,-0.13333333333333336
grade,ativo,0.7,0.01,fracao_porta1,j6032_1.sm,0,-0.45000000000000007
grade,ativo,0.7,0.01,fracao_porta1,j6032_1.sm,1,-0.5166666666666667
grade,ativo,0.7,0.01,fracao_porta1,j6032_1.sm,2,-0.16666666666666669
grade,ativo,0.7,0.01,fracao_porta1,j6032_1.sm,3,-0.16666666666666663
grade,ativo,0.7,0.01,fracao_porta1,j6043_1.sm,0,-0.5833333333333335
grade,ativo,0.7,0.01,fracao_porta1,j6043_1.sm,1,-0.7000000000000001
grade,ativo,0.7,0.01,fracao_porta1,j6043_1.sm,2,-0.43333333333333335
grade,ativo,0.7,0.01,fracao_porta1,j6043_1.sm,3,-0.2666666666666667
grade,ativo,0.7,0.25,atraso_relativo,j6010_1.sm,0,-0.8705882352941177
grade,ativo,0.7,0.25,atraso_relativo,j6010_1.sm,1,-1.3058823529411765
grade,ativo,0.7,0.25,atraso_relativo,j6010_1.sm,2,-1.8117647058823527
