tau,P,B,mu_cog,mu_rede
0.0,0.5,0.5,0.775,0.775
0.001,0.5,0.5,0.775,0.7750067297428013
0.002,0.5,0.5,0.775,0.7750134862413366
0.003,0.5,0.5,0.775,0.7750202696554849
0.004,0.5,0.5,0.775,0.7750270801464014
0.005,0.5,0.5,0.775,0.77503391787653
0.006,0.5,0.5,0.775,0.7750475112445545
0.007,0.5,0.5,0.775,0.775061158645314
0.008,0.5,0.5,0.775,0.7750748604016151
0.009000000000000001,0.5,0.5,0.775,0.7750886168388404
0.01,0.5,0.5,0.775,0.7751024282849752
0.011,0.5,0.5,0.775,0.7751230203697568
0.012,0.5,0.5,0.775,0.7751436942813024
0.013000000000000001,0.5,0.5,0.775,0.7751644505083155
0.014,0.5,0.5,0.775,0.775185289543399
0.015,0.5,0.5,0.775,0.7752062118830942
0.016,0.5,0.5,0.775,0.7752339389068614
0.017,0.5,0.5,0.775,0.7752617760632067
0.018000000000000002,0.5,0.5,0.775,0.7752897240096108
0.019,0.5,0.5,0.775,0.7753177834087983
0.02,0.5,0.5,0.775,0.77534595492879
0.021,0.5,0.5,0.775,0.7753809541594499
0.022,0.5,0.5,0.775,0.7754160923339841
0.023,0.5,0.5,0.775,0.7754513702814307
0.024,0.5,0.5,0.775,0.7754867888374365
0.025,0.5,0.5,0.775,0.7755223488443228
0.026000000000000002,0.5,0.5,0.775,0.7755647585035587
0.027,0.5,0.5,0.775,0.775607336416027
0.028,0.5,0.5,0.775,0.775650083584993
0.029,0.5,0.5,0.775,0.775693001021714
0.03,0.5,0.5,0.775,0.7757360897455192
0.031,0.5,0.5,0.775,0.7757860489097099
0.032,0.5,0.5,0.775,0.7758362061259593
0.033,0.5,0.5,0.775,0.7758865625743067
0.034,0.5,0.5,0.775,0.7759371194441845
0.035,0.5,0.5,0.775,0.7759878779345126
0.036000000000000004,0.5,0.5,0.775,0.776045526428184
0.037,0.5,0.5,0.775,0.7761034032523794
0.038,0.5,0.5,0.775,0.7761615097663268
0.039,0.5,0.5,0.775,0.7762198473400631
0.04,0.5,0.5,0.775,0.776278417354544
0.041,0.5,0.5,0.775,0.7763438956360553
0.042,0.5,0.5,0.775,0.7764096329950751
0.043000000000000003,0.5,0.5,0.775,0.776475630972287
0.044,0.5,0.5,0.775,0.7765418911206149
0.045,0.5,0.5,0.775,0.776608415005345
0.046,0.5,0.5,0.775,0.7766818640445194
0.047,0.5,0.5,0.775,0.7767556033642307
0.048,0.5,0.5,0.775,0.7768296346887278
0.049,0.5,0.5,0.775,0.7769039597559432
0.05,0.5,0.5,0.775,0.7769785803176278
0.051000000000000004,0.5,0.5,0.775,0.7770601414650291
0.052000000000000005,0.5,0.5,0.775,0.7771420245381515
0.053,0.5,0.5,0.775,0.7772242314467478
0.054,0.5,0.5,0.775,0.7773067641157069
0.055,0.5,0.5,0.775,0.7773896244852028
0.056,0.5,0.5,0.775,0.7774794393327717
0.057,0.5,0.5,0.775,0.7775696081780377
0.058,0.5,0.5,0.775,0.7776601331180119
0.059000000000000004,0.5,0.5,0.775,0.777751016266301
0.06,0.5,0.5,0.775,0.7778422597532724
0.061,0.5,0.5,0.775,0.7779404699860292
0.062,0.5,0.5,0.775,0.7780390666983519
0.063,0.5,0.5,0.775,0.7781380521760659
0.064,0.5,0.5,0.775,0.7782374287230576
0.065,0.5,0.5,0.775,0.7783371986614532
0.066,0.5,0.5,0.775,0.7784439458999879
0.067,0.5,0.5,0.775,0.7785511124913541
0.068,0.5,0.5,0.775,0.778658700911535
0.069,0.5,0.5,0.775,0.7787667136560439
0.07,0.5,0.5,0.775,0.7788751532401176
0.07100000000000001,0.5,0.5,0.775,0.7789905788735878
0.07200000000000001,0.5,0.5,0.775,0.7791064571043984
0.073,0.5,0.5,0.775,0.779222790599809
0.074,0.5,0.5,0.775,0.7793395820480784
0.075,0.5,0.5,0.775,0.779456834158673
0.076,0.5,0.5,0.775,0.7795810791680431
0.077,0.5,0.5,0.775,0.7797058103686358
0.078,0.5,0.5,0.775,0.7798310306198656
0.079,0.5,0.5,0.775,0.7799567428036136
0.08,0.5,0.5,0.775,0.7800829498244486
0.081,0.5,0.5,0.775,0.7802161545957094
0.082,0.5,0.5,0.775,0.7803498794778051
0.083,0.5,0.5,0.775,0.7804841275229285
0.084,0.5,0.5,0.775,0.780618901807201
0.085,0.5,0.5,0.775,0.7807542054309076
0.08600000000000001,0.5,0.5,0.775,0.7808965095580345
0.08700000000000001,0.5,0.5,0.775,0.7810393680158624
0.088,0.5,0.5,0.775,0.7811827840497173
0.089,0.5,0.5,0.775,0.7813267609303081
0.09,0.5,0.5,0.775,0.7814713019539741
0.091,0.5,0.5,0.775,0.781622844031387
0.092,0.5,0.5,0.775,0.7817749749322608
0.093,0.5,0.5,0.775,0.7819276980951247
0.094,0.5,0.5,0.775,0.782081016985334
0.095,0.5,0.5,0.775,0.7822349350953316
0.096,0.5,0.5,0.775,0.7823958524996483
0.097,0.5,0.5,0.775,0.7825573934637782
0.098,0.5,0.5,0.775,0.7827195616192274
0.099,0.5,0.5,0.775,0.7828823606257552
0.1,0.5,0.5,0.775,0.7830457941716509
0.101,0.5,0.5,0.775,0.7832162228325313
0.10200000000000001,0.5,0.5,0.775,0.7833873100018834
0.10300000000000001,0.5,0.5,0.775,0.783559059503648
0.10400000000000001,0.5,0.5,0.775,0.7837314751914313
0.105,0.5,0.5,0.775,0.783904560948792
0.106,0.5,0.5,0.775,0.7840846351087062
0.107,0.5,0.5,0.775,0.7842654029047336
0.108,0.5,0.5,0.775,0.7844468683523822
0.109,0.5,0.5,0.775,0.7846290354982148
0.11,0.5,0.5,0.775,0.7848119084201494
0.111,0.5,0.5,0.775,0.7850017603829168
0.112,0.5,0.5,0.775,0.7851923412530228
0.113,0.5,0.5,0.775,0.7853836552363328
0.114,0.5,0.5,0.775,0.7855757065711312
0.115,0.5,0.5,0.775,0.7857684995284362
0.116,0.5,0.5,0.775,0.7859682593964156
0.117,0.5,0.5,0.775,0.786168783549029
0.11800000000000001,0.5,0.5,0.775,0.786370076380932
0.11900000000000001,0.5,0.5,0.775,0.7865721423205382
0.12,0.5,0.5,0.775,0.786774985830342
0.121,0.5,0.5,0.775,0.7869847812301839
0.122,0.5,0.5,0.775,0.7871953763583608
0.123,0.5,0.5,0.775,0.7874067757963841
0.124,0.5,0.5,0.775,0.7876189841608285
0.125,0.5,0.5,0.775,0.787832006103667
