tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,0.0,atraso_relativo,3.2721493876599714,1.801058437895839,4.743240337424104,4
0.25,0.15,0.03,0.0,taxa_omissao,0.27499999999999997,0.24390209103104757,0.3060979089689524,4
0.25,0.15,0.03,0.0,divida_latente_sobre_plano,0.08919902033610252,0.052008998434309894,0.12638904223789516,4
0.25,0.15,0.03,0.0,taxa_falha_efetiva,0.3125,0.2614296044780163,0.3635703955219837,4
0.25,0.15,0.03,0.0,fracao_porta1,0.5697916666666667,0.4753467240040986,0.6642366093292348,4
0.25,0.15,0.03,0.0,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.0,mu_rede_medio,0.6301148508991872,0.6065608730126566,0.6536688287857177,4
0.25,0.15,0.03,0.1,atraso_relativo,3.2822268867501236,2.1144560470896003,4.449997726410647,4
0.25,0.15,0.03,0.1,taxa_omissao,0.253125,0.20081442119656093,0.3054355788034391,4
0.25,0.15,0.03,0.1,divida_latente_sobre_plano,0.09458987286341332,0.05770140377034364,0.131478341956483,4
0.25,0.15,0.03,0.1,taxa_falha_efetiva,0.28645833333333337,0.22560213728895295,0.3473145293777138,4
0.25,0.15,0.03,0.1,fracao_porta1,0.5739583333333333,0.475413448027165,0.6725032186395017,4
0.25,0.15,0.03,0.1,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.1,mu_rede_medio,0.6691409243076077,0.6412110957983947,0.6970707528168207,4
0.25,0.15,0.03,0.15,atraso_relativo,2.9613920733561665,1.8759662255834204,4.046817921128913,4
0.25,0.15,0.03,0.15,taxa_omissao,0.27291666666666664,0.23680444367519288,0.3090288896581404,4
0.25,0.15,0.03,0.15,divida_latente_sobre_plano,0.08520123678155883,0.06406001297214364,0.10634246059097402,4
0.25,0.15,0.03,0.15,taxa_falha_efetiva,0.32499999999999996,0.2806889930459971,0.3693110069540028,4
0.25,0.15,0.03,0.15,fracao_porta1,0.5729166666666667,0.4816072951857975,0.664226038147536,4
0.25,0.15,0.03,0.15,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.15,mu_rede_medio,0.6809918792404791,0.6623924571589335,0.6995913013220247,4
0.25,0.15,0.03,0.2,atraso_relativo,3.2611005793113077,1.799885934245313,4.722315224377303,4
0.25,0.15,0.03,0.2,taxa_omissao,0.24895833333333334,0.1717573199836263,0.32615934668304036,4
0.25,0.15,0.03,0.2,divida_latente_sobre_plano,0.0849158775627815,0.055346874388292486,0.11448488073727052,4
0.25,0.15,0.03,0.2,taxa_falha_efetiva,0.290625,0.21632550693111158,0.36492449306888847,4
0.25,0.15,0.03,0.2,fracao_porta1,0.5354166666666667,0.45724898211737874,0.6135843512159546,4
0.25,0.15,0.03,0.2,N_req,0.0,0.0,0.0,4
0.25,0.15,0.03,0.2,mu_rede_medio,0.7185162403813397,0.6891411544580177,0.7478913263046616,4
0.25,0.15,0.03,0.23,atraso_relativo,2.8335187927192234,2.0316066120749707,3.635430973363476,4
0.25,0.15,0.03,0.23,taxa_omissao,0.28229166666666666,0.24349002189028052,0.3210933114430528,4
