tau_min,p_reporte,p_deteccao,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.15,0.03,atraso_relativo,-0.2588104269803522,-0.5392469438052048,0.021626089844500374,4
0.25,0.15,0.03,taxa_omissao,-0.03229166666666666,-0.09193183210084462,0.02734849876751129,4
0.25,0.15,0.03,divida_latente_sobre_plano,-0.011639311144142267,-0.03666357851866442,0.013384956230379889,4
0.25,0.15,0.03,taxa_falha_efetiva,-0.03020833333333333,-0.08604172424852198,0.02562505758185532,4
0.25,0.15,0.03,fracao_porta1,-0.09895833333333337,-0.25105367119811683,0.05313700453145012,4
0.25,0.15,0.03,N_req,109.6875,44.330720823397854,175.04427917660215,4
0.25,0.75,0.12,atraso_relativo,-0.2695466776845495,-0.35857328536587857,-0.1805200700032204,4
0.25,0.75,0.12,taxa_omissao,-1.0408340855860843e-17,-0.05855542653791501,0.058555426537914984,4
0.25,0.75,0.12,divida_latente_sobre_plano,-0.0038551418094349005,-0.01819048959522307,0.010480205976353268,4
0.25,0.75,0.12,taxa_falha_efetiva,-0.03125000000000001,-0.12876727760781143,0.06626727760781143,4
0.25,0.75,0.12,fracao_porta1,-0.0875,-0.16724511431151187,-0.007754885688488117,4
0.25,0.75,0.12,N_req,86.8125,40.75470343924802,132.87029656075197,4
0.6,0.15,0.03,atraso_relativo,0.29484346878848156,0.029507542786840035,0.560179394790123,4
0.6,0.15,0.03,taxa_omissao,0.01041666666666668,-0.014093775644751992,0.034927108978085354,4
0.6,0.15,0.03,divida_latente_sobre_plano,-0.0018959181114133689,-0.017522444613607416,0.01373060839078068,4
0.6,0.15,0.03,taxa_falha_efetiva,0.007291666666666674,-0.0010510217722344527,0.0156343551055678,4
0.6,0.15,0.03,fracao_porta1,-0.07500000000000001,-0.12188186173392866,-0.02811813826607136,4
0.6,0.15,0.03,N_req,105.875,22.170196186014167,189.57980381398585,4
0.6,0.75,0.12,atraso_relativo,-0.17502213859100718,-0.24831595260134434,-0.10172832458067002,4
0.6,0.75,0.12,taxa_omissao,0.0062499999999999795,-0.015739542312668227,0.02823954231266819,4
0.6,0.75,0.12,divida_latente_sobre_plano,-0.005072129170034794,-0.013759418515406602,0.0036151601753370123,4
0.6,0.75,0.12,taxa_falha_efetiva,0.0020833333333333346,-0.04337031802781533,0.047536984694482,4
0.6,0.75,0.12,fracao_porta1,-0.06458333333333334,-0.11193169274347542,-0.017234973923191253,4
0.6,0.75,0.12,N_req,103.9375,25.03586989814427,182.83913010185574,4
