celula,metrica,referencia,intervencao,media,ic95_inferior,ic95_superior,n_instancias
confianca,atraso_relativo,3.0608024318896923,2.741960676761656,-0.3188417551280365,-0.3804224836080441,-0.25726102664802886,16
reporte,atraso_relativo,3.0608024318896923,2.4699958439572685,-0.5908065879324236,-0.6855191269574447,-0.4960940489074025,16
ambos,atraso_relativo,3.0608024318896923,2.0373813983341833,-1.023421033555509,-1.1138695579329883,-0.9329725091780297,16
interacao,atraso_relativo,,,-0.11377269049504907,-0.19334301681651875,-0.034202364173579386,16
confianca,taxa_omissao,0.3125,0.27118055555555554,-0.04131944444444444,-0.054601199241615744,-0.028037689647273142,16
reporte,taxa_omissao,0.3125,0.09010416666666667,-0.22239583333333335,-0.23593456509041366,-0.20885710157625303,16
ambos,taxa_omissao,0.3125,0.08428819444444445,-0.22821180555555554,-0.24283913027240436,-0.2135844808387067,16
interacao,taxa_omissao,,,0.03550347222222222,0.019939421866220358,0.051067522578224084,16
confianca,divida_latente_sobre_plano,0.10327218484475538,0.08796740597617796,-0.015304778868577422,-0.01998684705573109,-0.010622710681423755,16
reporte,divida_latente_sobre_plano,0.10327218484475538,0.02898476702873472,-0.07428741781602066,-0.08257967335918737,-0.06599516227285396,16
ambos,divida_latente_sobre_plano,0.10327218484475538,0.02545760842423257,-0.07781457642052281,-0.08620066729702622,-0.0694284855440194,16
interacao,divida_latente_sobre_plano,,,0.011777620264075271,0.006727112708618602,0.01682812781953194,16
confianca,taxa_falha_efetiva,0.3619791666666667,0.31093750000000003,-0.051041666666666666,-0.06690900472851666,-0.035174328604816674,16
reporte,taxa_falha_efetiva,0.3619791666666667,0.3534722222222222,-0.008506944444444442,-0.0229259774721018,0.005912088583212915,16
ambos,taxa_falha_efetiva,0.3619791666666667,0.3189236111111111,-0.043055555555555555,-0.05684316653959242,-0.02926794457151869,16
interacao,taxa_falha_efetiva,,,0.01649305555555556,-0.0022393255244560276,0.035225436635567146,16
confianca,fracao_porta1,0.6369791666666668,0.50234375,-0.13463541666666667,-0.15828033570441183,-0.11099049762892153,16
reporte,fracao_porta1,0.6369791666666668,0.6394965277777778,0.00251736111111111,-0.00597793423629557,0.011012656458517789,16
ambos,fracao_porta1,0.6369791666666668,0.5204861111111111,-0.11649305555555556,-0.13660540098370882,-0.09638071012740229,16
interacao,fracao_porta1,,,0.015625000000000003,0.0027878207275591795,0.028462179272440827,16
