celula,metrica,arquivo,diferenca
confianca,atraso_relativo,j6010_1.sm,-0.396078431372549
confianca,atraso_relativo,j6013_1.sm,-0.3611111111111111
confianca,atraso_relativo,j6016_1.sm,-0.23307291666666666
confianca,atraso_relativo,j6019_1.sm,-0.4166666666666667
confianca,atraso_relativo,j6021_1.sm,-0.1984649122807017
confianca,atraso_relativo,j6024_1.sm,-0.2628205128205128
confianca,atraso_relativo,j6027_1.sm,-0.35763888888888884
confianca,atraso_relativo,j602_1.sm,-0.3294871794871794
confianca,atraso_relativo,j6032_1.sm,-0.08333333333333322
confianca,atraso_relativo,j6035_1.sm,-0.17628205128205132
confianca,atraso_relativo,j6038_1.sm,-0.2465753424657534
confianca,atraso_relativo,j6040_1.sm,-0.3856589147286822
confianca,atraso_relativo,j6043_1.sm,-0.29938271604938266
confianca,atraso_relativo,j6046_1.sm,-0.548076923076923
confianca,atraso_relativo,j604_1.sm,-0.44642857142857145
confianca,atraso_relativo,j607_1.sm,-0.36038961038961026
reporte,atraso_relativo,j6010_1.sm,-0.5088235294117647
reporte,atraso_relativo,j6013_1.sm,-0.2632850241545894
reporte,atraso_relativo,j6016_1.sm,-0.7708333333333334
reporte,atraso_relativo,j6019_1.sm,-0.8467741935483871
reporte,atraso_relativo,j6021_1.sm,-0.6260964912280702
reporte,atraso_relativo,j6024_1.sm,-0.7794871794871795
reporte,atraso_relativo,j6027_1.sm,-0.6319444444444445
reporte,atraso_relativo,j602_1.sm,-0.7423076923076923
reporte,atraso_relativo,j6032_1.sm,-0.7958937198067634
reporte,atraso_relativo,j6035_1.sm,-0.3322649572649572
reporte,atraso_relativo,j6038_1.sm,-0.47602739726027393
reporte,atraso_relativo,j6040_1.sm,-0.5862403100775194
reporte,atraso_relativo,j6043_1.sm,-0.3155864197530864
reporte,atraso_relativo,j6046_1.sm,-0.5544871794871794
reporte,atraso_relativo,j604_1.sm,-0.5962301587301587
reporte,atraso_relativo,j607_1.sm,-0.6266233766233765
ambos,atraso_relativo,j6010_1.sm,-0.9745098039215687
ambos,atraso_relativo,j6013_1.sm,-1.038647342995169
ambos,atraso_relativo,j6016_1.sm,-1.20703125
ambos,atraso_relativo,j6019_1.sm,-1.3400537634408602
ambos,atraso_relativo,j6021_1.sm,-1.0570175438596492
ambos,atraso_relativo,j6024_1.sm,-1.11025641025641
ambos,atraso_relativo,j6027_1.sm,-0.896701388888889
ambos,atraso_relativo,j602_1.sm,-1.1743589743589744
ambos,atraso_relativo,j6032_1.sm,-1.2258454106280192
ambos,atraso_relativo,j6035_1.sm,-0.7681623931623931
ambos,atraso_relativo,j6038_1.sm,-0.8972602739726027
ambos,atraso_relativo,j6040_1.sm,-0.9670542635658914
ambos,atraso_relativo,j6043_1.sm,-0.6874999999999999
ambos,atraso_relativo,j6046_1.sm,-1.0598290598290598
ambos,atraso_relativo,j604_1.sm,-0.9315476190476191
ambos,atraso_relativo,j607_1.sm,-1.0389610389610389
confianca,taxa_omissao,j6010_1.sm,-0.0625
confianca,taxa_omissao,j6013_1.sm,-0.006944444444444445
confianca,taxa_omissao,j6016_1.sm,-0.04583333333333334
confianca,taxa_omissao,j6019_1.sm,-0.012500000000000004
confianca,taxa_omissao,j6021_1.sm,0.0
confianca,taxa_omissao,j6024_1.sm,-0.041666666666666664
confianca,taxa_omissao,j6027_1.sm,-0.04444444444444445
confianca,taxa_omissao,j602_1.sm,-0.06249999999999999
confianca,taxa_omissao,j6032_1.sm,-0.025000000000000005
confianca,taxa_omissao,j6035_1.sm,-0.04583333333333333
confianca,taxa_omissao,j6038_1.sm,-0.04027777777777778
confianca,taxa_omissao,j6040_1.sm,-0.07222222222222223
confianca,taxa_omissao,j6043_1.sm,-0.016666666666666663
confianca,taxa_omissao,j6046_1.sm,-0.02916666666666667
confianca,taxa_omissao,j604_1.sm,-0.075
confianca,taxa_omissao,j607_1.sm,-0.08055555555555555
reporte,taxa_omissao,j6010_1.sm,-0.21250000000000002
reporte,taxa_omissao,j6013_1.sm,-0.21388888888888888
reporte,taxa_omissao,j6016_1.sm,-0.2625
reporte,taxa_omissao,j6019_1.sm,-0.23750000000000002
reporte,taxa_omissao,j6021_1.sm,-0.19444444444444442
reporte,taxa_omissao,j6024_1.sm,-0.19722222222222222
reporte,taxa_omissao,j6027_1.sm,-0.21250000000000002
reporte,taxa_omissao,j602_1.sm,-0.2347222222222222
reporte,taxa_omissao,j6032_1.sm,-0.19166666666666665
reporte,taxa_omissao,j6035_1.sm,-0.24305555555555555
reporte,taxa_omissao,j6038_1.sm,-0.19722222222222222
reporte,taxa_omissao,j6040_1.sm,-0.25277777777777777
reporte,taxa_omissao,j6043_1.sm,-0.18611111111111112
reporte,taxa_omissao,j6046_1.sm,-0.225
reporte,taxa_omissao,j604_1.sm,-0.2625
reporte,taxa_omissao,j607_1.sm,-0.2347222222222222
ambos,taxa_omissao,j6010_1.sm,-0.21944444444444444
ambos,taxa_omissao,j6013_1.sm,-0.22777777777777777
ambos,taxa_omissao,j6016_1.sm,-0.26666666666666666
ambos,taxa_omissao,j6019_1.sm,-0.22083333333333333
ambos,taxa_omissao,j6021_1.sm,-0.23194444444444443
ambos,taxa_omissao,j6024_1.sm,-0.1986111111111111
ambos,taxa_omissao,j6027_1.sm,-0.20972222222222223
ambos,taxa_omissao,j602_1.sm,-0.23750000000000002
ambos,taxa_omissao,j6032_1.sm,-0.19583333333333333
ambos,taxa_omissao,j6035_1.sm,-0.22777777777777777
ambos,taxa_omissao,j6038_1.sm,-0.2125
ambos,taxa_omissao,j6040_1.sm,-0.26666666666666666
ambos,taxa_omissao,j6043_1.sm,-0.1708333333333333
ambos,taxa_omissao,j6046_1.sm,-0.24722222222222223
ambos,taxa_omissao,j604_1.sm,-0.2638888888888889
ambos,taxa_omissao,j607_1.sm,-0.25416666666666665
confianca,divida_latente_sobre_plano,j6010_1.sm,-0.02049798362381068
confianca,divida_latente_sobre_plano,j6013_1.sm,0.0066690118952344975
confianca,divida_latente_sobre_plano,j6016_1.sm,-0.017383947766985843
confianca,divida_latente_sobre_plano,j6019_1.sm,-0.010441462329532428
confianca,divida_latente_sobre_plano,j6021_1.sm,-0.00966591994434346
confianca,divida_latente_sobre_plano,j6024_1.sm,-0.017612674661706317
confianca,divida_latente_sobre_plano,j6027_1.sm,-0.011082816592333301
confianca,divida_latente_sobre_plano,j602_1.sm,-0.02037019166580169
confianca,divida_latente_sobre_plano,j6032_1.sm,-0.023155314997191312
confianca,divida_latente_sobre_plano,j6035_1.sm,-0.017346359925706194
confianca,divida_latente_sobre_plano,j6038_1.sm,-0.005458225621609918
confianca,divida_latente_sobre_plano,j6040_1.sm,-0.02748989300182551
confianca,divida_latente_sobre_plano,j6043_1.sm,-0.008487040349413156
confianca,divida_latente_sobre_plano,j6046_1.sm,-0.013182308793872314
confianca,divida_latente_sobre_plano,j604_1.sm,-0.025539326668304902
confianca,divida_latente_sobre_plano,j607_1.sm,-0.023832007850036238
reporte,divida_latente_sobre_plano,j6010_1.sm,-0.0705585023733392
reporte,divida_latente_sobre_plano,j6013_1.sm,-0.056552355112809864
reporte,divida_latente_sobre_plano,j6016_1.sm,-0.10939499000309875
reporte,divida_latente_sobre_plano,j6019_1.sm,-0.08738505623295378
reporte,divida_latente_sobre_plano,j6021_1.sm,-0.061439813956010565
reporte,divida_latente_sobre_plano,j6024_1.sm,-0.07055109673515984
reporte,divida_latente_sobre_plano,j6027_1.sm,-0.05519612789757416
reporte,divida_latente_sobre_plano,j602_1.sm,-0.08138680866176266
reporte,divida_latente_sobre_plano,j6032_1.sm,-0.07864981293666157
reporte,divida_latente_sobre_plano,j6035_1.sm,-0.08347551847542867
reporte,divida_latente_sobre_plano,j6038_1.sm,-0.06211925121889419
reporte,divida_latente_sobre_plano,j6040_1.sm,-0.07742451500843558
reporte,divida_latente_sobre_plano,j6043_1.sm,-0.050252865333529705
reporte,divida_latente_sobre_plano,j6046_1.sm,-0.08228601426203493
reporte,divida_latente_sobre_plano,j604_1.sm,-0.09349213712698366
reporte,divida_latente_sobre_plano,j607_1.sm,-0.06843381972165348
ambos,divida_latente_sobre_plano,j6010_1.sm,-0.07693920479076642
ambos,divida_latente_sobre_plano,j6013_1.sm,-0.06143406159405884
ambos,divida_latente_sobre_plano,j6016_1.sm,-0.11543165329861406
ambos,divida_latente_sobre_plano,j6019_1.sm,-0.08156964741171861
ambos,divida_latente_sobre_plano,j6021_1.sm,-0.06515439272015665
ambos,divida_latente_sobre_plano,j6024_1.sm,-0.0820555559678341
ambos,divida_latente_sobre_plano,j6027_1.sm,-0.060558111115868306
ambos,divida_latente_sobre_plano,j602_1.sm,-0.09061237257107742
ambos,divida_latente_sobre_plano,j6032_1.sm,-0.08166015560237952
ambos,divida_latente_sobre_plano,j6035_1.sm,-0.07937496926640902
ambos,divida_latente_sobre_plano,j6038_1.sm,-0.06702405765143091
ambos,divida_latente_sobre_plano,j6040_1.sm,-0.08320176859943272
ambos,divida_latente_sobre_plano,j6043_1.sm,-0.047436111259278935
ambos,divida_latente_sobre_plano,j6046_1.sm,-0.08665601911074111
ambos,divida_latente_sobre_plano,j604_1.sm,-0.09191827001764402
ambos,divida_latente_sobre_plano,j607_1.sm,-0.07400687175095437
confianca,taxa_falha_efetiva,j6010_1.sm,-0.075
confianca,taxa_falha_efetiva,j6013_1.sm,-0.016666666666666666
confianca,taxa_falha_efetiva,j6016_1.sm,-0.06527777777777778
confianca,taxa_falha_efetiva,j6019_1.sm,-0.02777777777777778
confianca,taxa_falha_efetiva,j6021_1.sm,-0.00972222222222223
confianca,taxa_falha_efetiva,j6024_1.sm,-0.04999999999999999
confianca,taxa_falha_efetiva,j6027_1.sm,-0.04583333333333333
confianca,taxa_falha_efetiva,j602_1.sm,-0.07777777777777779
confianca,taxa_falha_efetiva,j6032_1.sm,-0.02916666666666666
confianca,taxa_falha_efetiva,j6035_1.sm,-0.04583333333333334
confianca,taxa_falha_efetiva,j6038_1.sm,-0.048611111111111105
confianca,taxa_falha_efetiva,j6040_1.sm,-0.09583333333333334
confianca,taxa_falha_efetiva,j6043_1.sm,-0.011111111111111115
confianca,taxa_falha_efetiva,j6046_1.sm,-0.03333333333333334
confianca,taxa_falha_efetiva,j604_1.sm,-0.10833333333333334
confianca,taxa_falha_efetiva,j607_1.sm,-0.0763888888888889
reporte,taxa_falha_efetiva,j6010_1.sm,-0.020833333333333332
reporte,taxa_falha_efetiva,j6013_1.sm,0.030555555555555548
reporte,taxa_falha_efetiva,j6016_1.sm,-0.019444444444444448
reporte,taxa_falha_efetiva,j6019_1.sm,-0.03472222222222222
reporte,taxa_falha_efetiva,j6021_1.sm,0.0027777777777777727
reporte,taxa_falha_efetiva,j6024_1.sm,-0.048611111111111105
reporte,taxa_falha_efetiva,j6027_1.sm,-0.041666666666666664
reporte,taxa_falha_efetiva,j602_1.sm,-0.002777777777777782
reporte,taxa_falha_efetiva,j6032_1.sm,0.013888888888888907
reporte,taxa_falha_efetiva,j6035_1.sm,0.005555555555555568
reporte,taxa_falha_efetiva,j6038_1.sm,0.0069444444444444545
reporte,taxa_falha_efetiva,j6040_1.sm,-0.03194444444444444
reporte,taxa_falha_efetiva,j6043_1.sm,0.004166666666666666
reporte,taxa_falha_efetiva,j6046_1.sm,0.027777777777777776
reporte,taxa_falha_efetiva,j604_1.sm,-0.05000000000000001
reporte,taxa_falha_efetiva,j607_1.sm,0.022222222222222227
ambos,taxa_falha_efetiva,j6010_1.sm,-0.07222222222222223
ambos,taxa_falha_efetiva,j6013_1.sm,-0.0069444444444444475
ambos,taxa_falha_efetiva,j6016_1.sm,-0.04166666666666668
ambos,taxa_falha_efetiva,j6019_1.sm,-0.02083333333333333
ambos,taxa_falha_efetiva,j6021_1.sm,-0.06666666666666667
ambos,taxa_falha_efetiva,j6024_1.sm,-0.05972222222222221
ambos,taxa_falha_efetiva,j6027_1.sm,-0.041666666666666664
ambos,taxa_falha_efetiva,j602_1.sm,-0.0513888888888889
ambos,taxa_falha_efetiva,j6032_1.sm,-0.029166666666666664
ambos,taxa_falha_efetiva,j6035_1.sm,-0.026388888888888892
ambos,taxa_falha_efetiva,j6038_1.sm,-0.03472222222222222
ambos,taxa_falha_efetiva,j6040_1.sm,-0.09583333333333334
ambos,taxa_falha_efetiva,j6043_1.sm,0.0027777777777777727
ambos,taxa_falha_efetiva,j6046_1.sm,-0.02361111111111111
ambos,taxa_falha_efetiva,j604_1.sm,-0.06666666666666667
ambos,taxa_falha_efetiva,j607_1.sm,-0.05416666666666667
confianca,fracao_porta1,j6010_1.sm,-0.15694444444444447
confianca,fracao_porta1,j6013_1.sm,-0.05000000000000002
confianca,fracao_porta1,j6016_1.sm,-0.08750000000000002
confianca,fracao_porta1,j6019_1.sm,-0.11805555555555554
confianca,fracao_porta1,j6021_1.sm,-0.09861111111111111
confianca,fracao_porta1,j6024_1.sm,-0.14444444444444446
confianca,fracao_porta1,j6027_1.sm,-0.10694444444444445
confianca,fracao_porta1,j602_1.sm,-0.11249999999999999
confianca,fracao_porta1,j6032_1.sm,-0.15972222222222224
confianca,fracao_porta1,j6035_1.sm,-0.1708333333333333
confianca,fracao_porta1,j6038_1.sm,-0.14027777777777778
