celula,metrica,diferenca_maxima
referencia,makespan,0.0
referencia,makespan_cpm,0.0
referencia,TW,0.0
referencia,TL,0.0
referencia,TU,0.0
referencia,TR,2.842170943040401e-14
referencia,n_com_erro,0.0
referencia,n_reportadas,0.0
referencia,taxa_omissao,8.326672684688674e-17
referencia,divida_latente_sobre_plano,9.71445146547012e-17
ambos,makespan,0.0
ambos,makespan_cpm,0.0
ambos,TW,0.0
ambos,TL,0.0
ambos,TU,0.0
ambos,TR,1.4210854715202004e-14
ambos,n_com_erro,0.0
ambos,n_reportadas,0.0
ambos,taxa_omissao,6.938893903907228e-17
ambos,divida_latente_sobre_plano,9.8879238130678e-17
