configuracao,cenario,n,concluidas,censuradas
C4_C1,adaptativa,192,192,0
C4_C1,centralizada,192,192,0
C4_C1_Crowder,adaptativa,192,192,0
C4_C1_Crowder,centralizada,192,192,0
C4_C1_Crowder_C6,adaptativa,192,192,0
C4_C1_Crowder_C6,centralizada,192,192,0
C4_C1_comunicacao,adaptativa,192,192,0
C4_C1_comunicacao,centralizada,192,192,0
C4_completo,adaptativa,192,192,0
C4_completo,centralizada,192,192,0
C4_tempo_apenas,adaptativa,192,192,0
C4_tempo_apenas,centralizada,192,192,0
MVP_corrigido,adaptativa,192,192,0
MVP_corrigido,centralizada,192,192,0
MVP_corrigido_Di_yaml,adaptativa,192,192,0
MVP_corrigido_Di_yaml,centralizada,192,192,0
controle_motor,adaptativa,192,192,0
controle_motor,centralizada,192,192,0
legado,adaptativa,192,192,0
legado,centralizada,192,192,0
