configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
C4_C1,j6010_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6013_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6016_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6019_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6021_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6024_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6027_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j602_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6032_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6035_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6038_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6040_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6043_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6046_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j604_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j607_1.sm,concluiu,1.0,1.0,0.0,12,0
C4_C1,j6010_1.sm,makespan,221.58333333333334,139.08333333333334,-82.5,12,0
C4_C1,j6013_1.sm,makespan,308.25,255.58333333333334,-52.666666666666664,12,0
C4_C1,j6016_1.sm,makespan,230.66666666666666,142.08333333333334,-88.58333333333333,12,0
C4_C1,j6019_1.sm,makespan,222.75,130.0,-92.75,12,0
C4_C1,j6021_1.sm,makespan,295.0833333333333,213.91666666666666,-81.16666666666667,12,0
C4_C1,j6024_1.sm,makespan,183.91666666666666,103.91666666666667,-80.0,12,0
C4_C1,j6027_1.sm,makespan,239.33333333333334,147.83333333333334,-91.5,12,0
C4_C1,j602_1.sm,makespan,207.41666666666666,120.66666666666667,-86.75,12,0
C4_C1,j6032_1.sm,makespan,217.75,119.08333333333333,-98.66666666666667,12,0
C4_C1,j6035_1.sm,makespan,209.5,138.08333333333334,-71.41666666666667,12,0
C4_C1,j6038_1.sm,makespan,210.25,135.66666666666666,-74.58333333333333,12,0
C4_C1,j6040_1.sm,makespan,233.08333333333334,137.58333333333334,-95.5,12,0
C4_C1,j6043_1.sm,makespan,240.08333333333334,159.25,-80.83333333333333,12,0
C4_C1,j6046_1.sm,makespan,241.08333333333334,153.33333333333334,-87.75,12,0
C4_C1,j604_1.sm,makespan,228.0,139.66666666666666,-88.33333333333333,12,0
C4_C1,j607_1.sm,makespan,219.08333333333334,130.41666666666666,-88.66666666666667,12,0
C4_C1,j6010_1.sm,makespan_cpm,85.0,85.0,0.0,12,0
C4_C1,j6013_1.sm,makespan_cpm,69.0,69.0,0.0,12,0
C4_C1,j6016_1.sm,makespan_cpm,64.0,64.0,0.0,12,0
C4_C1,j6019_1.sm,makespan_cpm,62.0,62.0,0.0,12,0
C4_C1,j6021_1.sm,makespan_cpm,76.0,76.0,0.0,12,0
C4_C1,j6024_1.sm,makespan_cpm,65.0,65.0,0.0,12,0
C4_C1,j6027_1.sm,makespan_cpm,96.0,96.0,0.0,12,0
C4_C1,j602_1.sm,makespan_cpm,65.0,65.0,0.0,12,0
C4_C1,j6032_1.sm,makespan_cpm,69.0,69.0,0.0,12,0
C4_C1,j6035_1.sm,makespan_cpm,78.0,78.0,0.0,12,0
C4_C1,j6038_1.sm,makespan_cpm,73.0,73.0,0.0,12,0
C4_C1,j6040_1.sm,makespan_cpm,86.0,86.0,0.0,12,0
C4_C1,j6043_1.sm,makespan_cpm,108.0,108.0,0.0,12,0
C4_C1,j6046_1.sm,makespan_cpm,78.0,78.0,0.0,12,0
C4_C1,j604_1.sm,makespan_cpm,84.0,84.0,0.0,12,0
C4_C1,j607_1.sm,makespan_cpm,77.0,77.0,0.0,12,0
C4_C1,j6010_1.sm,E_total,0.7120289707053079,0.8626685652785091,0.15063959457320134,12,0
C4_C1,j6013_1.sm,E_total,0.7359802848828073,0.7945232955256687,0.05854301064286135,12,0
C4_C1,j6016_1.sm,E_total,0.6886364006316391,0.8203924329824278,0.13175603235078884,12,0
C4_C1,j6019_1.sm,E_total,0.7340318870895793,0.8585768931092322,0.12454500601965297,12,0
C4_C1,j6021_1.sm,E_total,0.7439757691497498,0.8413879320195164,0.0974121628697666,12,0
C4_C1,j6024_1.sm,E_total,0.7065729460263447,0.8838285964441215,0.17725565041777666,12,0
C4_C1,j6027_1.sm,E_total,0.6926489978310492,0.8585838442477538,0.1659348464167045,12,0
C4_C1,j602_1.sm,E_total,0.7112680175665469,0.8592912743868584,0.14802325682031167,12,0
C4_C1,j6032_1.sm,E_total,0.7145595158404118,0.8687538477889468,0.1541943319485347,12,0
C4_C1,j6035_1.sm,E_total,0.7077712713949923,0.8564155045230816,0.1486442331280893,12,0
C4_C1,j6038_1.sm,E_total,0.7394062589069472,0.8670608207586316,0.12765456185168433,12,0
C4_C1,j6040_1.sm,E_total,0.6918857528675012,0.8649447872075525,0.1730590343400514,12,0
C4_C1,j6043_1.sm,E_total,0.6632767117040815,0.8719773922225663,0.2087006805184847,12,0
C4_C1,j6046_1.sm,E_total,0.6610429241444943,0.8437017083723105,0.18265878422781615,12,0
C4_C1,j604_1.sm,E_total,0.7015115020625678,0.8503018347960752,0.14879033273350734,12,0
C4_C1,j607_1.sm,E_total,0.7028113430017914,0.871366388301334,0.16855504529954277,12,0
C4_C1,j6010_1.sm,S_UR_final,9.251858538542972e-16,0.0,-9.251858538542972e-16,12,0
C4_C1,j6013_1.sm,S_UR_final,1.3322676295501878e-15,1.1102230246251565e-16,-1.2212453270876722e-15,12,0
C4_C1,j6016_1.sm,S_UR_final,2.7200464103316335e-15,2.7755575615628914e-16,-2.4424906541753444e-15,12,0
C4_C1,j6019_1.sm,S_UR_final,7.401486830834377e-16,2.220446049250313e-16,-5.181040781584064e-16,12,0
C4_C1,j6021_1.sm,S_UR_final,2.0354088784794535e-15,0.0,-2.0354088784794535e-15,12,0
C4_C1,j6024_1.sm,S_UR_final,5.181040781584064e-16,0.0,-5.181040781584064e-16,12,0
C4_C1,j6027_1.sm,S_UR_final,5.921189464667501e-16,0.0,-5.921189464667501e-16,12,0
C4_C1,j602_1.sm,S_UR_final,1.942890293094024e-15,0.0,-1.942890293094024e-15,12,0
C4_C1,j6032_1.sm,S_UR_final,4.08006961549745e-15,0.0,-4.08006961549745e-15,12,0
C4_C1,j6035_1.sm,S_UR_final,5.551115123125783e-16,7.401486830834377e-17,-4.810966440042345e-16,12,0
C4_C1,j6038_1.sm,S_UR_final,3.117876327488981e-15,7.401486830834377e-17,-3.0438614591806376e-15,12,0
C4_C1,j6040_1.sm,S_UR_final,2.3777276444055437e-15,1.8503717077085943e-16,-2.192690473634684e-15,12,0
C4_C1,j6043_1.sm,S_UR_final,3.7007434154171886e-16,0.0,-3.7007434154171886e-16,12,0
C4_C1,j6046_1.sm,S_UR_final,7.771561172376096e-16,0.0,-7.771561172376096e-16,12,0
C4_C1,j604_1.sm,S_UR_final,2.4609943712524305e-15,0.0,-2.4609943712524305e-15,12,0
C4_C1,j607_1.sm,S_UR_final,2.4054832200211723e-16,0.0,-2.4054832200211723e-16,12,0
C4_C1,j6010_1.sm,S_UR_maximo,30.887089030005,5.768122381817485,-25.11896664818752,12,0
C4_C1,j6013_1.sm,S_UR_maximo,31.757707483188685,11.18094732075774,-20.576760162430947,12,0
C4_C1,j6016_1.sm,S_UR_maximo,53.64918075337931,12.775483678058018,-40.873697075321296,12,0
C4_C1,j6019_1.sm,S_UR_maximo,37.52003463617486,8.385263760650615,-29.134770875524254,12,0
C4_C1,j6021_1.sm,S_UR_maximo,31.394532339558875,9.01966822171786,-22.374864117841014,12,0
C4_C1,j6024_1.sm,S_UR_maximo,28.478039171489645,4.99480451846839,-23.483234653021253,12,0
C4_C1,j6027_1.sm,S_UR_maximo,27.473105029815972,7.244376700400397,-20.228728329415574,12,0
C4_C1,j602_1.sm,S_UR_maximo,37.97273959327065,6.540690085455494,-31.43204950781516,12,0
C4_C1,j6032_1.sm,S_UR_maximo,36.71328125482602,7.11245978346587,-29.600821471360145,12,0
C4_C1,j6035_1.sm,S_UR_maximo,37.94383865252217,7.581334107392993,-30.36250454512917,12,0
C4_C1,j6038_1.sm,S_UR_maximo,32.06809788312695,8.99318683890067,-23.074911044226273,12,0
C4_C1,j6040_1.sm,S_UR_maximo,39.41188621312938,8.372265367301855,-31.039620845827525,12,0
C4_C1,j6043_1.sm,S_UR_maximo,22.66140808471009,6.177984991574793,-16.483423093135297,12,0
C4_C1,j6046_1.sm,S_UR_maximo,36.74046347312319,8.462956756877551,-28.277506716245643,12,0
C4_C1,j604_1.sm,S_UR_maximo,45.17588975000493,7.54048682217865,-37.63540292782628,12,0
C4_C1,j607_1.sm,S_UR_maximo,32.504699296169825,8.676567736749147,-23.828131559420672,12,0
C4_C1,j6010_1.sm,S_PV_final,221.25,298.5,77.25,12,0
C4_C1,j6013_1.sm,S_PV_final,217.66666666666666,304.75,87.08333333333333,12,0
C4_C1,j6016_1.sm,S_PV_final,219.08333333333334,326.4166666666667,107.33333333333333,12,0
C4_C1,j6019_1.sm,S_PV_final,223.41666666666666,310.9166666666667,87.5,12,0
C4_C1,j6021_1.sm,S_PV_final,222.5,304.1666666666667,81.66666666666667,12,0
C4_C1,j6024_1.sm,S_PV_final,200.75,263.5,62.75,12,0
C4_C1,j6027_1.sm,S_PV_final,237.91666666666666,316.1666666666667,78.25,12,0
C4_C1,j602_1.sm,S_PV_final,213.75,297.9166666666667,84.16666666666667,12,0
C4_C1,j6032_1.sm,S_PV_final,230.58333333333334,306.0,75.41666666666667,12,0
C4_C1,j6035_1.sm,S_PV_final,232.41666666666666,324.8333333333333,92.41666666666667,12,0
C4_C1,j6038_1.sm,S_PV_final,236.0,309.0,73.0,12,0
C4_C1,j6040_1.sm,S_PV_final,242.66666666666666,340.0833333333333,97.41666666666667,12,0
C4_C1,j6043_1.sm,S_PV_final,235.16666666666666,305.4166666666667,70.25,12,0
C4_C1,j6046_1.sm,S_PV_final,205.66666666666666,291.75,86.08333333333333,12,0
C4_C1,j604_1.sm,S_PV_final,245.33333333333334,353.0833333333333,107.75,12,0
C4_C1,j607_1.sm,S_PV_final,219.75,303.75,84.0,12,0
C4_C1,j6010_1.sm,TW,523.1666666666666,460.3333333333333,-62.833333333333336,12,0
C4_C1,j6013_1.sm,TW,563.6666666666666,502.0833333333333,-61.583333333333336,12,0
C4_C1,j6016_1.sm,TW,649.0,576.5,-72.5,12,0
C4_C1,j6019_1.sm,TW,578.3333333333334,508.6666666666667,-69.66666666666667,12,0
C4_C1,j6021_1.sm,TW,539.25,475.6666666666667,-63.583333333333336,12,0
C4_C1,j6024_1.sm,TW,466.6666666666667,407.3333333333333,-59.333333333333336,12,0
C4_C1,j6027_1.sm,TW,535.4166666666666,470.5,-64.91666666666667,12,0
C4_C1,j602_1.sm,TW,556.75,491.9166666666667,-64.83333333333333,12,0
C4_C1,j6032_1.sm,TW,574.1666666666666,508.1666666666667,-66.0,12,0
C4_C1,j6035_1.sm,TW,595.0833333333334,521.3333333333334,-73.75,12,0
C4_C1,j6038_1.sm,TW,577.8333333333334,499.5,-78.33333333333333,12,0
C4_C1,j6040_1.sm,TW,620.9166666666666,570.3333333333334,-50.583333333333336,12,0
C4_C1,j6043_1.sm,TW,506.4166666666667,455.25,-51.166666666666664,12,0
C4_C1,j6046_1.sm,TW,517.1666666666666,457.6666666666667,-59.5,12,0
C4_C1,j604_1.sm,TW,656.5,594.0,-62.5,12,0
C4_C1,j607_1.sm,TW,574.0,515.5,-58.5,12,0
C4_C1,j6010_1.sm,TL,0.0,13.166666666666666,13.166666666666666,12,0
C4_C1,j6013_1.sm,TL,0.0,7.916666666666667,7.916666666666667,12,0
C4_C1,j6016_1.sm,TL,0.0,11.0,11.0,12,0
C4_C1,j6019_1.sm,TL,0.0,9.5,9.5,12,0
C4_C1,j6021_1.sm,TL,0.0,9.25,9.25,12,0
C4_C1,j6024_1.sm,TL,0.0,8.75,8.75,12,0
C4_C1,j6027_1.sm,TL,0.0,13.916666666666666,13.916666666666666,12,0
C4_C1,j602_1.sm,TL,0.0,11.75,11.75,12,0
C4_C1,j6032_1.sm,TL,0.0,8.333333333333334,8.333333333333334,12,0
C4_C1,j6035_1.sm,TL,0.0,11.333333333333334,11.333333333333334,12,0
C4_C1,j6038_1.sm,TL,0.0,12.0,12.0,12,0
C4_C1,j6040_1.sm,TL,0.0,10.916666666666666,10.916666666666666,12,0
C4_C1,j6043_1.sm,TL,0.0,11.5,11.5,12,0
C4_C1,j6046_1.sm,TL,0.0,12.5,12.5,12,0
C4_C1,j604_1.sm,TL,0.0,11.916666666666666,11.916666666666666,12,0
C4_C1,j607_1.sm,TL,0.0,9.916666666666666,9.916666666666666,12,0
C4_C1,j6010_1.sm,TU,130.66666666666666,5.166666666666667,-125.5,12,0
C4_C1,j6013_1.sm,TU,86.5,2.3333333333333335,-84.16666666666667,12,0
C4_C1,j6016_1.sm,TU,154.91666666666666,10.833333333333334,-144.08333333333334,12,0
C4_C1,j6019_1.sm,TU,116.41666666666667,9.166666666666666,-107.25,12,0
C4_C1,j6021_1.sm,TU,93.75,3.5833333333333335,-90.16666666666667,12,0
C4_C1,j6024_1.sm,TU,132.5,6.583333333333333,-125.91666666666667,12,0
C4_C1,j6027_1.sm,TU,160.25,8.916666666666666,-151.33333333333334,12,0
C4_C1,j602_1.sm,TU,128.83333333333334,9.916666666666666,-118.91666666666667,12,0
C4_C1,j6032_1.sm,TU,142.75,11.833333333333334,-130.91666666666666,12,0
C4_C1,j6035_1.sm,TU,150.0,6.0,-144.0,12,0
C4_C1,j6038_1.sm,TU,120.08333333333333,4.833333333333333,-115.25,12,0
C4_C1,j6040_1.sm,TU,165.75,6.416666666666667,-159.33333333333334,12,0
C4_C1,j6043_1.sm,TU,194.5,4.083333333333333,-190.41666666666666,12,0
C4_C1,j6046_1.sm,TU,164.75,5.083333333333333,-159.66666666666666,12,0
C4_C1,j604_1.sm,TU,157.5,8.666666666666666,-148.83333333333334,12,0
C4_C1,j607_1.sm,TU,153.33333333333334,5.666666666666667,-147.66666666666666,12,0
C4_C1,j6010_1.sm,TR,84.99032250030008,55.24969678333617,-29.740625716963915,12,0
C4_C1,j6013_1.sm,TR,119.48157971848177,120.48010847867597,0.9985287601942426,12,0
C4_C1,j6016_1.sm,TR,142.29307034822452,105.12831466360927,-37.16475568461523,12,0
