modelo,arquivo,celula,semente,atraso_relativo,E_total,TW,TL,TU,TR,taxa_omissao,retrabalho_sobre_plano,divida_latente_sobre_plano,S_UR_maximo,n_com_erro,concluiu,divida_pendente,reparo_pendente,violacoes,p2_ajuda
legado,j6010_1.sm,00000,0,2.5176470588235293,0.7928507567632851,663.0,0.0,118.0,55.222951601402706,0.15,0.17096889040681953,0.08018577514153111,25.900005370714545,9,True,0,0.0,0,0
legado,j6010_1.sm,00000,1,2.764705882352941,0.7912961500915328,565.0,0.0,91.0,58.018386080412405,0.16666666666666666,0.17962348631706626,0.08544040585672147,27.597251091721034,10,True,0,0.0,0,0
legado,j6010_1.sm,00000,2,4.1647058823529415,0.7981596141656981,654.0,0.0,97.0,68.38498063900967,0.21666666666666667,0.21171820631272342,0.10323625103646294,33.34530908477753,13,True,0,0.0,0,0
legado,j6010_1.sm,00000,3,2.2823529411764705,0.7840002016739748,602.0,0.0,122.0,43.856945335762475,0.11666666666666667,0.13578001651938848,0.03923073298606687,12.671526754499599,7,True,0,0.0,0,0
legado,j6010_1.sm,00000,4,2.8705882352941177,0.7494349965596603,620.0,0.0,103.0,104.2898955161666,0.3,0.32287893348658386,0.08606369322981251,27.798572913229442,18,True,0,0.0,0,0
legado,j6010_1.sm,00000,5,2.4352941176470586,0.7799547378210466,583.0,0.0,94.0,70.47927248794271,0.31666666666666665,0.21820208200601457,0.06047370626699298,19.533007124238733,19,True,0,0.0,0,0
legado,j6010_1.sm,00000,6,2.2470588235294118,0.8262657232208831,610.0,0.0,79.0,49.26129156386479,0.13333333333333333,0.1525117385878167,0.06913053737565654,22.329163572337063,8,True,0,0.0,0,0
legado,j6010_1.sm,00000,7,2.7058823529411766,0.7525106970268436,636.0,0.0,167.0,42.17070988203179,0.16666666666666666,0.13055947331898385,0.047682014345978095,15.401290633750925,10,True,0,0.0,0,0
legado,j6010_1.sm,00000,8,2.2588235294117647,0.6872947945865095,649.0,0.0,220.0,75.28184981446209,0.15,0.23307074245963497,0.07010815742198591,22.64493484730145,9,True,0,0.0,0,0
legado,j6010_1.sm,00000,9,2.6705882352941175,0.8484306750700897,608.0,0.0,59.0,49.617182599830564,0.16666666666666666,0.15361356842052806,0.0678688748895255,21.921646589316737,10,True,0,0.0,0,0
legado,j6010_1.sm,00000,10,2.5058823529411764,0.7097652382341401,661.0,0.0,188.0,82.29384815257293,0.25,0.2547797156426407,0.07758561639649915,25.060154096069226,15,True,0,0.0,0,0
legado,j6010_1.sm,00000,11,2.4705882352941178,0.7826528377443965,588.0,0.0,107.0,56.29095768005445,0.2,0.17427541077416236,0.061961190915666015,20.01346466576012,12,True,0,0.0,0,0
legado,j6013_1.sm,00000,0,4.739130434782608,0.8367978581320425,700.0,0.0,95.0,41.52221763878311,0.15,0.12212416952583267,0.041138051140668735,13.98693738782737,9,True,0,0.0,0,0
legado,j6013_1.sm,00000,1,5.318840579710145,0.8546299955535999,714.0,0.0,62.0,59.44926309015797,0.23333333333333334,0.17485077379458228,0.05236748836770775,17.804946045020635,14,True,0,0.0,0,0
legado,j6013_1.sm,00000,2,4.956521739130435,0.8589681365010834,686.0,0.0,21.0,91.63265102515804,0.3,0.26950779713281775,0.07576039609492437,25.758534672274287,18,True,0,0.0,0,0
legado,j6013_1.sm,00000,3,4.27536231884058,0.7902832456521172,694.0,0.0,114.0,70.16615601831822,0.16666666666666666,0.20637104711270066,0.03172645619246738,10.78699510543891,10,True,0,0.0,0,0
