modelo,metrica,termo,parcela,ic95_inf,ic95_sup,pct_contraste,n_instancias
legado,atraso_relativo,G,-0.27457610016910283,-0.40007369316687436,-0.1490785071713313,24.183220969308483,16
legado,atraso_relativo,N,-0.2603225941294601,-0.37941581260914037,-0.1412293756497799,22.927847009478164,16
legado,atraso_relativo,B,0.0,0.0,0.0,-0.0,16
legado,atraso_relativo,C,-0.31619985324382105,-0.40348359261025935,-0.22891611387738278,27.849222553415448,16
legado,atraso_relativo,D,-0.43651242523254186,-0.5168579981925596,-0.3561668522725241,38.445722073938796,16
legado,atraso_relativo,GN,-0.06186442341508076,-0.2832428184989058,0.15951397166874426,5.448693534012502,16
legado,atraso_relativo,GB,0.0,0.0,0.0,-0.0,16
legado,atraso_relativo,GC,0.049092393216712125,-0.12531986424636685,0.2235046506797911,-4.323800186326353,16
legado,atraso_relativo,GD,-0.008698223290765479,-0.1258457013474437,0.10844925476591274,0.7660938288198372,16
legado,atraso_relativo,NB,0.0,0.0,0.0,-0.0,16
legado,atraso_relativo,NC,-0.05504606148534886,-0.17267164071113872,0.06257951774044099,4.848168021799761,16
legado,atraso_relativo,ND,-0.11195940839442035,-0.22245185655432564,-0.0014669602345150773,9.860796737690679,16
legado,atraso_relativo,BC,-2.2072382748377007e-16,-2.7011914648757394e-16,-1.7132850847996622e-16,1.9440195595844445e-14,16
legado,atraso_relativo,BD,7.303062963018761e-16,6.391743846606991e-16,8.214382079430531e-16,-6.432154338221202e-14,16
legado,atraso_relativo,CD,0.29695918637777996,0.21168962281786613,0.3822287499376938,-26.154605658020113,16
legado,atraso_relativo,GNB,-2.80709041835082e-15,-3.1007224715590625e-15,-2.5134583651425775e-15,2.47233782641674e-13,16
legado,atraso_relativo,GNC,0.03121530581484614,-0.25818296177392025,0.3206135734036126,-2.749280209311929,16
legado,atraso_relativo,GND,0.014427062165192742,-0.2140854120126484,0.2429395363430339,-1.270659871940544,16
legado,atraso_relativo,GBC,2.664633663280128e-16,1.2732715264099485e-16,4.0559958001503076e-16,-2.3468693976524192e-14,16
legado,atraso_relativo,GBD,-1.2315509673103102e-16,-2.1570903393731737e-16,-3.0601159524744666e-17,1.0846854172336375e-14,16
legado,atraso_relativo,GCD,-0.046949635745709414,-0.2164899149737044,0.12259064348228559,4.135077360949412,16
legado,atraso_relativo,NBC,2.9358770787138933e-16,1.5718263233135356e-16,4.299927834114251e-16,-2.5857663536462168e-14,16
legado,atraso_relativo,NBD,-1.3271098124450874e-15,-1.5975753604553706e-15,-1.0566442644348042e-15,1.1688486297653553e-13,16
legado,atraso_relativo,NCD,0.05904913421500586,-0.07404481098406289,0.1921430794140746,-5.2007376457323895,16
legado,atraso_relativo,BCD,-1.1493127696989887e-15,-1.329795133786013e-15,-9.688304056119643e-16,1.0122543315081352e-13,16
legado,atraso_relativo,GNBC,-1.249000902703301e-16,-3.274011650268001e-16,7.760098448613989e-17,1.1000544039462087e-14,16
legado,atraso_relativo,GNBD,3.2192949608754153e-15,2.895485973871256e-15,3.5431039478795746e-15,-2.8353859405929463e-13,16
legado,atraso_relativo,GNCD,-0.014013568052087068,-0.31433055266565135,0.2863034165614772,1.2342414819183085,16
legado,atraso_relativo,GBCD,1.63900039384454e-15,1.413223620083608e-15,1.864777167605472e-15,-1.4435454749599609e-13,16
legado,atraso_relativo,NBCD,1.5850360335473996e-15,1.2751114148945128e-15,1.8949606522002863e-15,-1.39601650034311e-13,16
legado,atraso_relativo,GNBCD,-6.494804694057166e-15,-7.355097428317991e-15,-5.63451195979634e-15,5.720282900520285e-13,16
legado,E_total,G,0.11408976666489393,0.09828515104585477,0.12989438228393307,109.04005904427,16
legado,E_total,N,-0.043426457573327484,-0.0514292592410755,-0.03542365590557947,-41.504366572923935,16
legado,E_total,B,0.0,0.0,0.0,0.0,16
legado,E_total,C,0.004484947458066008,-0.0004757903228107697,0.009445685238942786,4.286439966823477,16
legado,E_total,D,0.0018999282493703906,-0.004997045438375069,0.00879690193711585,1.8158358505519743,16
legado,E_total,GN,0.03228570070375551,0.024377979278805452,0.04019342212870557,30.856708834924703,16
legado,E_total,GB,0.0,0.0,0.0,0.0,16
legado,E_total,GC,-0.004525660611444715,-0.01064520172805978,0.0015938805051703506,-4.325351122293994,16
legado,E_total,GD,0.0018834834569566423,-0.005879123330145992,0.009646090244059276,1.8001189182785238,16
legado,E_total,NB,0.0,0.0,0.0,0.0,16
legado,E_total,NC,-0.005982867662100948,-0.012404993800557616,0.0004392584763557193,-5.7180609812771195,16
legado,E_total,ND,-0.005286949548865804,-0.014788030156423746,0.004214131058692137,-5.052944780452365,16
legado,E_total,BC,3.1398206651645983e-17,1.8257036574279718e-17,4.453937672901225e-17,3.0008496005042225e-14,16
legado,E_total,BD,2.2738022214047173e-16,2.1629920312459495e-16,2.384612411563485e-16,2.1731618507486512e-13,16
legado,E_total,CD,-0.002427103423593711,-0.011195834018849403,0.006341627171661982,-2.319677814685573,16
legado,E_total,GNB,-8.017915242331827e-16,-8.021193753763241e-16,-8.014636730900413e-16,-7.663035669130121e-13,16
legado,E_total,GNC,0.008435385877623373,0.0002723986134567681,0.01659837314178998,8.062028708138994,16
legado,E_total,GND,0.0007099061677282859,-0.00822446055569609,0.009644272891152661,0.6784851324339037,16
legado,E_total,GBC,-1.4385794160847714e-16,-1.5894496974983378e-16,-1.287709134671205e-16,-1.3749066989548198e-13,16
legado,E_total,GBD,-2.5265090882485886e-17,-4.551416771881644e-17,-5.016014046155334e-18,-2.4146837022437433e-14,16
legado,E_total,GCD,2.0220006255986227e-05,-0.00923669286017024,0.009277132872682213,0.019325052022449912,16
legado,E_total,NBC,-2.0057021597969984e-17,-8.090224661388426e-17,4.07882034179443e-17,-1.916928120046549e-14,16
legado,E_total,NBD,-5.557244306456516e-16,-5.768683828946212e-16,-5.345804783966819e-16,-5.311276068074472e-13,16
legado,E_total,NCD,0.003004714620379354,-0.005643085784199605,0.011652515024958314,2.8717234612257387,16
legado,E_total,BCD,-4.676618496379311e-16,-4.710573194479149e-16,-4.642663798279474e-16,-4.4696274861401427e-13,16
legado,E_total,GNBC,2.7755575615628914e-17,-1.8069260494705392e-17,7.358041172596323e-17,2.6527090837386553e-14,16
legado,E_total,GNBD,1.2158897990627123e-15,1.2012983596055334e-15,1.2304812385198912e-15,1.1620735089286458e-12,16
legado,E_total,GNCD,-0.0005339570798919247,-0.008389077753849162,0.007321163594065313,-0.5103236970370361,16
legado,E_total,GBCD,4.3918959516496577e-16,3.9966651169447725e-16,4.787126786354543e-16,4.197506997194403e-13,16
legado,E_total,NBCD,6.851797432109527e-16,6.284650293106775e-16,7.418944571112278e-16,6.548531199568959e-13,16
legado,E_total,GNBCD,-2.0886070650760757e-15,-2.1207843094424873e-15,-2.0564298207096642e-15,-1.9961635855133382e-12,16
legado,TW,G,-31.06770833333333,-39.91241276855642,-22.223003898110235,20.766606322239237,16
legado,TW,N,-124.61979166666667,-135.16645135428053,-114.07313197905282,83.29967971034675,16
legado,TW,B,0.0,0.0,0.0,-0.0,16
legado,TW,C,0.4166666666669018,-4.155847151122132,4.989180484455935,-0.27851274195810166,16
legado,TW,D,1.3749999999998268,-3.018976139460187,5.7689761394598404,-0.9190920484611013,16
legado,TW,GN,8.42708333333334,1.6701570883376382,15.18400957832904,-5.632920206099432,16
legado,TW,GB,0.0,0.0,0.0,-0.0,16
legado,TW,GC,0.8177083333330257,-4.420504764657944,6.055921431323996,-0.5465812560922606,16
legado,TW,GD,0.6458333333335203,-4.743465236522551,6.035131903189592,-0.431694750034939,16
legado,TW,NB,0.0,0.0,0.0,-0.0,16
legado,TW,NC,0.5937499999997004,-5.8269791887687985,7.0144791887682,-0.3968806572898707,16
legado,TW,ND,2.3541666666678185,-4.01299795546767,8.721331288803308,-1.5735969920631565,16
legado,TW,BC,-3.487141131408578e-14,-4.223990992467408e-14,-2.7502912703497483e-14,2.3309117714470374e-14,16
legado,TW,BD,1.6121960537407452e-13,1.5094268786344233e-13,1.714965228847067e-13,-1.0776411444026704e-13,16
legado,TW,CD,-0.9531250000002589,-5.2795974195894715,3.373347419588954,0.6370978972289713,16
legado,TW,GNB,-6.252815105967091e-13,-6.654982484172069e-13,-5.850647727762113e-13,4.1795728322854803e-13,16
legado,TW,GNC,-2.833333333332824,-10.160828041566019,4.49416137490037,1.8938866453136827,16
legado,TW,GND,-5.41145833333465,-12.496789281406816,1.6738726147375145,3.617184236179685,16
legado,TW,GBC,-8.726526445901322e-15,-6.462438194406879e-14,4.7171329052266146e-14,5.8330771397195854e-15,16
legado,TW,GBD,-6.088648104215138e-14,-8.484869642442583e-14,-3.6924265659876926e-14,4.0698385879727975e-14,16
legado,TW,GCD,-0.8333333333335764,-6.237429615936631,4.570762949269478,0.5570254839160516,16
legado,TW,NBC,6.758309190058043e-14,4.368890225444327e-14,9.147728154671759e-14,-4.517460536454338e-14,16
legado,TW,NBD,-3.5096173652456503e-13,-3.8125020148283265e-13,-3.206732715662974e-13,2.345935573482679e-13,16
legado,TW,NCD,-2.973958333333998,-9.737784476416454,3.789867809748458,1.9878846957252732,16
legado,TW,BCD,-3.069260702074731e-13,-3.3150803015736054e-13,-2.8234411025758564e-13,2.0515877134046382e-13,16
legado,TW,GNBC,-1.7763568394002505e-14,-7.599419255713154e-14,4.046705576912653e-14,1.1873712336890686e-14,16
legado,TW,GNBD,8.42496211683752e-13,7.770945227380101e-13,9.078979006294939e-13,-5.631502320125343e-13,16
legado,TW,GNCD,4.4583333333343775,-3.1004524337744037,12.017119100443159,-2.9800863389507044,16
legado,TW,GBCD,4.009806086705906e-13,3.1429031701897033e-13,4.876709003222109e-13,-2.680277011027482e-13,16
legado,TW,NBCD,5.433720603094846e-13,5.090589501675211e-13,5.776851704514481e-13,-3.6320650180831716e-13,16
legado,TW,GNBCD,-1.5347723092418164e-12,-1.6182753041920542e-12,-1.4512693142915786e-12,1.0258887459073552e-12,16
legado,TL,G,9.973958333333332,9.110817704840567,10.837098961826097,95.08440913604765,16
legado,TL,N,0.0,0.0,0.0,0.0,16
legado,TL,B,0.0,0.0,0.0,0.0,16
legado,TL,C,-5.300688514663224e-16,-6.343186385229035e-16,-4.258190644097413e-16,-5.053287958368118e-15,16
legado,TL,D,2.4681934736777324e-15,2.2546098812598016e-15,2.6817770660956632e-15,2.352994771331304e-14,16
legado,TL,GN,0.41145833333333304,0.0020726625864101456,0.8208440040802559,3.9225422045680203,16
legado,TL,GB,0.0,0.0,0.0,0.0,16
legado,TL,GC,0.08854166666666713,-0.13287291432554252,0.30995624765887675,0.8440913604766677,16
legado,TL,GD,0.08333333333333144,-0.10082782707945175,0.2674944937461146,0.7944389275074297,16
legado,TL,NB,0.0,0.0,0.0,0.0,16
legado,TL,NC,5.300688514663224e-16,4.258190644097413e-16,6.343186385229035e-16,5.053287958368118e-15,16
legado,TL,ND,2.661677784041338e-15,2.4220919440830568e-15,2.901263623999619e-15,2.5374485329490407e-14,16
legado,TL,BC,7.552986014403018e-15,6.915395054224148e-15,8.190576974581888e-15,7.200463330513304e-14,16
legado,TL,BD,-2.4681934736777324e-15,-2.6817770660956632e-15,-2.2546098812598016e-15,-2.352994771331304e-14,16
legado,TL,CD,-1.938124622211409e-15,-2.1017547866155104e-15,-1.7744944578073074e-15,-1.847665975494491e-14,16
legado,TL,GNB,-3.653544480841653e-15,-4.4286755900852514e-15,-2.8784133715980547e-15,-3.4830215507527176e-14,16
legado,TL,GNC,-0.08333333333333273,-0.4140452566152507,0.24737858994858522,-0.7944389275074422,16
legado,TL,GND,-0.09895833333334014,-0.3895637008681554,0.1916470342014751,-0.9433962264151592,16
legado,TL,GBC,-8.490025812009822e-15,-9.729451950855386e-15,-7.250599673164258e-15,-8.093768400724359e-14,16
legado,TL,GBD,3.1146960011163563e-15,2.744307317316774e-15,3.4850846849159388e-15,2.969322900766337e-14,16
legado,TL,GCD,-0.09375000000000053,-0.2712782605283891,0.08377826052838808,-0.8937437934458838,16
legado,TL,NBC,-7.552986014403018e-15,-8.190576974581888e-15,-6.915395054224148e-15,-7.200463330513304e-14,16
legado,TL,NBD,-1.3889352630987637e-15,-1.5149366855432894e-15,-1.262933840654238e-15,-1.324109088952148e-14,16
legado,TL,NCD,-3.1917466355076605e-15,-3.464359718870657e-15,-2.919133552144664e-15,-3.042777328785853e-14,16
legado,TL,BCD,-5.605469792039722e-15,-6.076758089110579e-15,-5.134181494968865e-15,-5.3438440917161206e-14,16
legado,TL,GNBC,4.163336342344337e-15,3.087997546321052e-15,5.238675138367622e-15,3.969019750397779e-14,16
legado,TL,GNBD,5.039371697712625e-15,4.59353354829255e-15,5.4852098471326995e-15,4.8041676562106446e-14,16
legado,TL,GNCD,0.20833333333334048,-0.14912162225278575,0.5657882889194668,1.9860973187686874,16
legado,TL,GBCD,6.460399345116959e-15,5.481829801192276e-15,7.438968889041642e-15,6.158871272405441e-14,16
legado,TL,NBCD,8.941921277501782e-15,8.186903030973383e-15,9.696939524030181e-15,8.524572419465452e-14,16
legado,TL,GNBCD,-1.4377388168895777e-14,-1.560205399660265e-14,-1.3152722341188902e-14,-1.3706348204706997e-13,16
legado,TU,G,-119.81770833333333,-134.03755578727822,-105.59786087938843,99.58012293307938,16
legado,TU,N,15.40625,7.9452625514227595,22.867237448577242,-12.804086226300754,16
legado,TU,B,0.0,0.0,0.0,-0.0,16
legado,TU,C,-3.276041666666594,-7.946087228065406,1.3940038947322178,2.7227079906501,16
legado,TU,D,-0.05208333333341919,-5.099579531574631,4.9954128649077925,0.04328629555889744,16
