celula,exec,terminais,violacoes
00000,192,192,0
00001,192,192,0
00010,192,192,0
00011,192,192,0
00100,192,192,0
00101,192,192,0
00110,192,192,0
00111,192,192,0
01000,192,192,0
01001,192,192,0
01010,192,192,0
01011,192,192,0
01100,192,192,0
01101,192,192,0
01110,192,192,0
01111,192,192,0
10000,192,192,0
10001,192,192,0
10010,192,192,0
10011,192,192,0
10100,192,192,0
10101,192,192,0
10110,192,192,0
10111,192,192,0
11000,192,192,0
11001,192,192,0
11010,192,192,0
11011,192,192,0
11100,192,192,0
11101,192,192,0
11110,192,192,0
11111,192,192,0
