metrica,cenario,ANTES_efd81b7,DEPOIS_corrigido,delta
concluiu,centralizada,1.0,1.0,0.0
concluiu,adaptativa,1.0,1.0,0.0
makespan,centralizada,229.94791666666666,231.73958333333334,1.7916666666666856
makespan,adaptativa,142.88020833333334,154.359375,11.479166666666657
makespan_cpm,centralizada,77.1875,77.1875,0.0
makespan_cpm,adaptativa,77.1875,77.1875,0.0
E_total,centralizada,0.7344754229093103,0.7067130346128633,-0.02776238829644706
E_total,adaptativa,0.8655583734230685,0.6558684628165047,-0.20968991060656383
S_UR_final,centralizada,9.830099697201906e-16,1.5491080640472887e-15,5.660980943270981e-16
S_UR_final,adaptativa,5.782411586589357e-18,9.020562075079397e-17,8.442320916420461e-17
S_UR_maximo,centralizada,25.905232420206406,35.14699954028097,9.241767120074567
S_UR_maximo,adaptativa,6.621742950196061,8.667447708101468,2.0457047579054075
S_PV_final,centralizada,254.19270833333334,225.24479166666666,-28.947916666666686
S_PV_final,adaptativa,316.9427083333333,307.578125,-9.364583333333314
TW,centralizada,563.25,564.6458333333334,1.3958333333333712
TW,adaptativa,497.359375,433.015625,-64.34375
TL,centralizada,0.0,0.0,0.0
TL,adaptativa,9.135416666666666,102.859375,93.72395833333333
TU,centralizada,140.74479166666666,140.78125,0.03645833333334281
TU,adaptativa,17.010416666666668,49.520833333333336,32.51041666666667
TR,centralizada,67.14200362640874,98.57459165903295,31.43258803262421
TR,adaptativa,51.49204745819196,80.13663180837382,28.64458435018186
n_limpas,centralizada,46.494791666666664,41.25,-5.244791666666664
n_limpas,adaptativa,56.427083333333336,54.942708333333336,-1.484375
n_com_erro,centralizada,13.505208333333334,18.75,5.244791666666666
n_com_erro,adaptativa,3.5729166666666665,5.057291666666667,1.4843750000000004
n_reportadas,centralizada,1.9895833333333333,2.96875,0.9791666666666667
n_reportadas,adaptativa,10.104166666666666,14.078125,3.973958333333334
n_adiamentos,centralizada,0.0,0.0,0.0
n_adiamentos,adaptativa,0.0,0.0,0.0
taxa_omissao,centralizada,0.22508680555555552,0.31249999999999994,0.08741319444444443
taxa_omissao,adaptativa,0.05954861111111107,0.08428819444444441,0.024739583333333336
E_plano,centralizada,339.25,339.25,0.0
E_plano,adaptativa,339.25,339.25,0.0
retrabalho_sobre_plano,centralizada,0.19738445074889133,0.2892036315045449,0.0918191807556536
retrabalho_sobre_plano,adaptativa,0.15164107644381916,0.23495257663381422,0.08331150018999506
divida_latente_sobre_plano,centralizada,0.07633880805141341,0.10327218484475532,0.026933376793341915
divida_latente_sobre_plano,adaptativa,0.019580624788310744,0.02545760842423252,0.005876983635921776
retrabalho_sobre_esforco_realizado,centralizada,0.08665499833732167,0.12144735548643032,0.03479235714910865
retrabalho_sobre_esforco_realizado,adaptativa,0.0889892938614331,0.11844711411456003,0.029457820253126932
p1_omissao,centralizada,38.130208333333336,38.21875,0.0885416666666643
p1_omissao,adaptativa,22.432291666666668,31.229166666666668,8.796875
p1_fuga,centralizada,0.0,0.0,0.0
p1_fuga,adaptativa,0.0,0.0,0.0
p2_ajuda,centralizada,0.0,0.0,0.0
p2_ajuda,adaptativa,9.135416666666666,102.859375,93.72395833333333
p2_bloqueio,centralizada,140.74479166666666,140.78125,0.03645833333334281
p2_bloqueio,adaptativa,17.010416666666668,49.520833333333336,32.51041666666667
p3_analitica,centralizada,21.869791666666668,21.78125,-0.08854166666666785
p3_analitica,adaptativa,37.567708333333336,28.770833333333332,-8.796875000000004
hiato_encontrado,centralizada,140.74479166666666,140.78125,0.03645833333334281
hiato_encontrado,adaptativa,26.145833333333332,152.38020833333334,126.23437500000001
hiato_sem_colega_capaz,centralizada,49.708333333333336,10.21875,-39.489583333333336
hiato_sem_colega_capaz,adaptativa,17.010416666666668,10.385416666666666,-6.625000000000002
hiato_sem_colega_livre,centralizada,11.942708333333334,13.192708333333334,1.25
hiato_sem_colega_livre,adaptativa,7.369791666666667,10.90625,3.536458333333333
hiato_colega_capaz_sem_confianca,centralizada,91.03645833333333,130.5625,39.52604166666667
hiato_colega_capaz_sem_confianca,adaptativa,0.0,0.020833333333333332,0.020833333333333332
competencia_maxima_inicial,centralizada,0.6784269160974062,0.6784269160974062,0.0
competencia_maxima_inicial,adaptativa,0.6784269160974062,0.6784269160974062,0.0
competencia_minima_inicial,centralizada,0.3605369664877633,0.3605369664877633,0.0
competencia_minima_inicial,adaptativa,0.3605369664877633,0.3605369664877633,0.0
tarefas_acima_da_competencia_maxima_inicial,centralizada,14.541666666666666,14.541666666666666,0.0
tarefas_acima_da_competencia_maxima_inicial,adaptativa,14.541666666666666,14.541666666666666,0.0
n_tarefas,centralizada,60.0,60.0,0.0
n_tarefas,adaptativa,60.0,60.0,0.0
competencia_maxima_final,centralizada,0.6784269160974062,0.6784269160974062,0.0
competencia_maxima_final,adaptativa,0.8941015795562725,0.6784269160974062,-0.2156746634588662
atraso_relativo,centralizada,3.0365790103221184,3.0608024318896923,0.024223421567573844
atraso_relativo,adaptativa,1.8825397875818293,2.0373813983341833,0.15484161075235403
tarefas_pendentes,centralizada,0.0,0.0,0.0
tarefas_pendentes,adaptativa,0.0,0.0,0.0
dividas_pendentes,centralizada,0.0,0.0,0.0
dividas_pendentes,adaptativa,0.0,0.0,0.0
retrabalho_gerado,centralizada,67.14200362640874,98.57459165903295,31.43258803262421
retrabalho_gerado,adaptativa,51.49204745819196,80.13663180837382,28.64458435018186
retrabalho_pendente,centralizada,0.0,0.0,0.0
retrabalho_pendente,adaptativa,0.0,0.0,0.0
ocupacao_retrabalho,centralizada,72.77083333333333,107.4375,34.66666666666667
ocupacao_retrabalho,adaptativa,55.963541666666664,87.11458333333333,31.151041666666664
extensoes_horizonte,centralizada,0.0,0.0,0.0
extensoes_horizonte,adaptativa,0.0,0.0,0.0
confianca_media_final,centralizada,0.25,0.25,0.0
confianca_media_final,adaptativa,0.7999999999999999,0.9363963210023943,0.1363963210023944
