ANTES_config,DEPOIS_config,cenario,metrica,ANTES,DEPOIS,delta,ic95_delta_inf,ic95_delta_sup,n_instancias
legado,controle_motor,centralizada,concluiu,1.0,1.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,concluiu,1.0,1.0,0.0,0.0,0.0,16
legado,controle_motor,centralizada,makespan,237.68229166666666,237.68229166666666,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,makespan,151.90625,151.90625,0.0,0.0,0.0,16
legado,controle_motor,centralizada,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,makespan_cpm,77.1875,77.1875,0.0,0.0,0.0,16
legado,controle_motor,centralizada,E_total,0.7839008771073722,0.7839008771073722,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,E_total,0.8885319344131773,0.8885319344131773,0.0,0.0,0.0,16
legado,controle_motor,centralizada,S_UR_final,1.0125002688117963e-15,1.0125002688117963e-15,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,S_UR_final,1.7925475918427008e-17,1.7925475918427008e-17,0.0,0.0,0.0,16
legado,controle_motor,centralizada,S_UR_maximo,25.112262752683552,25.112262752683552,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,S_UR_maximo,6.823482483522409,6.823482483522409,0.0,0.0,0.0,16
legado,controle_motor,centralizada,S_PV_final,257.1979166666667,257.1979166666667,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,S_PV_final,315.421875,315.421875,0.0,0.0,0.0,16
legado,controle_motor,centralizada,TW,696.796875,696.796875,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,TW,547.1927083333334,547.1927083333334,0.0,0.0,0.0,16
legado,controle_motor,centralizada,TL,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,TL,10.489583333333334,10.489583333333334,0.0,0.0,0.0,16
legado,controle_motor,centralizada,TU,126.265625,126.265625,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,TU,5.942708333333333,5.942708333333333,0.0,0.0,0.0,16
legado,controle_motor,centralizada,TR,68.86531966000787,68.86531966000787,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,TR,52.50890631287791,52.50890631287791,0.0,0.0,0.0,16
legado,controle_motor,centralizada,n_limpas,46.979166666666664,46.979166666666664,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,n_limpas,56.177083333333336,56.177083333333336,0.0,0.0,0.0,16
legado,controle_motor,centralizada,n_com_erro,13.020833333333334,13.020833333333334,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,n_com_erro,3.8229166666666665,3.8229166666666665,0.0,0.0,0.0,16
legado,controle_motor,centralizada,n_reportadas,2.140625,2.140625,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,n_reportadas,9.989583333333334,9.989583333333334,0.0,0.0,0.0,16
legado,controle_motor,centralizada,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,n_adiamentos,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,centralizada,taxa_omissao,0.21701388888888887,0.21701388888888887,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,taxa_omissao,0.06371527777777775,0.06371527777777775,0.0,0.0,0.0,16
legado,controle_motor,centralizada,E_plano,339.25,339.25,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,E_plano,339.25,339.25,0.0,0.0,0.0,16
legado,controle_motor,centralizada,retrabalho_sobre_plano,0.2030987730702701,0.2030987730702701,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,retrabalho_sobre_plano,0.1544681748545185,0.1544681748545185,0.0,0.0,0.0,16
legado,controle_motor,centralizada,divida_latente_sobre_plano,0.07412735814984966,0.07412735814984966,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,divida_latente_sobre_plano,0.020144458403516783,0.020144458403516783,0.0,0.0,0.0,16
legado,controle_motor,centralizada,retrabalho_sobre_esforco_realizado,0.07700442375652732,0.07700442375652732,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,retrabalho_sobre_esforco_realizado,0.08461401738680607,0.08461401738680607,0.0,0.0,0.0,16
legado,controle_motor,centralizada,p1_omissao,38.640625,38.640625,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,p1_omissao,19.166666666666668,19.166666666666668,0.0,0.0,0.0,16
legado,controle_motor,centralizada,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,adaptativa,p1_fuga,0.0,0.0,0.0,0.0,0.0,16
legado,controle_motor,centralizada,p2_ajuda,0.0,0.0,0.0,0.0,0.0,16
