metrica,configuracoes,contraste_min,contraste_max,negativas,positivas,zero,IC_inteiro_negativo,IC_inteiro_positivo,pares_censurados
E_plano,129,0.0,0.0,0,0,129,0,0,0
E_total,129,-0.1008969955842028,0.0150570668666127,124,5,0,57,0,0
N_blocked,129,-153.625,0.0,123,0,6,123,0,0
N_fail,129,0.0,42.6875,0,126,3,0,114,0
N_req,129,0.0,161.625,0,126,3,0,123,0
N_success,129,-0.4375,126.9375,1,125,3,0,118,0
S_PV_final,129,32.625,153.25,0,129,0,0,129,0
S_UR_final,129,-7.466249840604178e-15,1.3877787807814457e-17,128,1,0,41,0,0
S_UR_maximo,129,-60.997183339026925,-5.827705449581319,129,0,0,129,0,0
TL,129,-0.4375,126.9375,1,125,3,0,118,0
TR,129,-63.88133885209304,7.637534573941011,126,3,0,54,0,0
TU,129,-137.6875,8.25,126,3,0,113,0,0
TW,129,-280.0625,-50.3125,129,0,0,129,0,0
atraso_relativo,129,-1.7755563314189138,-0.6072352841467124,129,0,0,128,0,0
competencia_maxima_final,129,0.0,0.0,0,0,129,0,0,0
competencia_maxima_inicial,129,0.0,0.0,0,0,129,0,0,0
competencia_minima_inicial,129,0.0,0.0,0,0,129,0,0,0
concluiu,129,0.0,0.0,0,0,129,0,0,0
confianca_media_final,129,0.2041398475158782,0.7240555670800362,0,129,0,0,129,0
divida_latente_sobre_plano,129,-0.1840080382929508,-0.0176901889426444,129,0,0,129,0,0
dividas_pendentes,129,0.0,0.0,0,0,129,0,0,0
extensoes_horizonte,129,0.0,0.0,0,0,129,0,0,0
hiato_colega_capaz_sem_confianca,129,-153.625,0.0,126,0,3,123,0,0
hiato_encontrado,129,-44.0625,34.6875,46,83,0,5,6,0
hiato_sem_colega_capaz,129,-5.3125,4.0625,92,31,6,2,2,0
hiato_sem_colega_livre,129,-4.5625,5.3125,55,71,3,0,1,0
makespan,129,-145.0625,-49.625,129,0,0,129,0,0
makespan_cpm,129,0.0,0.0,0,0,129,0,0,0
n_adiamentos,129,0.0,0.0,0,0,129,0,0,0
n_com_erro,129,-24.6875,-5.3125,129,0,0,129,0,0
n_limpas,129,5.3125,24.6875,0,129,0,0,129,0
n_reportadas,129,3.5,24.0625,0,129,0,0,129,0
n_tarefas,129,0.0,0.0,0,0,129,0,0,0
ocupacao_retrabalho,129,-68.25,8.5625,126,3,0,54,0,0
p1_fuga,129,0.0,0.0,0,0,129,0,0,0
p1_omissao,129,-12.4375,-0.0625,129,0,0,92,0,0
p2_ajuda,129,-0.4375,126.9375,1,125,3,0,118,0
p2_bloqueio,129,-137.6875,8.25,126,3,0,113,0,0
p3_analitica,129,0.0625,12.4375,0,129,0,0,92,0
retrabalho_gerado,129,-63.88133885209304,7.63753457394102,126,3,0,54,0,0
retrabalho_pendente,129,0.0,0.0,0,0,129,0,0,0
retrabalho_sobre_esforco_realizado,129,-0.043273723699339,0.0562131282897117,62,67,0,8,22,0
retrabalho_sobre_plano,129,-0.1922626845837578,0.0226608813193165,126,3,0,53,0,0
tarefas_acima_da_competencia_maxima_inicial,129,0.0,0.0,0,0,129,0,0,0
tarefas_pendentes,129,0.0,0.0,0,0,129,0,0,0
taxa_omissao,129,-0.4114583333333333,-0.0885416666666666,129,0,0,129,0,0
