arquivo,semente,cenario,concluiu,violacoes,N_req,N_fail,N_blocked,N_success
j6010_1.sm,0,centralizada,True,0,0,0,99,0
j6010_1.sm,0,adaptativa,True,0,104,24,0,80
j6010_1.sm,1,centralizada,True,0,0,0,58,0
j6010_1.sm,1,adaptativa,True,0,111,18,0,93
j6010_1.sm,2,centralizada,True,0,0,0,90,0
j6010_1.sm,2,adaptativa,True,0,101,44,0,57
j6010_1.sm,3,centralizada,True,0,0,0,204,0
j6010_1.sm,3,adaptativa,True,0,166,54,0,112
j6013_1.sm,0,centralizada,True,0,0,0,56,0
j6013_1.sm,0,adaptativa,True,0,89,5,0,84
j6013_1.sm,1,centralizada,True,0,0,0,93,0
j6013_1.sm,1,adaptativa,True,0,62,11,0,51
j6013_1.sm,2,centralizada,True,0,0,0,13,0
j6013_1.sm,2,adaptativa,True,0,35,10,0,25
j6013_1.sm,3,centralizada,True,0,0,0,124,0
j6013_1.sm,3,adaptativa,True,0,90,22,0,68
j6016_1.sm,0,centralizada,True,0,0,0,134,0
j6016_1.sm,0,adaptativa,True,0,136,36,0,100
j6016_1.sm,1,centralizada,True,0,0,0,126,0
j6016_1.sm,1,adaptativa,True,0,126,28,0,98
j6016_1.sm,2,centralizada,True,0,0,0,126,0
j6016_1.sm,2,adaptativa,True,0,169,84,0,85
j6016_1.sm,3,centralizada,True,0,0,0,155,0
j6016_1.sm,3,adaptativa,True,0,152,47,0,105
j6019_1.sm,0,centralizada,True,0,0,0,91,0
j6019_1.sm,0,adaptativa,True,0,147,32,0,115
j6019_1.sm,1,centralizada,True,0,0,0,84,0
j6019_1.sm,1,adaptativa,True,0,71,20,0,51
j6019_1.sm,2,centralizada,True,0,0,0,120,0
j6019_1.sm,2,adaptativa,True,0,111,57,0,54
j6019_1.sm,3,centralizada,True,0,0,0,101,0
j6019_1.sm,3,adaptativa,True,0,138,41,0,97
