cenario,Di_faixa,P_faixa,B_faixa,oportunidades,p1,probabilidade_media,q_medio,frequencia_p1
adaptativa,ate_025,025_050,acima_075,1,0,0.025554675332605283,0.0,0.0
adaptativa,ate_025,050_075,ate_025,2,1,0.5241750722568991,0.4719010311042131,0.5
adaptativa,ate_025,050_075,025_050,1,0,0.11581224510299395,0.0,0.0
adaptativa,ate_025,050_075,050_075,5,0,0.03914753512490883,0.0,0.0
adaptativa,ate_025,050_075,acima_075,9,3,0.03035537485390179,0.0,0.3333333333333333
adaptativa,ate_025,acima_075,ate_025,5,5,0.999991703587375,0.99998340717475,1.0
adaptativa,ate_025,acima_075,050_075,2,0,0.06294706016903152,0.0,0.0
adaptativa,ate_025,acima_075,acima_075,7,0,0.044500691219237505,0.0,0.0
adaptativa,025_050,025_050,ate_025,8,8,0.999727310235951,0.9994546204719019,1.0
adaptativa,025_050,025_050,025_050,2,0,0.11843353949447186,0.0,0.0
adaptativa,025_050,025_050,050_075,2,0,0.06184498039381587,0.0,0.0
adaptativa,025_050,025_050,acima_075,157,5,0.036209849780261136,0.0,0.03184713375796178
adaptativa,025_050,050_075,ate_025,25,25,0.9467115679501696,0.9075321648166059,1.0
adaptativa,025_050,050_075,025_050,8,0,0.1896286297165658,0.0,0.0
adaptativa,025_050,050_075,050_075,17,1,0.08789392163714398,0.0,0.058823529411764705
adaptativa,025_050,050_075,acima_075,127,11,0.05082521404203544,0.0,0.08661417322834646
adaptativa,025_050,acima_075,ate_025,81,80,0.9890897640990906,0.9781795281981811,0.9876543209876543
adaptativa,025_050,acima_075,025_050,10,7,0.5156836735986612,0.23039753633884247,0.7
adaptativa,025_050,acima_075,050_075,10,0,0.13666304921822897,0.0,0.0
adaptativa,025_050,acima_075,acima_075,64,6,0.08013758999958044,0.0,0.09375
adaptativa,050_075,025_050,ate_025,10,9,0.9620576624659712,0.9241153249319425,0.9
adaptativa,050_075,025_050,025_050,4,2,0.4644605878874877,0.29370228862272524,0.5
adaptativa,050_075,025_050,050_075,29,6,0.11093889653645866,0.0,0.20689655172413793
adaptativa,050_075,025_050,acima_075,709,45,0.05160863827804005,0.0,0.06346967559943582
