configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
centro_fator_0.5,j6010_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,makespan,243.0,125.25,-117.75,4,0
centro_fator_0.5,j6021_1.sm,makespan,252.75,177.75,-75.0,4,0
centro_fator_0.5,j6032_1.sm,makespan,187.25,117.75,-69.5,4,0
centro_fator_0.5,j6043_1.sm,makespan,242.75,147.25,-95.5,4,0
centro_fator_0.5,j6010_1.sm,makespan_cpm,85.0,85.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,makespan_cpm,76.0,76.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,makespan_cpm,69.0,69.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,makespan_cpm,108.0,108.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,E_total,0.6507758477600021,0.6043631868616264,-0.0464126608983757,4,0
centro_fator_0.5,j6021_1.sm,E_total,0.6672557706320676,0.6417278043935307,-0.02552796623853687,4,0
centro_fator_0.5,j6032_1.sm,E_total,0.615093468463854,0.6321987200604765,0.017105251596622517,4,0
centro_fator_0.5,j6043_1.sm,E_total,0.5359760466911418,0.500238089732393,-0.035737956958748734,4,0
centro_fator_0.5,j6010_1.sm,S_UR_final,1.5543122344752192e-15,0.0,-1.5543122344752192e-15,4,0
centro_fator_0.5,j6021_1.sm,S_UR_final,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,4,0
centro_fator_0.5,j6032_1.sm,S_UR_final,4.440892098500626e-16,0.0,-4.440892098500626e-16,4,0
centro_fator_0.5,j6043_1.sm,S_UR_final,2.6645352591003757e-15,2.220446049250313e-16,-2.4424906541753444e-15,4,0
centro_fator_0.5,j6010_1.sm,S_UR_maximo,41.46605920662761,8.156996750748643,-33.309062455878966,4,0
centro_fator_0.5,j6021_1.sm,S_UR_maximo,42.05905004478777,15.726936569211244,-26.33211347557653,4,0
centro_fator_0.5,j6032_1.sm,S_UR_maximo,47.16588886184783,7.00160783560734,-40.164281026240495,4,0
centro_fator_0.5,j6043_1.sm,S_UR_maximo,38.25943321510421,7.5471444945245665,-30.712288720579647,4,0
centro_fator_0.5,j6010_1.sm,S_PV_final,203.5,301.75,98.25,4,0
centro_fator_0.5,j6021_1.sm,S_PV_final,191.0,292.0,101.0,4,0
centro_fator_0.5,j6032_1.sm,S_PV_final,196.75,309.75,113.0,4,0
centro_fator_0.5,j6043_1.sm,S_PV_final,195.75,297.0,101.25,4,0
centro_fator_0.5,j6010_1.sm,TW,413.0,338.5,-74.5,4,0
centro_fator_0.5,j6021_1.sm,TW,418.75,343.0,-75.75,4,0
centro_fator_0.5,j6032_1.sm,TW,442.0,375.0,-67.0,4,0
centro_fator_0.5,j6043_1.sm,TW,403.25,322.5,-80.75,4,0
centro_fator_0.5,j6010_1.sm,TL,0.0,106.75,106.75,4,0
centro_fator_0.5,j6021_1.sm,TL,0.0,69.75,69.75,4,0
centro_fator_0.5,j6032_1.sm,TL,0.0,93.75,93.75,4,0
centro_fator_0.5,j6043_1.sm,TL,0.0,180.5,180.5,4,0
centro_fator_0.5,j6010_1.sm,TU,134.75,46.25,-88.5,4,0
centro_fator_0.5,j6021_1.sm,TU,87.5,27.25,-60.25,4,0
centro_fator_0.5,j6032_1.sm,TU,158.5,49.0,-109.5,4,0
centro_fator_0.5,j6043_1.sm,TU,250.75,60.25,-190.5,4,0
centro_fator_0.5,j6010_1.sm,TR,89.48496692197764,68.96416448997832,-20.520802431999325,4,0
centro_fator_0.5,j6021_1.sm,TR,123.9941372545781,95.78797133670184,-28.20616591787624,4,0
centro_fator_0.5,j6032_1.sm,TR,119.77748942296495,80.49126704409792,-39.28622237886702,4,0
centro_fator_0.5,j6043_1.sm,TR,101.50309657272956,85.62545975203216,-15.877636820697404,4,0
centro_fator_0.5,j6010_1.sm,n_limpas,40.0,56.25,16.25,4,0
centro_fator_0.5,j6021_1.sm,n_limpas,37.0,54.0,17.0,4,0
centro_fator_0.5,j6032_1.sm,n_limpas,38.5,55.25,16.75,4,0
centro_fator_0.5,j6043_1.sm,n_limpas,38.5,54.25,15.75,4,0
centro_fator_0.5,j6010_1.sm,n_com_erro,20.0,3.75,-16.25,4,0
centro_fator_0.5,j6021_1.sm,n_com_erro,23.0,6.0,-17.0,4,0
centro_fator_0.5,j6032_1.sm,n_com_erro,21.5,4.75,-16.75,4,0
centro_fator_0.5,j6043_1.sm,n_com_erro,21.5,5.75,-15.75,4,0
centro_fator_0.5,j6010_1.sm,n_reportadas,2.75,14.75,12.0,4,0
centro_fator_0.5,j6021_1.sm,n_reportadas,2.75,15.25,12.5,4,0
