arquivo,linhas,colunas,separador
outputs/tables/01_auditoria_arquivos.csv,23,15,","
outputs/tables/01_auditoria_atributos.csv,650,6,","
outputs/tables/01_auditoria_pares.csv,5,15,","
outputs/tables/02_consolidacao_resumo.csv,12,6,","
outputs/tables/02_metricas_descartadas.csv,19,3,","
outputs/tables/03_validacao_dpp.csv,13,14,","
outputs/tables/04_coeficientes.csv,57,8,","
outputs/tables/04_comparacao_modelos.csv,4,8,","
outputs/tables/04_complexidade_vs_tamanho.csv,2,8,","
outputs/tables/04_correlacao_spearman.csv,7,8,","
outputs/tables/04_metricas_candidatas.csv,14,11,","
outputs/tables/04_sobrevivencia_ao_controle_de_tamanho.csv,6,13,","
outputs/tables/04_vif.csv,7,4,","
outputs/tables/05_faixas_frequencias.csv,8,9,","
outputs/tables/05_fbase.csv,8,14,","
outputs/tables/05_leave_one_project_out.csv,12,7,","
outputs/tables/05_sensibilidade_cortes.csv,5,11,","
outputs/tables/entrega_ablacao_mecanismo.csv,11,7,;
outputs/tables/entrega_b1_tendencia.csv,6,6,;
outputs/tables/entrega_b3_poder.csv,5,3,;
outputs/tables/entrega_experimento.csv,7,7,;
outputs/tables/entrega_fatorial.csv,11,4,;
outputs/tables/entrega_porta2.csv,14,6,;
outputs/tables/entrega_rastreabilidade.csv,7,5,;
outputs/tables/entrega_tau_min.csv,11,8,;
outputs/tables/entrega_verificacoes.csv,22,5,;
outputs/tables/modelo_01_derivacao.csv,480,8,","
outputs/tables/modelo_02_b1_tendencia_pressao.csv,800,7,","
outputs/tables/modelo_02_b3_poder_do_criterio_9a.csv,5,4,","
outputs/tables/modelo_02_verificacoes.csv,22,3,","
outputs/tables/modelo_03_experimento_bruto.csv,384,20,","
outputs/tables/modelo_03_experimento_resumo.csv,10,10,","
outputs/tables/modelo_04_hm_onda1.csv,400,15,","
outputs/tables/modelo_04_hm_onda2.csv,400,15,","
outputs/tables/modelo_04_identificabilidade.csv,10,9,","
outputs/tables/modelo_04_observacoes_sinteticas.csv,1,13,","
outputs/tables/modelo_07_ablacao_bruto.csv,2880,33,","
outputs/tables/modelo_07_ablacao_mecanismo.csv,33,14,","
outputs/tables/modelo_07_ablacao_p_reporte.csv,5,13,","
outputs/tables/modelo_07_ablacao_parametros.csv,88,13,","
outputs/tables/modelo_07_ablacao_portas.csv,15,14,","
outputs/tables/modelo_09_sensibilidade_tau_min.csv,2112,18,","
outputs/tables/modelo_10_fatorial_celulas.csv,3072,19,","
outputs/tables/modelo_10_fatorial_decomposicao.csv,187,7,","
outputs/tables/modelo_11_dose_realizada.csv,2,8,","
outputs/tables/modelo_11_tendencia_confirmatorio.csv,2000,10,","
outputs/tables/modelo_11_tendencia_piloto.csv,800,10,","
outputs/tables/modelo_11_tendencia_resumo.csv,24,13,","
outputs/tables/modelo_12_porta2_bruto.csv,768,34,","
outputs/tables/modelo_12_porta2_comparacao.csv,38,10,","
outputs/tables/modelo_14_experimento_por_instancia.csv,7,12,","
outputs/tables/parametros_ambiguos.csv,4,2,","
outputs/tables/parametros_cenarios.csv,4,6,","
outputs/tables/parametros_orfaos.csv,5,1,","
outputs/tables/parametros_procedencia.csv,6,2,","
outputs/tables/psplib_01_grade_parametros.csv,48,10,","
outputs/tables/psplib_02_componentes_correlacao.csv,1,5,","
outputs/tables/psplib_02_distribuicao_niveis.csv,4,8,","
outputs/tables/psplib_02_sensibilidade_pesos.csv,6,9,","
outputs/tables/psplib_03_ancora_sensibilidade.csv,5,7,","
outputs/tables/psplib_03_razoes_de_risco.csv,4,7,","
