origem,alpha,beta,erros,esperado,calculado
mu_CV_literais,0.7540813924348031,45.50858072012981,0,67.475,67.51923333082462
mu_CV_literais,0.7540813924348031,45.50858072012981,1,18.334,18.31248637173426
mu_CV_literais,0.7540813924348031,45.50858072012981,2,5.639,5.626435332256443
mu_CV_literais,0.7540813924348031,45.50858072012981,3,1.765,1.759777279901495
mu_CV_literais,0.7540813924348031,45.50858072012981,4,0.549,0.5463191197852987
mu_CV_literais,0.7540813924348031,45.50858072012981,5,0.167,0.1665191222162946
mu_CV_literais,0.7540813924348031,45.50858072012981,6,0.05,0.04951096282763701
mu_CV_literais,0.7540813924348031,45.50858072012981,7,0.014,0.014291927867549133
mu_CV_literais,0.7540813924348031,45.50858072012981,8,0.0,0.003989000133932151
alpha_beta_impressos,0.7546,45.4563,0,67.475,67.48311643290606
alpha_beta_impressos,0.7546,45.4563,1,18.334,18.32906433983297
alpha_beta_impressos,0.7546,45.4563,2,5.639,5.637495971708166
alpha_beta_impressos,0.7546,45.4563,3,1.765,1.7649355572143883
alpha_beta_impressos,0.7546,45.4563,4,0.549,0.5484272933814419
alpha_beta_impressos,0.7546,45.4563,5,0.167,0.16731346132102856
alpha_beta_impressos,0.7546,45.4563,6,0.05,0.04979198022629213
alpha_beta_impressos,0.7546,45.4563,7,0.014,0.014385993157256754
alpha_beta_impressos,0.7546,45.4563,8,0.0,0.004018884415324553
momentos_impressos_eq6,0.7551092748087,45.47984509750945,0,67.475,67.47752668866035
momentos_impressos_eq6,0.7551092748087,45.47984509750945,1,18.334,18.33370028828094
momentos_impressos_eq6,0.7551092748087,45.47984509750945,2,5.639,5.638619194603925
momentos_impressos_eq6,0.7551092748087,45.47984509750945,3,1.765,1.7649975159621794
momentos_impressos_eq6,0.7551092748087,45.47984509750945,4,0.549,0.5483266684610124
momentos_impressos_eq6,0.7551092748087,45.47984509750945,5,0.167,0.16724052319233673
momentos_impressos_eq6,0.7551092748087,45.47984509750945,6,0.05,0.04975650322425249
momentos_impressos_eq6,0.7551092748087,45.47984509750945,7,0.014,0.014371494497915352
momentos_impressos_eq6,0.7551092748087,45.47984509750945,8,0.0,0.004013584664371984
