etapa,canal,tau_sat,s_transicao,cenario,arquivo,semente,atraso_relativo,taxa_omissao,divida_latente_sobre_plano,taxa_falha_efetiva,fracao_porta1,n_executadas,N_req,N_blocked,motivo_termino,TW,TL,TU,TR,concluiu,violacoes
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,0,2.411764705882353,0.23333333333333334,0.08894242034778303,0.26666666666666666,0.5166666666666667,60,0,99,terminal,535.0,0.0,121.0,69.8894835451404,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,1,3.0352941176470587,0.23333333333333334,0.080676008929519,0.2833333333333333,0.5,60,0,58,terminal,518.0,0.0,65.0,73.56675043879109,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,2,2.376470588235294,0.31666666666666665,0.12674635278409738,0.36666666666666664,0.55,60,0,90,terminal,525.0,0.0,98.0,85.0062091711865,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,3,2.611764705882353,0.21666666666666667,0.05040944109350287,0.3,0.6666666666666666,60,0,204,terminal,526.0,0.0,207.0,74.76847840892171,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,4,2.9529411764705884,0.25,0.09382218323362401,0.31666666666666665,0.6,60,0,138,terminal,525.0,0.0,147.0,78.52719895926086,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,5,2.0823529411764707,0.2,0.05225390614223538,0.31666666666666665,0.38333333333333336,60,0,77,terminal,511.0,0.0,84.0,74.34306546129403,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,6,2.7411764705882353,0.25,0.09474763063930433,0.26666666666666666,0.38333333333333336,60,0,95,terminal,522.0,0.0,98.0,55.454114209770275,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,7,2.7294117647058824,0.35,0.12006810949260277,0.35,0.6333333333333333,60,0,156,terminal,517.0,0.0,157.0,78.38703241444973,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,8,2.388235294117647,0.43333333333333335,0.08524363043549825,0.48333333333333334,0.8333333333333334,60,0,199,terminal,521.0,0.0,220.0,101.27723006707886,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,9,2.5647058823529414,0.31666666666666665,0.12091493888159684,0.36666666666666664,0.45,60,0,114,terminal,506.0,0.0,125.0,93.59530718445994,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,10,2.623529411764706,0.43333333333333335,0.10534195005363685,0.5,0.6166666666666667,60,0,143,terminal,540.0,0.0,168.0,119.95692534410588,True,0
nominal,ativo,1.0,0.25,centralizada,j6010_1.sm,11,2.764705882352941,0.36666666666666664,0.1283413795457325,0.43333333333333335,0.4666666666666667,60,0,71,terminal,532.0,0.0,78.0,115.11207479914171,True,0
nominal,ativo,1.0,0.25,centralizada,j6013_1.sm,0,3.7246376811594204,0.18333333333333332,0.07547481989881702,0.21666666666666667,0.6833333333333333,60,0,56,terminal,541.0,0.0,66.0,82.7516865073458,True,0
nominal,ativo,1.0,0.25,centralizada,j6013_1.sm,1,4.434782608695652,0.45,0.1320105671056729,0.48333333333333334,0.7666666666666667,60,0,93,terminal,581.0,0.0,107.0,159.68172496381897,True,0
