etapa,canal,tau_sat,s_transicao,cenario,metrica,censuradas,fracao_indefinida,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,0.7,0.01,adaptativa,atraso_relativo,0,0,2.278098608182149,1.5897028853754946,2.9664943309888034,4
grade,ativo,0.7,0.01,centralizada,atraso_relativo,0,0,3.694388763005838,2.1398885850342286,5.248888940977448,4
grade,ativo,0.7,0.01,adaptativa,taxa_omissao,0,0,0.078125,0.04125983523193056,0.11499016476806945,4
grade,ativo,0.7,0.01,centralizada,taxa_omissao,0,0,0.38333333333333336,0.3439228144564518,0.42274385221021493,4
grade,ativo,0.7,0.01,adaptativa,divida_latente_sobre_plano,0,0,0.02547505693120838,0.011768239759269333,0.03918187410314743,4
grade,ativo,0.7,0.01,centralizada,divida_latente_sobre_plano,0,0,0.12281120518015376,0.07814875949868297,0.16747365086162455,4
grade,ativo,0.7,0.01,adaptativa,taxa_falha_efetiva,0,0,0.3260416666666667,0.23637180768004795,0.4157115256532854,4
grade,ativo,0.7,0.01,centralizada,taxa_falha_efetiva,0,0,0.4322916666666667,0.39919648124310086,0.4653868520902325,4
grade,ativo,0.7,0.01,adaptativa,fracao_porta1,0,0,0.38437499999999997,0.18871225215229248,0.5800377478477075,4
grade,ativo,0.7,0.01,centralizada,fracao_porta1,0,0,0.696875,0.6415689728827147,0.7521810271172853,4
grade,ativo,0.7,0.25,adaptativa,atraso_relativo,0,0,1.711293921967465,0.8027646177935719,2.6198232261413583,4
grade,ativo,0.7,0.25,centralizada,atraso_relativo,0,0,2.9587404123230776,1.390580005875785,4.52690081877037,4
grade,ativo,0.7,0.25,adaptativa,taxa_omissao,0,0,0.06458333333333334,0.0446930439253067,0.08447362274135997,4
grade,ativo,0.7,0.25,centralizada,taxa_omissao,0,0,0.28541666666666665,0.21349718100143872,0.3573361523318946,4
grade,ativo,0.7,0.25,adaptativa,divida_latente_sobre_plano,0,0,0.02197213878986342,0.016193245067842237,0.027751032511884603,4
grade,ativo,0.7,0.25,centralizada,divida_latente_sobre_plano,0,0,0.09416069343949746,0.06504431371029017,0.12327707316870475,4
grade,ativo,0.7,0.25,adaptativa,taxa_falha_efetiva,0,0,0.2677083333333333,0.19281954225830414,0.34259712440836254,4
grade,ativo,0.7,0.25,centralizada,taxa_falha_efetiva,0,0,0.3208333333333333,0.23784669942841155,0.4038199672382551,4
grade,ativo,0.7,0.25,adaptativa,fracao_porta1,0,0,0.4864583333333334,0.3967884743467146,0.5761281923199522,4
grade,ativo,0.7,0.25,centralizada,fracao_porta1,0,0,0.6010416666666667,0.49841785316185105,0.7036654801714823,4
grade,ativo,0.7,0.6,adaptativa,atraso_relativo,0,0,1.7099084138486311,0.5623641397007768,2.8574526879964854,4
grade,ativo,0.7,0.6,centralizada,atraso_relativo,0,0,2.844909261378083,1.5268981314770995,4.162920391279067,4
grade,ativo,0.7,0.6,adaptativa,taxa_omissao,0,0,0.0625,0.026185466053059096,0.0988145339469409,4
grade,ativo,0.7,0.6,centralizada,taxa_omissao,0,0,0.2677083333333333,0.1924292397264776,0.342987426940189,4
grade,ativo,0.7,0.6,adaptativa,divida_latente_sobre_plano,0,0,0.020391771332223786,0.013164868293331975,0.0276186743711156,4
grade,ativo,0.7,0.6,centralizada,divida_latente_sobre_plano,0,0,0.08398354518902398,0.04705834184176111,0.12090874853628686,4
grade,ativo,0.7,0.6,adaptativa,taxa_falha_efetiva,0,0,0.2604166666666667,0.2048133819625012,0.31601995137083216,4
grade,ativo,0.7,0.6,centralizada,taxa_falha_efetiva,0,0,0.30729166666666663,0.23418501886003645,0.3803983144732968,4
grade,ativo,0.7,0.6,adaptativa,fracao_porta1,0,0,0.646875,0.585778502147936,0.7079714978520639,4
