etapa,canal,tau_sat,s_transicao,cenario,exec,completas,sem_tarefas
grade,ativo,0.7,0.01,adaptativa,16,16,0
grade,ativo,0.7,0.01,centralizada,16,16,0
grade,ativo,0.7,0.25,adaptativa,16,16,0
grade,ativo,0.7,0.25,centralizada,16,16,0
grade,ativo,0.7,0.6,adaptativa,16,16,0
grade,ativo,0.7,0.6,centralizada,16,16,0
grade,ativo,1.0,0.01,adaptativa,16,16,0
grade,ativo,1.0,0.01,centralizada,16,9,4
grade,ativo,1.0,0.25,adaptativa,16,16,0
grade,ativo,1.0,0.25,centralizada,16,16,0
grade,ativo,1.0,0.6,adaptativa,16,16,0
grade,ativo,1.0,0.6,centralizada,16,16,0
grade,ativo,1.4,0.01,adaptativa,16,16,0
grade,ativo,1.4,0.01,centralizada,16,5,8
grade,ativo,1.4,0.25,adaptativa,16,16,0
grade,ativo,1.4,0.25,centralizada,16,16,0
grade,ativo,1.4,0.6,adaptativa,16,16,0
grade,ativo,1.4,0.6,centralizada,16,16,0
grade,desligado,0.7,0.01,adaptativa,16,16,0
grade,desligado,0.7,0.01,centralizada,16,16,0
grade,desligado,0.7,0.25,adaptativa,16,16,0
grade,desligado,0.7,0.25,centralizada,16,16,0
grade,desligado,0.7,0.6,adaptativa,16,16,0
grade,desligado,0.7,0.6,centralizada,16,16,0
grade,desligado,1.0,0.01,adaptativa,16,16,0
grade,desligado,1.0,0.01,centralizada,16,9,4
grade,desligado,1.0,0.25,adaptativa,16,16,0
grade,desligado,1.0,0.25,centralizada,16,16,0
grade,desligado,1.0,0.6,adaptativa,16,16,0
grade,desligado,1.0,0.6,centralizada,16,16,0
grade,desligado,1.4,0.01,adaptativa,16,16,0
grade,desligado,1.4,0.01,centralizada,16,5,8
grade,desligado,1.4,0.25,adaptativa,16,16,0
grade,desligado,1.4,0.25,centralizada,16,16,0
grade,desligado,1.4,0.6,adaptativa,16,16,0
grade,desligado,1.4,0.6,centralizada,16,16,0
nominal,ativo,1.0,0.25,adaptativa,192,192,0
nominal,ativo,1.0,0.25,centralizada,192,192,0
nominal,desligado,1.0,0.25,adaptativa,192,192,0
nominal,desligado,1.0,0.25,centralizada,192,192,0
