etapa,canal,tau_sat,s_transicao,metrica,censuradas,pares_indefinidos,media,ic95_inferior,ic95_superior,n_instancias
grade,ativo,0.7,0.01,atraso_relativo,0,0,-1.4162901548236888,-2.3248372894007914,-0.5077430202465862,4
grade,ativo,0.7,0.01,taxa_omissao,0,0,-0.30520833333333336,-0.34656901281178465,-0.26384765385488207,4
grade,ativo,0.7,0.01,divida_latente_sobre_plano,0,0,-0.09733614824894536,-0.13997727282231134,-0.054695023675579386,4
grade,ativo,0.7,0.01,taxa_falha_efetiva,0,0,-0.10625000000000001,-0.1988342586112396,-0.013665741388760408,4
grade,ativo,0.7,0.01,fracao_porta1,0,0,-0.3125,-0.5277485095632358,-0.09725149043676415,4
grade,ativo,0.7,0.25,atraso_relativo,0,0,-1.2474464903556135,-1.9652925366646163,-0.5296004440466107,4
grade,ativo,0.7,0.25,taxa_omissao,0,0,-0.22083333333333333,-0.2987193316167488,-0.14294733504991783,4
grade,ativo,0.7,0.25,divida_latente_sobre_plano,0,0,-0.07218855464963404,-0.1038771497989942,-0.04049995950027387,4
grade,ativo,0.7,0.25,taxa_falha_efetiva,0,0,-0.053125,-0.16529910037051532,0.05904910037051533,4
grade,ativo,0.7,0.25,fracao_porta1,0,0,-0.11458333333333331,-0.20669157717831896,-0.02247508948834767,4
grade,ativo,0.7,0.6,atraso_relativo,0,0,-1.1350008475294515,-1.3778804972442946,-0.8921211978146084,4
grade,ativo,0.7,0.6,taxa_omissao,0,0,-0.20520833333333333,-0.2797047770275728,-0.13071188963909383,4
grade,ativo,0.7,0.6,divida_latente_sobre_plano,0,0,-0.06359177385680019,-0.0991851453615236,-0.027998402352076776,4
grade,ativo,0.7,0.6,taxa_falha_efetiva,0,0,-0.04687499999999999,-0.1320186221052991,0.03826862210529911,4
grade,ativo,0.7,0.6,fracao_porta1,0,0,-0.04062499999999998,-0.09952349721877919,0.01827349721877923,4
grade,ativo,1.0,0.01,atraso_relativo,7,0,-112.29150638389095,-235.62666562714986,11.043652859367967,4
grade,ativo,1.0,0.01,taxa_omissao,7,0,-0.12291666666666667,-0.314502364530507,0.06866903119717366,4
grade,ativo,1.0,0.01,divida_latente_sobre_plano,7,0,-0.052923655167399976,-0.12421953858924667,0.01837222825444671,4
grade,ativo,1.0,0.01,taxa_falha_efetiva,7,0,0.07604166666666666,-0.16254202697784037,0.3146253603111737,4
grade,ativo,1.0,0.01,fracao_porta1,7,4,-0.16145833333333331,-0.5255456203091899,0.20262895364252337,4
grade,ativo,1.0,0.25,atraso_relativo,0,0,-1.050749736393413,-1.8918157843693875,-0.20968368841743878,4
grade,ativo,1.0,0.25,taxa_omissao,0,0,-0.20729166666666665,-0.24455217962840803,-0.17003115370492528,4
grade,ativo,1.0,0.25,divida_latente_sobre_plano,0,0,-0.06798481822994898,-0.08943409122398426,-0.0465355452359137,4
grade,ativo,1.0,0.25,taxa_falha_efetiva,0,0,-0.04791666666666666,-0.1141070375137983,0.018273704180464978,4
grade,ativo,1.0,0.25,fracao_porta1,0,0,-0.10833333333333335,-0.11770970568011908,-0.09895696098654762,4
grade,ativo,1.0,0.6,atraso_relativo,0,0,-1.1065326136811193,-1.4213399556197148,-0.7917252717425238,4
grade,ativo,1.0,0.6,taxa_omissao,0,0,-0.184375,-0.29064629843446027,-0.07810370156553974,4
grade,ativo,1.0,0.6,divida_latente_sobre_plano,0,0,-0.059817009321461154,-0.087612246318002,-0.0320217723249203,4
grade,ativo,1.0,0.6,taxa_falha_efetiva,0,0,-0.04583333333333334,-0.1277537135210398,0.036087046854373125,4
grade,ativo,1.0,0.6,fracao_porta1,0,0,-0.05624999999999999,-0.14362316780995657,0.031123167809956602,4
grade,ativo,1.4,0.01,atraso_relativo,11,0,-174.50454688645098,-270.87826755737683,-78.1308262155251,4
grade,ativo,1.4,0.01,taxa_omissao,11,0,-0.04583333333333334,-0.20940557548342406,0.11773890881675739,4
grade,ativo,1.4,0.01,divida_latente_sobre_plano,11,0,-0.021260533519876876,-0.09005178085872499,0.04753071381897124,4
grade,ativo,1.4,0.01,taxa_falha_efetiva,11,0,0.16041666666666665,-0.04710288152706571,0.367936214860399,4
grade,ativo,1.4,0.01,fracao_porta1,11,8,,,,4
grade,ativo,1.4,0.25,atraso_relativo,0,0,-1.1982497893640038,-1.6369980578900851,-0.7595015208379226,4
grade,ativo,1.4,0.25,taxa_omissao,0,0,-0.22916666666666669,-0.30780158600778995,-0.15053174732554345,4
grade,ativo,1.4,0.25,divida_latente_sobre_plano,0,0,-0.076137451709246,-0.11248954218405285,-0.039785361234439154,4
grade,ativo,1.4,0.25,taxa_falha_efetiva,0,0,-0.08229166666666668,-0.14800993738106571,-0.01657339595226763,4
grade,ativo,1.4,0.25,fracao_porta1,0,0,-0.22916666666666669,-0.3121533005715884,-0.14618003276174493,4
grade,ativo,1.4,0.6,atraso_relativo,0,0,-0.9533381131501674,-1.3605955928310143,-0.5460806334693205,4
grade,ativo,1.4,0.6,taxa_omissao,0,0,-0.18645833333333334,-0.2102867438532735,-0.16262992281339317,4
grade,ativo,1.4,0.6,divida_latente_sobre_plano,0,0,-0.06699545884313245,-0.09727667741605525,-0.03671424027020964,4
grade,ativo,1.4,0.6,taxa_falha_efetiva,0,0,-0.016666666666666673,-0.11677892793348041,0.08344559460014705,4
grade,ativo,1.4,0.6,fracao_porta1,0,0,-0.05833333333333335,-0.15425993119695758,0.03759326453029087,4
