cenario,metrica,diferenca_maxima
centralizada,atraso_relativo,4.440892098500626e-16
centralizada,taxa_omissao,8.326672684688674e-17
centralizada,divida_latente_sobre_plano,9.71445146547012e-17
centralizada,taxa_falha_efetiva,8.326672684688674e-17
centralizada,fracao_porta1,1.1102230246251565e-16
centralizada,TW,0.0
centralizada,TL,0.0
centralizada,TU,0.0
centralizada,TR,2.842170943040401e-14
adaptativa,atraso_relativo,4.440892098500626e-16
adaptativa,taxa_omissao,6.938893903907228e-17
adaptativa,divida_latente_sobre_plano,9.8879238130678e-17
adaptativa,taxa_falha_efetiva,8.326672684688674e-17
adaptativa,fracao_porta1,1.1102230246251565e-16
adaptativa,TW,0.0
adaptativa,TL,0.0
adaptativa,TU,0.0
adaptativa,TR,1.4210854715202004e-14
