implementacao,k,publicado,calculado,razao,residuo_pct
candidata,0,67.475,67.48311643290744,1.0001202880015923,0.012028800159225028
candidata,1,18.334,18.329064339833785,0.9997307919621351,-0.026920803786489866
candidata,2,5.639,5.637495971708495,0.9997332810265109,-0.026671897348906626
candidata,3,1.765,1.764935557214423,0.9999634885067553,-0.0036511493244684168
candidata,4,0.549,0.5484272933814399,0.9989568185454278,-0.10431814545721618
N1_sem_menos_um,0,67.475,67.43297301697432,0.99937714734308,-0.062285265691996994
N1_sem_menos_um,1,18.334,18.423686649849234,1.0048918211982782,0.48918211982782456
N1_sem_menos_um,2,5.639,5.632329522693773,0.998817081520442,-0.11829184795579817
N1_sem_menos_um,3,1.765,1.746596439085343,0.9895730533061434,-1.0426946693856576
N1_sem_menos_um,4,0.549,0.536644199020361,0.977493987286632,-2.250601271336805
N2_n24,0,67.475,68.21627900650076,1.0109859800889331,1.0985980088933145
N2_n24,1,18.334,18.04690144397711,0.9843406481933626,-1.5659351806637356
N2_n24,2,5.639,5.398288560837548,0.9573130982155609,-4.268690178443912
N2_n24,3,1.765,1.6408916572897205,0.9296836585210881,-7.031634147891186
N2_n24,4,0.549,0.4941416187046153,0.900075808205128,-9.9924191794872
N3_binomial,0,67.475,62.329642841623055,0.923744243669849,-7.625575633015103
N3_binomial,1,18.334,25.82019869671787,1.4083232626114253,40.832326261142526
N3_binomial,2,5.639,5.134116971717011,0.9104658577260173,-8.953414227398271
N3_binomial,3,1.765,0.6522247476184153,0.36953243491128346,-63.04675650887166
N3_binomial,4,0.549,0.0594408342218063,0.10827110058616811,-89.17288994138319
N4_troca_alpha_beta,0,67.475,4.9245266525293395e-18,7.298298114159822e-20,-100.0
N4_troca_alpha_beta,1,18.334,2.2606986264711355e-16,1.2330635030386908e-17,-100.0
N4_troca_alpha_beta,2,5.639,5.305432729707837e-15,9.408463787387545e-16,-99.99999999999991
N4_troca_alpha_beta,3,1.765,8.483050704427804e-14,4.806261022338699e-14,-99.9999999999952
N4_troca_alpha_beta,4,0.549,1.0392353222625585e-12,1.8929605141394505e-12,-99.99999999981071
N5_sigma_CV_mu_quadrado,0,67.475,62.33138453663807,0.9237700561191267,-7.622994388087334
N5_sigma_CV_mu_quadrado,1,18.334,25.817379246890013,1.4081694800310904,40.81694800310905
N5_sigma_CV_mu_quadrado,2,5.639,5.134651932808704,0.9105607258039907,-8.943927419600929
N5_sigma_CV_mu_quadrado,3,1.765,0.6526605814156146,0.36977936624114144,-63.02206337588585
N5_sigma_CV_mu_quadrado,4,0.549,0.05953495089337745,0.10844253350341976,-89.15574664965801
