reporte,metrica,contraste,arquivo,delta
adaptativa,atraso_relativo,portao,j6010_1.sm,-0.31764705882352945
adaptativa,atraso_relativo,portao,j6013_1.sm,-0.36714975845410636
adaptativa,atraso_relativo,portao,j6016_1.sm,-0.21223958333333334
adaptativa,atraso_relativo,portao,j6019_1.sm,-0.23790322580645162
adaptativa,atraso_relativo,portao,j6021_1.sm,-0.15131578947368426
adaptativa,atraso_relativo,portao,j6024_1.sm,-0.1333333333333333
adaptativa,atraso_relativo,portao,j6027_1.sm,-0.20920138888888884
adaptativa,atraso_relativo,portao,j602_1.sm,-0.25256410256410255
adaptativa,atraso_relativo,portao,j6032_1.sm,-0.2572463768115942
adaptativa,atraso_relativo,portao,j6035_1.sm,-0.3814102564102564
adaptativa,atraso_relativo,portao,j6038_1.sm,-0.31392694063926946
adaptativa,atraso_relativo,portao,j6040_1.sm,-0.24806201550387597
adaptativa,atraso_relativo,portao,j6043_1.sm,-0.24228395061728394
adaptativa,atraso_relativo,portao,j6046_1.sm,-0.39957264957264965
adaptativa,atraso_relativo,portao,j604_1.sm,-0.2063492063492063
adaptativa,atraso_relativo,portao,j607_1.sm,-0.2359307359307359
adaptativa,atraso_relativo,rede,j6010_1.sm,-0.30784313725490203
adaptativa,atraso_relativo,rede,j6013_1.sm,-0.5144927536231884
adaptativa,atraso_relativo,rede,j6016_1.sm,-0.3346354166666667
adaptativa,atraso_relativo,rede,j6019_1.sm,-0.39247311827956993
adaptativa,atraso_relativo,rede,j6021_1.sm,-0.28399122807017546
adaptativa,atraso_relativo,rede,j6024_1.sm,-0.24871794871794864
adaptativa,atraso_relativo,rede,j6027_1.sm,-0.22222222222222224
adaptativa,atraso_relativo,rede,j602_1.sm,-0.2756410256410256
adaptativa,atraso_relativo,rede,j6032_1.sm,-0.2439613526570048
adaptativa,atraso_relativo,rede,j6035_1.sm,-0.3237179487179487
adaptativa,atraso_relativo,rede,j6038_1.sm,-0.34246575342465757
adaptativa,atraso_relativo,rede,j6040_1.sm,-0.22577519379844965
adaptativa,atraso_relativo,rede,j6043_1.sm,-0.24151234567901234
adaptativa,atraso_relativo,rede,j6046_1.sm,-0.3301282051282052
adaptativa,atraso_relativo,rede,j604_1.sm,-0.22916666666666674
adaptativa,atraso_relativo,rede,j607_1.sm,-0.2619047619047619
adaptativa,atraso_relativo,interacao,j6010_1.sm,0.15980392156862755
adaptativa,atraso_relativo,interacao,j6013_1.sm,0.10628019323671507
adaptativa,atraso_relativo,interacao,j6016_1.sm,0.11067708333333333
adaptativa,atraso_relativo,interacao,j6019_1.sm,0.13709677419354846
adaptativa,atraso_relativo,interacao,j6021_1.sm,0.004385964912280789
adaptativa,atraso_relativo,interacao,j6024_1.sm,0.051282051282051266
adaptativa,atraso_relativo,interacao,j6027_1.sm,0.16666666666666666
adaptativa,atraso_relativo,interacao,j602_1.sm,0.09615384615384609
adaptativa,atraso_relativo,interacao,j6032_1.sm,0.07125603864734298
adaptativa,atraso_relativo,interacao,j6035_1.sm,0.2692307692307692
adaptativa,atraso_relativo,interacao,j6038_1.sm,0.2351598173515983
adaptativa,atraso_relativo,interacao,j6040_1.sm,0.0930232558139535
adaptativa,atraso_relativo,interacao,j6043_1.sm,0.11188271604938271
adaptativa,atraso_relativo,interacao,j6046_1.sm,0.22435897435897442
adaptativa,atraso_relativo,interacao,j604_1.sm,0.10019841269841268
adaptativa,atraso_relativo,interacao,j607_1.sm,0.08549783549783545
adaptativa,atraso_relativo,total,j6010_1.sm,-0.465686274509804
adaptativa,atraso_relativo,total,j6013_1.sm,-0.7753623188405797
adaptativa,atraso_relativo,total,j6016_1.sm,-0.4361979166666667
adaptativa,atraso_relativo,total,j6019_1.sm,-0.49327956989247307
adaptativa,atraso_relativo,total,j6021_1.sm,-0.4309210526315789
adaptativa,atraso_relativo,total,j6024_1.sm,-0.3307692307692307
adaptativa,atraso_relativo,total,j6027_1.sm,-0.2647569444444444
adaptativa,atraso_relativo,total,j602_1.sm,-0.43205128205128207
adaptativa,atraso_relativo,total,j6032_1.sm,-0.429951690821256
adaptativa,atraso_relativo,total,j6035_1.sm,-0.43589743589743596
adaptativa,atraso_relativo,total,j6038_1.sm,-0.4212328767123288
adaptativa,atraso_relativo,total,j6040_1.sm,-0.3808139534883721
adaptativa,atraso_relativo,total,j6043_1.sm,-0.37191358024691357
adaptativa,atraso_relativo,total,j6046_1.sm,-0.5053418803418804
adaptativa,atraso_relativo,total,j604_1.sm,-0.3353174603174603
adaptativa,atraso_relativo,total,j607_1.sm,-0.4123376623376623
adaptativa,atraso_relativo,portao_rede_A,j6010_1.sm,-0.15784313725490196
adaptativa,atraso_relativo,portao_rede_A,j6013_1.sm,-0.2608695652173913
adaptativa,atraso_relativo,portao_rede_A,j6016_1.sm,-0.1015625
adaptativa,atraso_relativo,portao_rede_A,j6019_1.sm,-0.10080645161290318
adaptativa,atraso_relativo,portao_rede_A,j6021_1.sm,-0.14692982456140347
adaptativa,atraso_relativo,portao_rede_A,j6024_1.sm,-0.08205128205128208
adaptativa,atraso_relativo,portao_rede_A,j6027_1.sm,-0.04253472222222219
adaptativa,atraso_relativo,portao_rede_A,j602_1.sm,-0.15641025641025644
adaptativa,atraso_relativo,portao_rede_A,j6032_1.sm,-0.18599033816425123
adaptativa,atraso_relativo,portao_rede_A,j6035_1.sm,-0.11217948717948727
adaptativa,atraso_relativo,portao_rede_A,j6038_1.sm,-0.0787671232876712
adaptativa,atraso_relativo,portao_rede_A,j6040_1.sm,-0.15503875968992245
adaptativa,atraso_relativo,portao_rede_A,j6043_1.sm,-0.13040123456790123
adaptativa,atraso_relativo,portao_rede_A,j6046_1.sm,-0.17521367521367523
adaptativa,atraso_relativo,portao_rede_A,j604_1.sm,-0.1061507936507936
adaptativa,atraso_relativo,portao_rede_A,j607_1.sm,-0.15043290043290042
adaptativa,atraso_relativo,rede_portao_A,j6010_1.sm,-0.1480392156862745
adaptativa,atraso_relativo,rede_portao_A,j6013_1.sm,-0.4082125603864733
adaptativa,atraso_relativo,rede_portao_A,j6016_1.sm,-0.22395833333333334
adaptativa,atraso_relativo,rede_portao_A,j6019_1.sm,-0.25537634408602145
adaptativa,atraso_relativo,rede_portao_A,j6021_1.sm,-0.27960526315789463
adaptativa,atraso_relativo,rede_portao_A,j6024_1.sm,-0.1974358974358974
adaptativa,atraso_relativo,rede_portao_A,j6027_1.sm,-0.0555555555555556
adaptativa,atraso_relativo,rede_portao_A,j602_1.sm,-0.17948717948717952
adaptativa,atraso_relativo,rede_portao_A,j6032_1.sm,-0.1727053140096618
adaptativa,atraso_relativo,rede_portao_A,j6035_1.sm,-0.054487179487179536
adaptativa,atraso_relativo,rede_portao_A,j6038_1.sm,-0.10730593607305934
adaptativa,atraso_relativo,rede_portao_A,j6040_1.sm,-0.1327519379844961
adaptativa,atraso_relativo,rede_portao_A,j6043_1.sm,-0.1296296296296296
adaptativa,atraso_relativo,rede_portao_A,j6046_1.sm,-0.1057692307692308
adaptativa,atraso_relativo,rede_portao_A,j604_1.sm,-0.128968253968254
adaptativa,atraso_relativo,rede_portao_A,j607_1.sm,-0.17640692640692643
adaptativa,taxa_omissao,portao,j6010_1.sm,1.1564823173178713e-18
adaptativa,taxa_omissao,portao,j6013_1.sm,-0.016666666666666666
adaptativa,taxa_omissao,portao,j6016_1.sm,-0.011111111111111105
adaptativa,taxa_omissao,portao,j6019_1.sm,0.005555555555555557
adaptativa,taxa_omissao,portao,j6021_1.sm,-0.018055555555555557
adaptativa,taxa_omissao,portao,j6024_1.sm,0.018055555555555557
adaptativa,taxa_omissao,portao,j6027_1.sm,1.1564823173178713e-18
adaptativa,taxa_omissao,portao,j602_1.sm,-0.008333333333333335
adaptativa,taxa_omissao,portao,j6032_1.sm,-0.03472222222222222
adaptativa,taxa_omissao,portao,j6035_1.sm,-0.009722222222222222
adaptativa,taxa_omissao,portao,j6038_1.sm,-0.005555555555555556
adaptativa,taxa_omissao,portao,j6040_1.sm,-0.0027777777777777783
adaptativa,taxa_omissao,portao,j6043_1.sm,0.016666666666666666
adaptativa,taxa_omissao,portao,j6046_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,portao,j604_1.sm,0.005555555555555556
adaptativa,taxa_omissao,portao,j607_1.sm,-0.011111111111111108
adaptativa,taxa_omissao,rede,j6010_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,rede,j6013_1.sm,-0.008333333333333337
adaptativa,taxa_omissao,rede,j6016_1.sm,-0.001388888888888885
adaptativa,taxa_omissao,rede,j6019_1.sm,0.018055555555555557
adaptativa,taxa_omissao,rede,j6021_1.sm,-0.01388888888888889
adaptativa,taxa_omissao,rede,j6024_1.sm,0.005555555555555554
adaptativa,taxa_omissao,rede,j6027_1.sm,-0.005555555555555556
adaptativa,taxa_omissao,rede,j602_1.sm,0.009722222222222222
adaptativa,taxa_omissao,rede,j6032_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,rede,j6035_1.sm,0.00972222222222222
adaptativa,taxa_omissao,rede,j6038_1.sm,-0.004166666666666667
adaptativa,taxa_omissao,rede,j6040_1.sm,0.005555555555555554
adaptativa,taxa_omissao,rede,j6043_1.sm,0.001388888888888888
adaptativa,taxa_omissao,rede,j6046_1.sm,-0.011111111111111108
adaptativa,taxa_omissao,rede,j604_1.sm,0.018055555555555557
adaptativa,taxa_omissao,rede,j607_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,interacao,j6010_1.sm,0.016666666666666666
adaptativa,taxa_omissao,interacao,j6013_1.sm,0.011111111111111105
adaptativa,taxa_omissao,interacao,j6016_1.sm,0.008333333333333325
adaptativa,taxa_omissao,interacao,j6019_1.sm,-0.006944444444444445
adaptativa,taxa_omissao,interacao,j6021_1.sm,-0.005555555555555557
adaptativa,taxa_omissao,interacao,j6024_1.sm,-0.025000000000000005
adaptativa,taxa_omissao,interacao,j6027_1.sm,0.008333333333333331
adaptativa,taxa_omissao,interacao,j602_1.sm,-0.00416666666666667
adaptativa,taxa_omissao,interacao,j6032_1.sm,0.03194444444444444
adaptativa,taxa_omissao,interacao,j6035_1.sm,0.015277777777777777
adaptativa,taxa_omissao,interacao,j6038_1.sm,-0.0055555555555555575
adaptativa,taxa_omissao,interacao,j6040_1.sm,-0.016666666666666673
adaptativa,taxa_omissao,interacao,j6043_1.sm,-0.0027777777777777796
adaptativa,taxa_omissao,interacao,j6046_1.sm,-0.009722222222222226
adaptativa,taxa_omissao,interacao,j604_1.sm,-0.025000000000000005
adaptativa,taxa_omissao,interacao,j607_1.sm,0.015277777777777774
adaptativa,taxa_omissao,total,j6010_1.sm,-0.006944444444444445
adaptativa,taxa_omissao,total,j6013_1.sm,-0.013888888888888893
adaptativa,taxa_omissao,total,j6016_1.sm,-0.004166666666666663
adaptativa,taxa_omissao,total,j6019_1.sm,0.016666666666666666
adaptativa,taxa_omissao,total,j6021_1.sm,-0.0375
adaptativa,taxa_omissao,total,j6024_1.sm,-0.0013888888888888892
adaptativa,taxa_omissao,total,j6027_1.sm,0.0027777777777777783
adaptativa,taxa_omissao,total,j602_1.sm,-0.0027777777777777805
adaptativa,taxa_omissao,total,j6032_1.sm,-0.004166666666666663
adaptativa,taxa_omissao,total,j6035_1.sm,0.015277777777777777
adaptativa,taxa_omissao,total,j6038_1.sm,-0.015277777777777779
adaptativa,taxa_omissao,total,j6040_1.sm,-0.01388888888888889
adaptativa,taxa_omissao,total,j6043_1.sm,0.015277777777777777
adaptativa,taxa_omissao,total,j6046_1.sm,-0.022222222222222223
adaptativa,taxa_omissao,total,j604_1.sm,-0.0013888888888888892
adaptativa,taxa_omissao,total,j607_1.sm,-0.01944444444444444
adaptativa,taxa_omissao,portao_rede_A,j6010_1.sm,0.016666666666666666
adaptativa,taxa_omissao,portao_rede_A,j6013_1.sm,-0.005555555555555557
adaptativa,taxa_omissao,portao_rede_A,j6016_1.sm,-0.0027777777777777783
adaptativa,taxa_omissao,portao_rede_A,j6019_1.sm,-0.0013888888888888874
adaptativa,taxa_omissao,portao_rede_A,j6021_1.sm,-0.02361111111111111
adaptativa,taxa_omissao,portao_rede_A,j6024_1.sm,-0.006944444444444443
adaptativa,taxa_omissao,portao_rede_A,j6027_1.sm,0.008333333333333333
adaptativa,taxa_omissao,portao_rede_A,j602_1.sm,-0.012500000000000002
adaptativa,taxa_omissao,portao_rede_A,j6032_1.sm,-0.002777777777777776
adaptativa,taxa_omissao,portao_rede_A,j6035_1.sm,0.005555555555555556
adaptativa,taxa_omissao,portao_rede_A,j6038_1.sm,-0.011111111111111113
adaptativa,taxa_omissao,portao_rede_A,j6040_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,portao_rede_A,j6043_1.sm,0.013888888888888888
adaptativa,taxa_omissao,portao_rede_A,j6046_1.sm,-0.011111111111111112
adaptativa,taxa_omissao,portao_rede_A,j604_1.sm,-0.019444444444444445
adaptativa,taxa_omissao,portao_rede_A,j607_1.sm,0.004166666666666668
