reporte,celula,referencia_T2,metrica,diferenca_maxima
centralizada,CC,referencia,atraso_relativo,4.440892098500626e-16
centralizada,CC,referencia,taxa_omissao,8.326672684688674e-17
centralizada,CC,referencia,divida_latente_sobre_plano,9.71445146547012e-17
centralizada,CC,referencia,taxa_falha_efetiva,8.326672684688674e-17
centralizada,CC,referencia,fracao_porta1,1.1102230246251565e-16
centralizada,CC,referencia,TW,0.0
centralizada,CC,referencia,TL,0.0
centralizada,CC,referencia,TU,0.0
centralizada,CC,referencia,TR,2.842170943040401e-14
centralizada,CC,referencia,makespan,0.0
centralizada,CC,referencia,makespan_cpm,0.0
centralizada,AA,confianca,atraso_relativo,4.440892098500626e-16
centralizada,AA,confianca,taxa_omissao,8.326672684688674e-17
centralizada,AA,confianca,divida_latente_sobre_plano,9.71445146547012e-17
centralizada,AA,confianca,taxa_falha_efetiva,8.326672684688674e-17
centralizada,AA,confianca,fracao_porta1,8.326672684688674e-17
centralizada,AA,confianca,TW,0.0
centralizada,AA,confianca,TL,0.0
centralizada,AA,confianca,TU,0.0
centralizada,AA,confianca,TR,2.842170943040401e-14
centralizada,AA,confianca,makespan,0.0
centralizada,AA,confianca,makespan_cpm,0.0
adaptativa,CC,reporte,atraso_relativo,4.440892098500626e-16
adaptativa,CC,reporte,taxa_omissao,8.326672684688674e-17
adaptativa,CC,reporte,divida_latente_sobre_plano,9.8879238130678e-17
adaptativa,CC,reporte,taxa_falha_efetiva,8.326672684688674e-17
adaptativa,CC,reporte,fracao_porta1,1.1102230246251565e-16
adaptativa,CC,reporte,TW,0.0
adaptativa,CC,reporte,TL,0.0
adaptativa,CC,reporte,TU,0.0
adaptativa,CC,reporte,TR,2.842170943040401e-14
adaptativa,CC,reporte,makespan,0.0
adaptativa,CC,reporte,makespan_cpm,0.0
adaptativa,AA,ambos,atraso_relativo,4.440892098500626e-16
adaptativa,AA,ambos,taxa_omissao,6.938893903907228e-17
adaptativa,AA,ambos,divida_latente_sobre_plano,9.8879238130678e-17
adaptativa,AA,ambos,taxa_falha_efetiva,8.326672684688674e-17
adaptativa,AA,ambos,fracao_porta1,1.1102230246251565e-16
adaptativa,AA,ambos,TW,0.0
adaptativa,AA,ambos,TL,0.0
adaptativa,AA,ambos,TU,0.0
adaptativa,AA,ambos,TR,1.4210854715202004e-14
adaptativa,AA,ambos,makespan,0.0
adaptativa,AA,ambos,makespan_cpm,0.0
