reporte,metrica,contraste,arquivo,delta
adaptativa,atraso_relativo,portao,j6010_1.sm,-0.17647058823529393
adaptativa,atraso_relativo,rede,j6010_1.sm,-0.2823529411764705
adaptativa,atraso_relativo,interacao,j6010_1.sm,-0.07058823529411762
adaptativa,atraso_relativo,total,j6010_1.sm,-0.5294117647058822
adaptativa,atraso_relativo,portao_rede_A,j6010_1.sm,-0.24705882352941178
adaptativa,atraso_relativo,rede_portao_A,j6010_1.sm,-0.3529411764705883
adaptativa,taxa_omissao,portao,j6010_1.sm,0.0
adaptativa,taxa_omissao,rede,j6010_1.sm,-0.06666666666666667
adaptativa,taxa_omissao,interacao,j6010_1.sm,0.016666666666666663
adaptativa,taxa_omissao,total,j6010_1.sm,-0.05
adaptativa,taxa_omissao,portao_rede_A,j6010_1.sm,0.016666666666666663
adaptativa,taxa_omissao,rede_portao_A,j6010_1.sm,-0.05
adaptativa,divida_latente_sobre_plano,portao,j6010_1.sm,0.0037180219199876748
adaptativa,divida_latente_sobre_plano,rede,j6010_1.sm,-0.01146171445459538
adaptativa,divida_latente_sobre_plano,interacao,j6010_1.sm,0.00260520235726875
adaptativa,divida_latente_sobre_plano,total,j6010_1.sm,-0.005138490177338955
adaptativa,divida_latente_sobre_plano,portao_rede_A,j6010_1.sm,0.006323224277256425
adaptativa,divida_latente_sobre_plano,rede_portao_A,j6010_1.sm,-0.00885651209732663
adaptativa,taxa_falha_efetiva,portao,j6010_1.sm,-0.033333333333333326
adaptativa,taxa_falha_efetiva,rede,j6010_1.sm,-0.13333333333333333
adaptativa,taxa_falha_efetiva,interacao,j6010_1.sm,0.016666666666666663
adaptativa,taxa_falha_efetiva,total,j6010_1.sm,-0.15
adaptativa,taxa_falha_efetiva,portao_rede_A,j6010_1.sm,-0.016666666666666663
adaptativa,taxa_falha_efetiva,rede_portao_A,j6010_1.sm,-0.11666666666666667
adaptativa,fracao_porta1,portao,j6010_1.sm,-0.11666666666666664
adaptativa,fracao_porta1,rede,j6010_1.sm,-0.08333333333333331
adaptativa,fracao_porta1,interacao,j6010_1.sm,0.09999999999999998
adaptativa,fracao_porta1,total,j6010_1.sm,-0.09999999999999998
adaptativa,fracao_porta1,portao_rede_A,j6010_1.sm,-0.016666666666666663
adaptativa,fracao_porta1,rede_portao_A,j6010_1.sm,0.016666666666666663
adaptativa,mu_cog_medio,portao,j6010_1.sm,0.05334228502684102
adaptativa,mu_cog_medio,rede,j6010_1.sm,0.07712357672008141
adaptativa,mu_cog_medio,interacao,j6010_1.sm,-0.021518013301222494
adaptativa,mu_cog_medio,total,j6010_1.sm,0.10894784844569994
adaptativa,mu_cog_medio,portao_rede_A,j6010_1.sm,0.031824271725618525
adaptativa,mu_cog_medio,rede_portao_A,j6010_1.sm,0.055605563418858917
adaptativa,mu_rede_medio,portao,j6010_1.sm,0.11187397058013893
adaptativa,mu_rede_medio,rede,j6010_1.sm,0.12951676987815253
adaptativa,mu_rede_medio,interacao,j6010_1.sm,-0.04783098288157228
adaptativa,mu_rede_medio,total,j6010_1.sm,0.19355975757671917
adaptativa,mu_rede_medio,portao_rede_A,j6010_1.sm,0.06404298769856664
adaptativa,mu_rede_medio,rede_portao_A,j6010_1.sm,0.08168578699658025
adaptativa,duracao_efetiva_media,portao,j6010_1.sm,-1.1499999999999995
adaptativa,duracao_efetiva_media,rede,j6010_1.sm,-1.6499999999999995
adaptativa,duracao_efetiva_media,interacao,j6010_1.sm,0.3833333333333311
adaptativa,duracao_efetiva_media,total,j6010_1.sm,-2.416666666666667
adaptativa,duracao_efetiva_media,portao_rede_A,j6010_1.sm,-0.7666666666666675
adaptativa,duracao_efetiva_media,rede_portao_A,j6010_1.sm,-1.2666666666666675
adaptativa,N_req,portao,j6010_1.sm,69.0
adaptativa,N_req,rede,j6010_1.sm,0.0
adaptativa,N_req,interacao,j6010_1.sm,35.0
adaptativa,N_req,total,j6010_1.sm,104.0
adaptativa,N_req,portao_rede_A,j6010_1.sm,104.0
adaptativa,N_req,rede_portao_A,j6010_1.sm,35.0
adaptativa,N_fail,portao,j6010_1.sm,14.0
adaptativa,N_fail,rede,j6010_1.sm,0.0
adaptativa,N_fail,interacao,j6010_1.sm,10.0
adaptativa,N_fail,total,j6010_1.sm,24.0
adaptativa,N_fail,portao_rede_A,j6010_1.sm,24.0
adaptativa,N_fail,rede_portao_A,j6010_1.sm,10.0
adaptativa,N_success,portao,j6010_1.sm,55.0
adaptativa,N_success,rede,j6010_1.sm,0.0
adaptativa,N_success,interacao,j6010_1.sm,25.0
adaptativa,N_success,total,j6010_1.sm,80.0
adaptativa,N_success,portao_rede_A,j6010_1.sm,80.0
adaptativa,N_success,rede_portao_A,j6010_1.sm,25.0
adaptativa,N_blocked,portao,j6010_1.sm,-100.0
adaptativa,N_blocked,rede,j6010_1.sm,42.0
adaptativa,N_blocked,interacao,j6010_1.sm,-42.0
adaptativa,N_blocked,total,j6010_1.sm,-100.0
adaptativa,N_blocked,portao_rede_A,j6010_1.sm,-142.0
adaptativa,N_blocked,rede_portao_A,j6010_1.sm,0.0
centralizada,atraso_relativo,portao,j6010_1.sm,-0.10588235294117654
centralizada,atraso_relativo,rede,j6010_1.sm,-0.21176470588235263
centralizada,atraso_relativo,interacao,j6010_1.sm,-0.611764705882353
centralizada,atraso_relativo,total,j6010_1.sm,-0.9294117647058822
centralizada,atraso_relativo,portao_rede_A,j6010_1.sm,-0.7176470588235295
centralizada,atraso_relativo,rede_portao_A,j6010_1.sm,-0.8235294117647056
centralizada,taxa_omissao,portao,j6010_1.sm,0.033333333333333326
centralizada,taxa_omissao,rede,j6010_1.sm,-0.016666666666666663
centralizada,taxa_omissao,interacao,j6010_1.sm,-0.18333333333333335
centralizada,taxa_omissao,total,j6010_1.sm,-0.16666666666666669
centralizada,taxa_omissao,portao_rede_A,j6010_1.sm,-0.15000000000000002
centralizada,taxa_omissao,rede_portao_A,j6010_1.sm,-0.2
centralizada,divida_latente_sobre_plano,portao,j6010_1.sm,-0.017901127278590223
centralizada,divida_latente_sobre_plano,rede,j6010_1.sm,0.0074535778063293395
centralizada,divida_latente_sobre_plano,interacao,j6010_1.sm,-0.04438706403659122
centralizada,divida_latente_sobre_plano,total,j6010_1.sm,-0.05483461350885212
centralizada,divida_latente_sobre_plano,portao_rede_A,j6010_1.sm,-0.06228819131518146
