reporte,celula,referencia_T2,metrica,diferenca_maxima
centralizada,CC,referencia,atraso_relativo,0.0
centralizada,CC,referencia,taxa_omissao,2.7755575615628914e-17
centralizada,CC,referencia,divida_latente_sobre_plano,2.7755575615628914e-17
centralizada,CC,referencia,taxa_falha_efetiva,5.551115123125783e-17
centralizada,CC,referencia,fracao_porta1,0.0
centralizada,CC,referencia,TW,0.0
centralizada,CC,referencia,TL,0.0
centralizada,CC,referencia,TU,0.0
centralizada,CC,referencia,TR,0.0
centralizada,CC,referencia,makespan,0.0
centralizada,CC,referencia,makespan_cpm,0.0
centralizada,AA,confianca,atraso_relativo,2.220446049250313e-16
centralizada,AA,confianca,taxa_omissao,6.938893903907228e-17
centralizada,AA,confianca,divida_latente_sobre_plano,1.3877787807814457e-17
centralizada,AA,confianca,taxa_falha_efetiva,6.938893903907228e-17
centralizada,AA,confianca,fracao_porta1,0.0
centralizada,AA,confianca,TW,0.0
centralizada,AA,confianca,TL,0.0
centralizada,AA,confianca,TU,0.0
centralizada,AA,confianca,TR,0.0
centralizada,AA,confianca,makespan,0.0
centralizada,AA,confianca,makespan_cpm,0.0
adaptativa,CC,reporte,atraso_relativo,0.0
adaptativa,CC,reporte,taxa_omissao,6.938893903907228e-17
adaptativa,CC,reporte,divida_latente_sobre_plano,6.938893903907228e-18
adaptativa,CC,reporte,taxa_falha_efetiva,5.551115123125783e-17
adaptativa,CC,reporte,fracao_porta1,0.0
adaptativa,CC,reporte,TW,0.0
adaptativa,CC,reporte,TL,0.0
adaptativa,CC,reporte,TU,0.0
adaptativa,CC,reporte,TR,0.0
adaptativa,CC,reporte,makespan,0.0
adaptativa,CC,reporte,makespan_cpm,0.0
adaptativa,AA,ambos,atraso_relativo,0.0
adaptativa,AA,ambos,taxa_omissao,6.938893903907228e-17
adaptativa,AA,ambos,divida_latente_sobre_plano,5.204170427930421e-17
adaptativa,AA,ambos,taxa_falha_efetiva,5.551115123125783e-17
adaptativa,AA,ambos,fracao_porta1,0.0
adaptativa,AA,ambos,TW,0.0
adaptativa,AA,ambos,TL,0.0
adaptativa,AA,ambos,TU,0.0
adaptativa,AA,ambos,TR,0.0
adaptativa,AA,ambos,makespan,0.0
adaptativa,AA,ambos,makespan_cpm,0.0
