reporte,metrica,contraste,media,ic95_inferior,ic95_superior,n_instancias
adaptativa,atraso_relativo,portao,-0.17647058823529393,,,1
adaptativa,atraso_relativo,rede,-0.2823529411764705,,,1
adaptativa,atraso_relativo,interacao,-0.07058823529411762,,,1
adaptativa,atraso_relativo,total,-0.5294117647058822,,,1
adaptativa,atraso_relativo,portao_rede_A,-0.24705882352941178,,,1
adaptativa,atraso_relativo,rede_portao_A,-0.3529411764705883,,,1
adaptativa,taxa_omissao,portao,0.0,,,1
adaptativa,taxa_omissao,rede,-0.06666666666666667,,,1
adaptativa,taxa_omissao,interacao,0.016666666666666663,,,1
adaptativa,taxa_omissao,total,-0.05,,,1
adaptativa,taxa_omissao,portao_rede_A,0.016666666666666663,,,1
adaptativa,taxa_omissao,rede_portao_A,-0.05,,,1
adaptativa,divida_latente_sobre_plano,portao,0.0037180219199876748,,,1
adaptativa,divida_latente_sobre_plano,rede,-0.01146171445459538,,,1
adaptativa,divida_latente_sobre_plano,interacao,0.00260520235726875,,,1
adaptativa,divida_latente_sobre_plano,total,-0.005138490177338955,,,1
adaptativa,divida_latente_sobre_plano,portao_rede_A,0.006323224277256425,,,1
adaptativa,divida_latente_sobre_plano,rede_portao_A,-0.00885651209732663,,,1
adaptativa,taxa_falha_efetiva,portao,-0.033333333333333326,,,1
adaptativa,taxa_falha_efetiva,rede,-0.13333333333333333,,,1
adaptativa,taxa_falha_efetiva,interacao,0.016666666666666663,,,1
adaptativa,taxa_falha_efetiva,total,-0.15,,,1
adaptativa,taxa_falha_efetiva,portao_rede_A,-0.016666666666666663,,,1
adaptativa,taxa_falha_efetiva,rede_portao_A,-0.11666666666666667,,,1
adaptativa,fracao_porta1,portao,-0.11666666666666664,,,1
adaptativa,fracao_porta1,rede,-0.08333333333333331,,,1
adaptativa,fracao_porta1,interacao,0.09999999999999998,,,1
adaptativa,fracao_porta1,total,-0.09999999999999998,,,1
adaptativa,fracao_porta1,portao_rede_A,-0.016666666666666663,,,1
adaptativa,fracao_porta1,rede_portao_A,0.016666666666666663,,,1
adaptativa,mu_cog_medio,portao,0.05334228502684102,,,1
adaptativa,mu_cog_medio,rede,0.07712357672008141,,,1
adaptativa,mu_cog_medio,interacao,-0.021518013301222494,,,1
adaptativa,mu_cog_medio,total,0.10894784844569994,,,1
adaptativa,mu_cog_medio,portao_rede_A,0.031824271725618525,,,1
adaptativa,mu_cog_medio,rede_portao_A,0.055605563418858917,,,1
adaptativa,mu_rede_medio,portao,0.11187397058013893,,,1
adaptativa,mu_rede_medio,rede,0.12951676987815253,,,1
adaptativa,mu_rede_medio,interacao,-0.04783098288157228,,,1
adaptativa,mu_rede_medio,total,0.19355975757671917,,,1
adaptativa,mu_rede_medio,portao_rede_A,0.06404298769856664,,,1
adaptativa,mu_rede_medio,rede_portao_A,0.08168578699658025,,,1
adaptativa,duracao_efetiva_media,portao,-1.1499999999999995,,,1
adaptativa,duracao_efetiva_media,rede,-1.6499999999999995,,,1
adaptativa,duracao_efetiva_media,interacao,0.3833333333333311,,,1
adaptativa,duracao_efetiva_media,total,-2.416666666666667,,,1
adaptativa,duracao_efetiva_media,portao_rede_A,-0.7666666666666675,,,1
adaptativa,duracao_efetiva_media,rede_portao_A,-1.2666666666666675,,,1
adaptativa,N_req,portao,69.0,,,1
adaptativa,N_req,rede,0.0,,,1
adaptativa,N_req,interacao,35.0,,,1
adaptativa,N_req,total,104.0,,,1
adaptativa,N_req,portao_rede_A,104.0,,,1
adaptativa,N_req,rede_portao_A,35.0,,,1
adaptativa,N_fail,portao,14.0,,,1
adaptativa,N_fail,rede,0.0,,,1
adaptativa,N_fail,interacao,10.0,,,1
adaptativa,N_fail,total,24.0,,,1
adaptativa,N_fail,portao_rede_A,24.0,,,1
adaptativa,N_fail,rede_portao_A,10.0,,,1
adaptativa,N_success,portao,55.0,,,1
adaptativa,N_success,rede,0.0,,,1
