concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,competencia_maxima_final,ablacoes,configuracao,arquivo,semente,cenario,atraso_relativo,violacoes,motivo_termino,tarefas_pendentes,dividas_pendentes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,confianca_media_final
True,214,85,0.7928507567632851,1.7763568394002505e-15,25.900005370714545,263.0,663.0,0.0,118.0,55.222951601402706,51,9,1,0,0.15,323.0,0.17096889040681953,0.08018577514153111,0.06603855047944857,40,0,0,118,20,118,32,3,86,0.6268507180531939,0.4857196752206667,16,60,0.6268507180531939,nenhuma,legado,j6010_1.sm,0,centralizada,2.5176470588235293,[],terminal_legado,0,0,,,,,
True,142,85,0.8959401408500789,0.0,4.5,314.0,470.0,10.0,4.0,40.58861766597299,59,1,10,0,0.016666666666666666,323.0,0.12566135500301234,0.01393188854489164,0.07737228048630179,10,0,10,4,50,14,4,0,0,0.6268507180531939,0.4857196752206667,16,60,0.9515971075044299,nenhuma,legado,j6010_1.sm,0,adaptativa,1.6705882352941177,[],terminal_legado,0,0,,,,,
True,235,85,0.7912961500915328,0.0,27.597251091721034,254.0,565.0,0.0,91.0,58.018386080412405,50,10,3,0,0.16666666666666666,323.0,0.17962348631706626,0.08544040585672147,0.08125615139814958,22,0,0,91,38,91,35,9,56,0.6586427040007742,0.39362113220747674,14,60,0.6586427040007742,nenhuma,legado,j6010_1.sm,1,centralizada,2.764705882352941,[],terminal_legado,0,0,,,,,
True,152,85,0.919451288774537,0.0,7.5,298.0,492.0,10.0,8.0,25.10175689214311,57,3,6,0,0.05,323.0,0.0777144176227341,0.02321981424148607,0.04691024944102866,15,0,10,8,45,18,8,2,0,0.6586427040007742,0.39362113220747674,14,60,0.9660844124483664,nenhuma,legado,j6010_1.sm,1,adaptativa,1.7882352941176471,[],terminal_legado,0,0,,,,,
True,354,85,0.7981596141656981,8.881784197001252e-16,33.34530908477753,239.0,654.0,0.0,97.0,68.38498063900967,47,13,2,0,0.21666666666666667,323.0,0.21171820631272342,0.10323625103646294,0.0834589140085026,38,0,0,97,22,97,40,12,57,0.7659648859265082,0.2570239140832174,4,60,0.7659648859265082,nenhuma,legado,j6010_1.sm,2,centralizada,4.1647058823529415,[],terminal_legado,0,0,,,,,
True,139,85,0.8456618541498859,0.0,4.0,309.0,498.0,13.0,4.0,73.8878605037966,56,4,17,0,0.06666666666666667,323.0,0.22875498607986564,0.01238390092879257,0.12547017090925455,15,0,13,4,45,17,4,0,0,0.7659648859265082,0.2570239140832174,4,60,0.98,nenhuma,legado,j6010_1.sm,2,adaptativa,1.6352941176470588,[],terminal_legado,0,0,,,,,
True,194,85,0.7840002016739748,0.0,12.671526754499599,287.0,602.0,0.0,122.0,43.856945335762475,53,7,4,0,0.11666666666666667,323.0,0.13578001651938848,0.03923073298606687,0.05711603652498715,28,0,0,122,32,122,38,7,84,0.794910294566222,0.24332019624229823,3,60,0.794910294566222,nenhuma,legado,j6010_1.sm,3,centralizada,2.2823529411764705,[],terminal_legado,0,0,,,,,
True,152,85,0.8887798585943433,0.0,4.0,315.0,533.0,11.0,5.0,50.698558474277604,59,1,12,0,0.016666666666666666,323.0,0.1569614813445127,0.01238390092879257,0.08454007060357503,22,0,11,5,38,16,5,2,0,0.794910294566222,0.24332019624229823,3,60,0.98,nenhuma,legado,j6010_1.sm,3,adaptativa,1.7882352941176471,[],terminal_legado,0,0,,,,,
True,244,85,0.7494349965596603,0.0,27.798572913229442,198.0,620.0,0.0,103.0,104.2898955161666,42,18,3,0,0.3,323.0,0.32287893348658386,0.08606369322981251,0.1260620927215575,28,0,0,103,32,103,28,1,75,0.7496468789669437,0.35303232464984247,6,60,0.7496468789669437,nenhuma,legado,j6010_1.sm,4,centralizada,2.8705882352941177,[],terminal_legado,0,0,,,,,
True,158,85,0.8565155886447761,0.0,10.748728595858422,273.0,516.0,15.0,3.0,68.44087421274175,53,7,10,0,0.11666666666666667,323.0,0.21189125143263698,0.03327779751039759,0.11360596058854569,15,0,15,3,45,18,3,0,0,0.7496468789669437,0.35303232464984247,6,60,0.98,nenhuma,legado,j6010_1.sm,4,adaptativa,1.8588235294117648,[],terminal_legado,0,0,,,,,
