configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
C4,j6010_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6013_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6016_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6019_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6021_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6024_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6027_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j602_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6032_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6035_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6038_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6040_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6043_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6046_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j604_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j607_1.sm,concluiu,1.0,1.0,0.0,12,0
C4,j6010_1.sm,makespan,197.83333333333334,125.25,-72.58333333333333,12,0
C4,j6013_1.sm,makespan,288.4166666666667,201.83333333333334,-86.58333333333333,12,0
C4,j6016_1.sm,makespan,222.41666666666666,120.91666666666667,-101.5,12,0
C4,j6019_1.sm,makespan,194.83333333333334,120.75,-74.08333333333333,12,0
C4,j6021_1.sm,makespan,265.5,175.25,-90.25,12,0
C4,j6024_1.sm,makespan,175.08333333333334,95.66666666666667,-79.41666666666667,12,0
C4,j6027_1.sm,makespan,221.83333333333334,139.83333333333334,-82.0,12,0
C4,j602_1.sm,makespan,192.75,107.66666666666667,-85.08333333333333,12,0
C4,j6032_1.sm,makespan,191.5,109.5,-82.0,12,0
C4,j6035_1.sm,makespan,193.58333333333334,124.33333333333333,-69.25,12,0
C4,j6038_1.sm,makespan,182.91666666666666,122.33333333333333,-60.583333333333336,12,0
C4,j6040_1.sm,makespan,221.0,124.91666666666667,-96.08333333333333,12,0
