concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,p1_omissao,p1_fuga,p2_ajuda,p2_bloqueio,p3_analitica,hiato_encontrado,hiato_sem_colega_capaz,hiato_sem_colega_livre,hiato_colega_capaz_sem_confianca,competencia_maxima_inicial,competencia_minima_inicial,tarefas_acima_da_competencia_maxima_inicial,n_tarefas,competencia_maxima_final,ablacoes,retrabalho_gerado,retrabalho_pendente,ocupacao_retrabalho,extensoes_horizonte,motivo_termino,confianca_media_final,configuracao,arquivo,semente,cenario,atraso_relativo,violacoes,tarefas_pendentes,dividas_pendentes
True,218,85,0.8408148994538661,0.0,8.798165635017483,299.0,719.0,0.0,121.0,15.12281058174821,55,5,1,0,0.08333333333333333,323.0,0.046819847002316436,0.02723890289479097,0.017684957522604287,34,0,0,121,26,121,33,0,88,0.6268507180531939,0.4857196752206667,16,60,0.6268507180531939,nenhuma,15.122810581748212,0.0,17,0,terminal,0.25,p0_yaml_arredondado,j6010_1.sm,0,centralizada,2.5647058823529414,[],0,0
True,167,85,0.941345453663558,0.0,1.5,316.0,562.0,9.0,12.0,14.017808725575266,58,2,5,0,0.03333333333333333,323.0,0.04339878862407203,0.0046439628482972135,0.023479716217340983,19,0,9,12,41,21,12,2,0,0.6268507180531939,0.4857196752206667,16,60,0.9298105341535848,nenhuma,14.017808725575266,0.0,17,0,terminal,0.7999999999999999,p0_yaml_arredondado,j6010_1.sm,0,adaptativa,1.964705882352941,[],0,0
True,198,85,0.8691229516584057,0.0,8.725710177855847,274.0,695.0,0.0,88.0,16.656709874989243,51,9,0,0,0.15,323.0,0.051568761222876916,0.02701458259398095,0.020829825685565993,31,0,0,88,29,88,44,22,44,0.6586427040007742,0.39362113220747674,14,60,0.6586427040007742,nenhuma,16.656709874989243,0.0,22,0,terminal,0.25,p0_yaml_arredondado,j6010_1.sm,1,centralizada,2.3294117647058825,[],0,0
True,160,85,0.9485279152978975,0.0,2.1,313.0,527.0,8.0,13.0,7.59777577499011,58,2,3,0,0.03333333333333333,323.0,0.023522525619164427,0.006501547987616099,0.01367495714753745,12,0,8,13,48,21,13,3,0,0.6586427040007742,0.39362113220747674,14,60,0.9505032857970029,nenhuma,7.59777577499011,0.0,11,0,terminal,0.7999999999999999,p0_yaml_arredondado,j6010_1.sm,1,adaptativa,1.8823529411764706,[],0,0
True,264,85,0.8590997307155261,0.0,9.254972973289798,273.0,757.0,0.0,105.0,19.154972973289798,49,11,1,0,0.18333333333333332,323.0,0.05930332189873003,0.028653167099968412,0.021738483650219877,38,0,0,105,22,105,46,15,59,0.7659648859265082,0.2570239140832174,4,60,0.7659648859265082,nenhuma,19.154972973289794,0.0,25,0,terminal,0.25,p0_yaml_arredondado,j6010_1.sm,2,centralizada,3.1058823529411765,[],0,0
True,155,85,0.9334102926295218,0.0,4.475980843651699,306.0,559.0,9.0,14.0,16.879190013251435,57,3,6,0,0.05,323.0,0.05225755422059268,0.013857525831739005,0.02818463271845854,25,0,9,14,35,23,14,5,0,0.7659648859265082,0.2570239140832174,4,60,0.9556360443653382,nenhuma,16.879190013251435,0.0,22,0,terminal,0.7999999999999999,p0_yaml_arredondado,j6010_1.sm,2,adaptativa,1.8235294117647058,[],0,0
True,216,85,0.8050438997818867,2.220446049250313e-16,6.915019160215793,285.0,751.0,0.0,164.0,17.86838171616603,55,5,1,0,0.08333333333333333,323.0,0.05532006723271217,0.021408728050203694,0.019154236617275184,39,0,0,164,21,164,52,0,112,0.794910294566222,0.24332019624229823,3,60,0.794910294566222,nenhuma,17.86838171616603,0.0,20,0,terminal,0.25,p0_yaml_arredondado,j6010_1.sm,3,centralizada,2.541176470588235,[],0,0
True,148,85,0.9190126918007953,0.0,0.0,323.0,531.0,11.0,24.0,11.793979057581183,60,0,5,0,0.0,323.0,0.03651386705133493,0.0,0.020412083692560996,20,0,11,24,40,35,24,12,0,0.794910294566222,0.24332019624229823,3,60,0.948490944528227,nenhuma,11.793979057581183,0.0,13,0,terminal,0.7999999999999999,p0_yaml_arredondado,j6010_1.sm,3,adaptativa,1.7411764705882353,[],0,0
True,282,76,0.8869026639971148,0.0,6.625784529746139,299.0,738.0,0.0,79.0,15.109350843488802,54,6,0,0,0.1,332.0,0.0455100929020747,0.019957182318512467,0.01815789094086351,35,0,0,79,25,79,23,0,56,0.6268507180531939,0.4857196752206667,18,60,0.6268507180531939,nenhuma,15.109350843488802,0.0,19,0,terminal,0.25,p0_yaml_arredondado,j6021_1.sm,0,centralizada,3.710526315789474,[],0,0
True,272,76,0.9161405012208881,0.0,7.01511299263319,315.0,592.0,8.0,9.0,37.189093497204205,57,3,10,0,0.05,332.0,0.11201534185904881,0.021129858411545754,0.05755141006162015,23,0,8,9,37,17,9,0,0,0.6268507180531939,0.4857196752206667,18,60,0.8649662290287383,nenhuma,37.189093497204205,0.0,44,0,terminal,0.7999999999999999,p0_yaml_arredondado,j6021_1.sm,0,adaptativa,3.5789473684210527,[],0,0
