configuracao,cenario,n,concluidas,censuradas
centro_fator_0.5,adaptativa,16,16,0
centro_fator_0.5,centralizada,16,16,0
centro_fator_1.0,adaptativa,16,16,0
centro_fator_1.0,centralizada,16,16,0
centro_horizonte_dobrado,adaptativa,16,16,0
centro_horizonte_dobrado,centralizada,16,16,0
centro_porta2_assistencia_universal,adaptativa,16,16,0
centro_porta2_assistencia_universal,centralizada,16,16,0
centro_porta2_sem_assistencia,adaptativa,16,16,0
centro_porta2_sem_assistencia,centralizada,16,16,0
centro_porta2_sem_filtro_competencia,adaptativa,16,16,0
centro_porta2_sem_filtro_competencia,centralizada,16,16,0
centro_tau_media_eventos,adaptativa,16,16,0
centro_tau_media_eventos,centralizada,16,16,0
centro_tau_saldo_eventos,adaptativa,16,16,0
centro_tau_saldo_eventos,centralizada,16,16,0
p0_criticidade_reduzida,adaptativa,16,16,0
p0_criticidade_reduzida,centralizada,16,16,0
p0_duracao_dominante,adaptativa,16,16,0
p0_duracao_dominante,centralizada,16,16,0
p0_recursos_dominante,adaptativa,16,16,0
p0_recursos_dominante,centralizada,16,16,0
p0_yaml_arredondado,adaptativa,16,16,0
p0_yaml_arredondado,centralizada,16,16,0
p1_criticidade_reduzida,adaptativa,16,16,0
p1_criticidade_reduzida,centralizada,16,16,0
p1_duracao_dominante,adaptativa,16,16,0
p1_duracao_dominante,centralizada,16,16,0
p1_recursos_dominante,adaptativa,16,16,0
p1_recursos_dominante,centralizada,16,16,0
p1_yaml_arredondado,adaptativa,16,16,0
p1_yaml_arredondado,centralizada,16,16,0
p2_criticidade_reduzida,adaptativa,16,16,0
p2_criticidade_reduzida,centralizada,16,16,0
p2_duracao_dominante,adaptativa,16,16,0
p2_duracao_dominante,centralizada,16,16,0
p2_recursos_dominante,adaptativa,16,16,0
p2_recursos_dominante,centralizada,16,16,0
p2_yaml_arredondado,adaptativa,16,16,0
p2_yaml_arredondado,centralizada,16,16,0
p3_criticidade_reduzida,adaptativa,16,16,0
p3_criticidade_reduzida,centralizada,16,16,0
p3_duracao_dominante,adaptativa,16,16,0
p3_duracao_dominante,centralizada,16,16,0
p3_recursos_dominante,adaptativa,16,16,0
p3_recursos_dominante,centralizada,16,16,0
p3_yaml_arredondado,adaptativa,16,16,0
p3_yaml_arredondado,centralizada,16,16,0
p4_criticidade_reduzida,adaptativa,16,16,0
p4_criticidade_reduzida,centralizada,16,16,0
p4_duracao_dominante,adaptativa,16,16,0
p4_duracao_dominante,centralizada,16,16,0
p4_recursos_dominante,adaptativa,16,16,0
p4_recursos_dominante,centralizada,16,16,0
p4_yaml_arredondado,adaptativa,16,16,0
p4_yaml_arredondado,centralizada,16,16,0
p5_criticidade_reduzida,adaptativa,16,16,0
p5_criticidade_reduzida,centralizada,16,16,0
p5_duracao_dominante,adaptativa,16,16,0
p5_duracao_dominante,centralizada,16,16,0
p5_recursos_dominante,adaptativa,16,16,0
p5_recursos_dominante,centralizada,16,16,0
p5_yaml_arredondado,adaptativa,16,16,0
p5_yaml_arredondado,centralizada,16,16,0
p6_criticidade_reduzida,adaptativa,16,16,0
p6_criticidade_reduzida,centralizada,16,16,0
p6_duracao_dominante,adaptativa,16,16,0
p6_duracao_dominante,centralizada,16,16,0
p6_recursos_dominante,adaptativa,16,16,0
p6_recursos_dominante,centralizada,16,16,0
p6_yaml_arredondado,adaptativa,16,16,0
p6_yaml_arredondado,centralizada,16,16,0
p7_criticidade_reduzida,adaptativa,16,16,0
p7_criticidade_reduzida,centralizada,16,16,0
p7_duracao_dominante,adaptativa,16,16,0
p7_duracao_dominante,centralizada,16,16,0
p7_recursos_dominante,adaptativa,16,16,0
p7_recursos_dominante,centralizada,16,16,0
p7_yaml_arredondado,adaptativa,16,16,0
p7_yaml_arredondado,centralizada,16,16,0
p8_criticidade_reduzida,adaptativa,16,16,0
p8_criticidade_reduzida,centralizada,16,16,0
p8_duracao_dominante,adaptativa,16,16,0
p8_duracao_dominante,centralizada,16,16,0
p8_recursos_dominante,adaptativa,16,16,0
p8_recursos_dominante,centralizada,16,16,0
p8_yaml_arredondado,adaptativa,16,16,0
p8_yaml_arredondado,centralizada,16,16,0
