configuracao,arquivo,metrica,centralizada,adaptativa,diferenca,n_pares,n_pares_censurados
centro_fator_0.5,j6010_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,concluiu,1.0,1.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,makespan,221.0,127.5,-93.5,4,0
centro_fator_0.5,j6021_1.sm,makespan,254.25,189.5,-64.75,4,0
centro_fator_0.5,j6032_1.sm,makespan,172.5,107.0,-65.5,4,0
centro_fator_0.5,j6043_1.sm,makespan,190.5,141.75,-48.75,4,0
centro_fator_0.5,j6010_1.sm,makespan_cpm,85.0,85.0,0.0,4,0
centro_fator_0.5,j6021_1.sm,makespan_cpm,76.0,76.0,0.0,4,0
centro_fator_0.5,j6032_1.sm,makespan_cpm,69.0,69.0,0.0,4,0
centro_fator_0.5,j6043_1.sm,makespan_cpm,108.0,108.0,0.0,4,0
centro_fator_0.5,j6010_1.sm,E_total,0.6629358365968491,0.8096434509916675,0.14670761439481841,4,0
centro_fator_0.5,j6021_1.sm,E_total,0.6789363892977803,0.8098065266627086,0.13087013736492817,4,0
centro_fator_0.5,j6032_1.sm,E_total,0.6431302866051731,0.821120334994056,0.17799004838888285,4,0
centro_fator_0.5,j6043_1.sm,E_total,0.5598589895482663,0.8278790707289889,0.2680200811807226,4,0
centro_fator_0.5,j6010_1.sm,S_UR_final,1.9984014443252818e-15,0.0,-1.9984014443252818e-15,4,0
centro_fator_0.5,j6021_1.sm,S_UR_final,1.5543122344752192e-15,1.6653345369377348e-16,-1.3877787807814457e-15,4,0
centro_fator_0.5,j6032_1.sm,S_UR_final,1.3322676295501878e-15,0.0,-1.3322676295501878e-15,4,0
centro_fator_0.5,j6043_1.sm,S_UR_final,1.1102230246251565e-15,2.7755575615628914e-16,-8.326672684688674e-16,4,0
centro_fator_0.5,j6010_1.sm,S_UR_maximo,28.857739099784382,6.072822472599929,-22.784916627184455,4,0
centro_fator_0.5,j6021_1.sm,S_UR_maximo,44.48878522110603,11.534710104962343,-32.954075116143684,4,0
centro_fator_0.5,j6032_1.sm,S_UR_maximo,40.2496974532373,8.67637595757311,-31.57332149566419,4,0
centro_fator_0.5,j6043_1.sm,S_UR_maximo,31.15608858147827,7.230183195433638,-23.925905386044626,4,0
centro_fator_0.5,j6010_1.sm,S_PV_final,223.0,290.25,67.25,4,0
centro_fator_0.5,j6021_1.sm,S_PV_final,199.5,297.75,98.25,4,0
centro_fator_0.5,j6032_1.sm,S_PV_final,218.75,307.25,88.5,4,0
centro_fator_0.5,j6043_1.sm,S_PV_final,214.75,308.25,93.5,4,0
centro_fator_0.5,j6010_1.sm,TW,412.5,410.75,-1.75,4,0
centro_fator_0.5,j6021_1.sm,TW,427.0,409.0,-18.0,4,0
centro_fator_0.5,j6032_1.sm,TW,442.0,448.0,6.0,4,0
centro_fator_0.5,j6043_1.sm,TW,407.0,423.5,16.5,4,0
centro_fator_0.5,j6010_1.sm,TL,0.0,9.5,9.5,4,0
centro_fator_0.5,j6021_1.sm,TL,0.0,5.25,5.25,4,0
centro_fator_0.5,j6032_1.sm,TL,0.0,7.5,7.5,4,0
centro_fator_0.5,j6043_1.sm,TL,0.0,8.75,8.75,4,0
centro_fator_0.5,j6010_1.sm,TU,137.5,14.0,-123.5,4,0
centro_fator_0.5,j6021_1.sm,TU,91.0,7.75,-83.25,4,0
centro_fator_0.5,j6032_1.sm,TU,151.75,17.25,-134.5,4,0
centro_fator_0.5,j6043_1.sm,TU,239.75,14.0,-225.75,4,0
centro_fator_0.5,j6010_1.sm,TR,75.65180735104876,75.05462113300793,-0.5971862180408216,4,0
centro_fator_0.5,j6021_1.sm,TR,114.13473831428604,83.54498206041713,-30.589756253868917,4,0
centro_fator_0.5,j6032_1.sm,TR,93.87340462802776,72.911065591283,-20.962339036744748,4,0
centro_fator_0.5,j6043_1.sm,TR,84.3866569708279,65.50257657843045,-18.884080392397443,4,0
centro_fator_0.5,j6010_1.sm,n_limpas,44.0,54.75,10.75,4,0
centro_fator_0.5,j6021_1.sm,n_limpas,39.25,54.75,15.5,4,0
centro_fator_0.5,j6032_1.sm,n_limpas,42.0,55.5,13.5,4,0
centro_fator_0.5,j6043_1.sm,n_limpas,41.75,56.25,14.5,4,0
centro_fator_0.5,j6010_1.sm,n_com_erro,16.0,5.25,-10.75,4,0
centro_fator_0.5,j6021_1.sm,n_com_erro,20.75,5.25,-15.5,4,0
centro_fator_0.5,j6032_1.sm,n_com_erro,18.0,4.5,-13.5,4,0
centro_fator_0.5,j6043_1.sm,n_com_erro,18.25,3.75,-14.5,4,0
centro_fator_0.5,j6010_1.sm,n_reportadas,3.5,14.25,10.75,4,0
centro_fator_0.5,j6021_1.sm,n_reportadas,2.0,12.75,10.75,4,0
