configuracao,metrica,n_instancias,media_centralizada,media_adaptativa,media_diferenca,ic95_inferior,ic95_superior,n_positivo,n_negativo,n_zero,n_pares_censurados
centro_fator_0.5,E_plano,4,331.5,331.5,0.0,0.0,0.0,0,0,4,0
centro_fator_0.5,E_total,4,0.6362153755120172,0.8171123458443552,0.180896970332338,0.0833661851581197,0.2784277555065563,4,0,0,0
centro_fator_0.5,S_PV_final,4,214.0,300.875,86.875,65.11413858468954,108.63586141531046,4,0,0,0
centro_fator_0.5,S_UR_final,4,1.4988010832439613e-15,1.1102230246251565e-16,-1.3877787807814457e-15,-2.147627583075442e-15,-6.279299784874496e-16,0,4,0,0
centro_fator_0.5,S_UR_maximo,4,36.18807758890149,8.378522932642255,-27.809554656259238,-36.07584027116291,-19.543269041355565,0,4,0,0
centro_fator_0.5,TL,4,0.0,7.75,7.75,4.790866800023596,10.709133199976403,4,0,0,0
centro_fator_0.5,TR,4,92.01165181604762,74.25331134078462,-17.758340475262983,-37.68960608734022,2.1729251368142606,0,4,0,0
centro_fator_0.5,TU,4,155.0,13.25,-141.75,-237.50530454433186,-45.99469545566815,0,4,0,0
centro_fator_0.5,TW,4,422.125,422.8125,0.6875,-22.434052454125617,23.809052454125617,2,2,0,0
centro_fator_0.5,atraso_relativo,4,2.552320906432749,1.7141614225781847,-0.8381594838545638,-1.2794091544723298,-0.3969098132367979,0,4,0,0
centro_fator_0.5,competencia_maxima_final,4,0.7115921506366745,0.8794007135284911,0.16780856289181664,0.09528550754394113,0.24033161823969215,4,0,0,0
centro_fator_0.5,competencia_maxima_inicial,4,0.7115921506366745,0.7115921506366745,0.0,0.0,0.0,0,0,4,0
centro_fator_0.5,competencia_minima_inicial,4,0.34492122943841474,0.34492122943841474,0.0,0.0,0.0,0,0,4,0
centro_fator_0.5,concluiu,4,1.0,1.0,0.0,0.0,0.0,0,0,4,0
centro_fator_0.5,confianca_media_final,4,0.25,0.7999999999999999,0.5499999999999999,0.5499999999999999,0.5499999999999999,4,0,0,0
centro_fator_0.5,divida_latente_sobre_plano,4,0.1090155542473195,0.025234397122353338,-0.08378115712496616,-0.10739308466747227,-0.06016922958246005,0,4,0,0
centro_fator_0.5,dividas_pendentes,4,0.0,0.0,0.0,0.0,0.0,0,0,4,0
