replica,I_max,excluido,incompletas,z_taxa_omissao,f_taxa_omissao,V_obs_taxa_omissao,V_sim_taxa_omissao,I_taxa_omissao,z_atraso_relativo,f_atraso_relativo,V_obs_atraso_relativo,V_sim_atraso_relativo,I_atraso_relativo,z_retrabalho_sobre_plano,f_retrabalho_sobre_plano,V_obs_retrabalho_sobre_plano,V_sim_retrabalho_sobre_plano,I_retrabalho_sobre_plano,z_E_total,f_E_total,V_obs_E_total,V_sim_E_total,I_E_total
0,0.9002845207474991,False,0,0.08916666666666667,0.08958333333333335,0.00010964506172839504,5.0636574074074086e-05,0.03291143927997757,1.6319693094629155,1.5953111679454393,0.00012914313004361256,0.0015288446327293547,0.9002845207474991,0.2058509595670456,0.20536104941606004,5.760189805141452e-05,0.00033444613084914805,0.024742683557162075,0.8555174577787487,0.8549401883884271,1.916925900490127e-05,7.1508364983087e-05,0.060621749235306166
1,3.5802142682731617,True,0,0.09583333333333331,0.09583333333333333,3.587962962962963e-05,0.00028356481481481483,7.76466231511547e-16,1.6093691389599318,1.6213341858482524,0.0002689201178904505,0.00019712302863495663,0.5542444359971435,0.1935896427866962,0.2341703037127455,6.444221821850867e-05,0.00020942099358488018,2.452179556265081,0.8635596378739063,0.8403191018304692,2.273006260551952e-05,1.940796891144724e-05,3.5802142682731617
2,2.211487110782596,False,0,0.10333333333333332,0.07083333333333333,4.814814814814813e-05,0.00016782407407407406,2.211487110782596,1.6250980392156862,1.629923273657289,7.295486257729208e-05,0.0011787139210429187,0.13638722983388,0.1964810814555554,0.200917454389333,8.267134765249334e-05,0.00012526209898980865,0.30765634115190016,0.8571276922511618,0.8549298060057272,2.804154645183836e-05,4.1738924870815444e-05,0.2631105496891235
3,3.345242935922518,True,0,0.11416666666666667,0.08541666666666667,4.637345679012346e-05,2.748842592592594e-05,3.345242935922518,1.6278516624040926,1.6071824381926685,0.0002652368852042675,0.00040416859566639517,0.7988763130781231,0.2031574240613446,0.20353054155985212,8.421339277508566e-05,0.0003665650270463577,0.017573734411119677,0.8552467614695572,0.8527774028517071,2.1402398407584236e-05,0.00011157835749205746,0.2141360400850137
4,1.4367394278317256,False,0,0.09583333333333333,0.08541666666666667,4.822530864197531e-05,4.340277777777785e-06,1.4367394278317256,1.6142710997442453,1.5919011082693948,0.00022486499424510055,0.0007928437198915546,0.7012196408656666,0.22043975506535868,0.21069909492978692,3.6182718358174886e-05,0.00017322896281620802,0.6731129388547984,0.8470225524242458,0.8510362486301064,1.1258161739658158e-05,1.9123657909547225e-05,0.7281780897223583
5,1.0510608144407287,False,0,0.10083333333333333,0.09791666666666668,7.631172839506171e-05,0.00010850694444444444,0.21454276559092766,1.6171270247229323,1.5965473145780051,0.0002040013934827555,0.0001793727486423121,1.0510608144407287,0.2134278248254992,0.20670435420742755,7.480267489529382e-05,4.005047999276825e-05,0.6273675430939641,0.8491403441448891,0.8555772826958863,1.6008549587307565e-05,4.960146917792828e-05,0.7946836580835884
6,1.5541901293762286,False,0,0.1,0.11875000000000001,6.0185185185185167e-05,8.535879629629627e-05,1.5541901293762286,1.6330520034100595,1.6616155157715258,0.00012189244099400807,0.0002655810183519638,1.451077573452146,0.20720209441534143,0.21544410703583924,7.38295392136739e-05,3.3123443606302965e-05,0.7969605509526574,0.8528049661073831,0.8522231947883565,1.5336566770077817e-05,2.5837853465853766e-05,0.09066476926129678
7,1.7146108668924966,False,0,0.09666666666666665,0.10833333333333334,8.209876543209875e-05,0.0005092592592592591,0.4797572455042024,1.6289343563512362,1.6290281329923273,0.0001679831832408018,0.0018506241964519941,0.002087222485437035,0.21064790794684068,0.20637189952001234,3.511139246751328e-05,4.451768175690662e-05,0.4791844530635481,0.8520087658246371,0.8594190522513958,1.1550428093178497e-05,7.127936400324596e-06,1.7146108668924966
8,1.6876828739936922,False,0,0.09250000000000001,0.09166666666666667,3.001543209876543e-05,0.00019675925925925926,0.055337745498863104,1.602770673486786,1.6271099744245525,0.00025627327669765926,0.00011507255582712975,1.263044998063726,0.21035287365686103,0.22464421682036884,5.908422494319559e-05,9.910665907553519e-05,1.1362720423249548,0.8537456450083825,0.841925675637676,1.6129136608088734e-05,3.29222191517761e-05,1.6876828739936922
9,1.6884670769161025,False,0,0.09583333333333335,0.1,1.2731481481481477e-05,5.7870370370370345e-05,0.49588470368046306,1.6476726342710997,1.6227834612105712,0.0002001685648993034,0.0003434157031358461,1.0675224766420839,0.21299290376447214,0.20161272409169245,8.983779441861192e-05,6.071657271129286e-05,0.9274754868431819,0.8481533907417493,0.8574941346058849,1.9411488705397088e-05,1.1192478853971412e-05,1.6884670769161025
