projeto_retirado,n_restante,monotonica,F_base_baixa,F_base_media,F_base_alta,F_base_muito_alta
CM1,17050,True,0.14775,0.28789,0.34908,0.44262
JM1,9595,True,0.11904,0.25771,0.29562,0.36973
KC1,16194,True,0.13976,0.26836,0.3411,0.43869
KC3,17183,True,0.14708,0.28154,0.34739,0.43945
MC1,15389,True,0.16445,0.30872,0.37179,0.45548
MC2,17252,True,0.14623,0.2809,0.346,0.43467
MW1,17124,True,0.14813,0.28437,0.34765,0.44015
PC1,16672,True,0.15011,0.2932,0.35774,0.45204
PC2,16632,True,0.15331,0.28922,0.35354,0.44195
PC3,16300,True,0.14959,0.28501,0.36638,0.456
PC4,16090,True,0.14769,0.28922,0.36695,0.4563
PC5,15666,True,0.14019,0.27633,0.30769,0.39969
