cenario,tau_sat,s_transicao,N_estados,P_inferior,P_superior,fracao_esperada_inferior,fracao_esperada_superior,razao
adaptativa,0.7,0.01,11520,0.3,1.0,0.2674983026855196,0.5141095162467489,1.921916928389464
adaptativa,0.7,0.25,11520,0.3,1.0,0.35139157246890107,0.5924962929080577,1.686142580896686
adaptativa,0.7,0.6,11520,0.3,1.0,0.4702870327638516,0.6193421842280592,1.3169450592507697
adaptativa,1.0,0.01,11520,0.3,1.0,0.2519578038652251,0.34718260913841725,1.3779394954725392
adaptativa,1.0,0.25,11520,0.3,1.0,0.2817696312344031,0.44365240380540416,1.5745217178366941
adaptativa,1.0,0.6,11520,0.3,1.0,0.3933267310163021,0.5356872534652302,1.3619396070058296
adaptativa,1.4,0.01,11520,0.3,1.0,0.2365115983496124,0.3021169989954272,1.2773876676814666
adaptativa,1.4,0.25,11520,0.3,1.0,0.24225310114346119,0.33612701102579523,1.387503439333651
adaptativa,1.4,0.6,11520,0.3,1.0,0.3140367424525449,0.4402114339532296,1.401783213375904
centralizada,0.7,0.01,11520,0.3,1.0,0.38764927276124567,0.6062190010615085,1.5638337117038281
centralizada,0.7,0.25,11520,0.3,1.0,0.4574028223229444,0.6693761871856869,1.4634281961493474
centralizada,0.7,0.6,11520,0.3,1.0,0.5485136043906893,0.6876218855153968,1.2536095367757278
centralizada,1.0,0.01,11520,0.3,1.0,0.3697350602446112,0.47147340415727296,1.2751655302728206
centralizada,1.0,0.25,11520,0.3,1.0,0.3933514193602577,0.5464473331064946,1.3892090029705
centralizada,1.0,0.6,11520,0.3,1.0,0.47913812578501536,0.6179440964292684,1.2896992812184058
centralizada,1.4,0.01,11520,0.3,1.0,0.348179792758332,0.4271833324194519,1.2269044364557808
centralizada,1.4,0.25,11520,0.3,1.0,0.35096841698420866,0.45422095772394283,1.2941932542733037
centralizada,1.4,0.6,11520,0.3,1.0,0.40403031488828733,0.5374375383695679,1.3301911232036316
