arquivo,semente,cenario,cruzou,primeiro_periodo,media_temporal,final
j6010_1.sm,0,adaptativa,True,13.0,0.9732493868378012,0.97
j6010_1.sm,0,centralizada,False,,0.25,0.25
j6010_1.sm,1,adaptativa,True,22.0,0.9515603866675323,0.9633333333333334
j6010_1.sm,1,centralizada,False,,0.25,0.25
j6010_1.sm,2,adaptativa,True,1.0,0.9163343504940594,0.8933333333333332
j6010_1.sm,2,centralizada,False,,0.25,0.25
j6010_1.sm,3,adaptativa,True,1.0,0.9020604939098857,0.8766666666666666
j6010_1.sm,3,centralizada,False,,0.25,0.25
j6010_1.sm,4,adaptativa,True,1.0,0.9331696679662805,0.9133333333333332
j6010_1.sm,4,centralizada,False,,0.25,0.25
j6010_1.sm,5,adaptativa,True,30.0,0.9389504174300548,0.949226375410953
j6010_1.sm,5,centralizada,False,,0.25,0.25
j6010_1.sm,6,adaptativa,False,,0.8611064719950958,0.8493517720815773
j6010_1.sm,6,centralizada,False,,0.25,0.25
j6010_1.sm,7,adaptativa,True,14.0,0.9700215760325617,0.9666666666666668
j6010_1.sm,7,centralizada,False,,0.25,0.25
j6010_1.sm,8,adaptativa,True,1.0,0.9385213034206842,0.921887230648981
j6010_1.sm,8,centralizada,False,,0.25,0.25
j6010_1.sm,9,adaptativa,True,13.0,0.9489042293761919,0.946959448258965
j6010_1.sm,9,centralizada,False,,0.25,0.25
j6010_1.sm,10,adaptativa,True,1.0,0.964654114778972,0.965
j6010_1.sm,10,centralizada,False,,0.25,0.25
j6010_1.sm,11,adaptativa,True,1.0,0.9715460548162566,0.9633333333333332
j6010_1.sm,11,centralizada,False,,0.25,0.25
j6013_1.sm,0,adaptativa,True,9.0,0.980894902883311,0.9860029873737972
j6013_1.sm,0,centralizada,False,,0.25,0.25
j6013_1.sm,1,adaptativa,True,4.0,0.9616670488137482,0.9616666666666666
j6013_1.sm,1,centralizada,False,,0.25,0.25
j6013_1.sm,2,adaptativa,False,,0.8810627670653398,0.8833333333333333
j6013_1.sm,2,centralizada,False,,0.25,0.25
j6013_1.sm,3,adaptativa,False,,0.9020641352831918,0.8966666666666666
j6013_1.sm,3,centralizada,False,,0.25,0.25
j6013_1.sm,4,adaptativa,False,,0.8883302373705609,0.8816666666666667
j6013_1.sm,4,centralizada,False,,0.25,0.25
j6013_1.sm,5,adaptativa,True,19.0,0.9781797111769487,0.9816666666666666
j6013_1.sm,5,centralizada,False,,0.25,0.25
j6013_1.sm,6,adaptativa,True,19.0,0.9495925182456616,0.9616666666666666
j6013_1.sm,6,centralizada,False,,0.25,0.25
j6013_1.sm,7,adaptativa,True,12.0,0.9924575728124629,0.9966666666666668
j6013_1.sm,7,centralizada,False,,0.25,0.25
j6013_1.sm,8,adaptativa,True,1.0,0.9618408140134669,0.9566666666666668
j6013_1.sm,8,centralizada,False,,0.25,0.25
j6013_1.sm,9,adaptativa,True,15.0,0.9464650556931048,0.9499999999999998
j6013_1.sm,9,centralizada,False,,0.25,0.25
j6013_1.sm,10,adaptativa,True,1.0,0.9982783927366486,1.0
j6013_1.sm,10,centralizada,False,,0.25,0.25
j6013_1.sm,11,adaptativa,True,49.0,0.9607821724399672,0.9817364771020748
j6013_1.sm,11,centralizada,False,,0.25,0.25
j6016_1.sm,0,adaptativa,True,12.0,0.9649428322802642,0.965
j6016_1.sm,0,centralizada,False,,0.25,0.25
j6016_1.sm,1,adaptativa,True,7.0,0.9471727550506056,0.9433333333333334
j6016_1.sm,1,centralizada,False,,0.25,0.25
j6016_1.sm,2,adaptativa,True,10.0,0.9063021414956594,0.8594910109655357
j6016_1.sm,2,centralizada,False,,0.25,0.25
j6016_1.sm,3,adaptativa,True,10.0,0.9323996747021712,0.9233333333333332
