arquivo,semente,cenario,t,P,bateria_media,mu_cog,mu_rede,S_PV,S_UR,concluidas,confianca_media,retrabalho_pendente
j6010_1.sm,0,centralizada,0,0.3,0.9954191521791271,0.9968987539583788,0.809149942615283,0.0,0.0,0,0.25,0
j6010_1.sm,0,centralizada,1,0.30968972128208855,0.9894194421826649,0.9926341967927258,0.7179104477611941,0.0,0.0,0,0.25,0
j6010_1.sm,0,centralizada,2,0.3193794425641771,0.9834197321862024,0.9882957902336758,0.7179104477611941,2.0,0.0,2,0.25,0
j6010_1.sm,0,centralizada,3,0.30161495354701473,0.9756829647197179,0.9826970245400558,0.7179104477611941,2.0,0.0,2,0.25,4.5
j6010_1.sm,0,centralizada,4,0.3113046748291033,0.9679461972532338,0.9772658044525558,0.7179104477611941,2.0,0.0,2,0.25,4.5
j6010_1.sm,0,centralizada,5,0.32099439611119185,0.9602094297867496,0.9718350464937368,0.7179104477611941,2.0,0.0,2,0.25,4.5
j6010_1.sm,0,centralizada,6,0.3306841173932804,0.9524726623202655,0.9666878784295575,0.7179104477611941,2.0,0.0,2,0.25,4.5
j6010_1.sm,0,centralizada,7,0.3403738386753689,0.9447358948537811,0.9616545251766805,0.7179104477611941,2.0,0.0,2,0.25,4.5
j6010_1.sm,0,centralizada,8,0.35006355995745747,0.9369991273872968,0.9569645271978638,0.7179104477611941,15.0,0.0,4,0.25,4.5
j6010_1.sm,0,centralizada,9,0.33229907094029515,0.9496066132969987,0.9643955436097121,0.7408500573847171,15.0,0.0,4,0.25,4.5
j6010_1.sm,0,centralizada,10,0.3419887922223837,0.9572740373021462,0.9694505892988611,0.7408500573847171,21.0,0.0,5,0.25,4.5
j6010_1.sm,0,centralizada,11,0.3379514083548468,0.9762110945613963,0.9831115029946491,0.809149942615283,21.0,0.0,5,0.25,4.5
j6010_1.sm,0,centralizada,12,0.3476411296369354,0.9867391336574992,0.9906553175592863,0.809149942615283,21.0,0.0,5,0.25,4.5
j6010_1.sm,0,centralizada,13,0.3573308509190239,0.9869038213046052,0.9905788817668961,0.809149942615283,21.0,0.0,5,0.25,4.5
j6010_1.sm,0,centralizada,14,0.36702057220111245,0.9858408785638554,0.9898392486084809,0.809149942615283,21.0,0.0,5,0.25,4.5
j6010_1.sm,0,centralizada,15,0.376710293483201,0.9847779358231056,0.9890997634460509,0.809149942615283,30.0,0.0,6,0.25,4.5
j6010_1.sm,0,centralizada,16,0.3726729096156641,0.9934756349406202,0.9955255610475894,0.809149942615283,30.0,0.0,6,0.25,3.5
j6010_1.sm,0,centralizada,17,0.38236263089775263,0.9973953982350294,0.9981840933845888,0.809149942615283,30.0,0.0,6,0.25,2.5
j6010_1.sm,0,centralizada,18,0.3920523521798412,0.996093097352544,0.9973691462818755,0.809149942615283,30.0,0.0,6,0.25,1.5
j6010_1.sm,0,centralizada,19,0.40174207346192975,0.9947907964700589,0.9964253654745497,0.809149942615283,30.0,0.0,6,0.25,0.5
j6010_1.sm,0,centralizada,20,0.4114317947440183,0.9934884955875735,0.9954693572087558,0.809149942615283,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,21,0.4211215160261068,1.0,1.0,0.832089552238806,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,22,0.43081123730819537,0.9949386648757211,0.9965445477449868,0.809149942615283,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,23,0.44050095859028393,0.9898773297514424,0.9927947399607153,0.809149942615283,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,24,0.4501906798723725,0.9848159946271634,0.9890997634460511,0.809149942615283,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,25,0.45988040115446105,0.9745521022451485,0.9818665330515369,0.7408500573847171,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,26,0.4695701224365496,0.9544325715567711,0.9677056120366122,0.6693572041779942,30.0,0.0,6,0.25,0.0
j6010_1.sm,0,centralizada,27,0.4792598437186381,0.9343130408683938,0.953385787066212,0.6693572041779942,31.0,0.0,7,0.25,0.0
j6010_1.sm,0,centralizada,28,0.47522245985110123,0.9167697792880193,0.9409582134435746,0.7179104477611941,31.0,0.0,7,0.25,0.0
j6010_1.sm,0,centralizada,29,0.48491218113318985,0.8975090049689761,0.9280990569846592,0.7179104477611941,31.0,0.0,7,0.25,0.0
j6010_1.sm,0,centralizada,30,0.49460190241527835,0.878248230649933,0.9157089416885098,0.7179104477611941,44.0,0.0,9,0.25,0.0
j6010_1.sm,0,centralizada,31,0.47683741339811603,0.8570878672473912,0.9020854939778574,0.6693572041779942,44.0,0.0,9,0.25,0.0
j6010_1.sm,0,centralizada,32,0.4865271346802046,0.8359275038448489,0.8898331467465693,0.6693572041779942,50.0,0.0,10,0.25,0.0
j6010_1.sm,0,centralizada,33,0.48248975081266765,0.8293701925928398,0.8886036308808555,0.7179104477611941,50.0,0.0,10,0.25,0.0
j6010_1.sm,0,centralizada,34,0.4921794720947562,0.8228128813408304,0.8892339264670793,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,35,0.48814208822721933,0.8314581273465573,0.8969367600359809,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,36,0.49783180950930783,0.8323247384060123,0.9009771600836602,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,37,0.5075215307913964,0.8309699844117393,0.9036956556789987,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,38,0.517211252073485,0.8296152304174659,0.9072822754370553,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,39,0.5269009733555735,0.8282604764231928,0.9082030328768055,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,40,0.5365906946376621,0.81893129500628,0.9018396686592033,0.7179104477611941,60.0,0.0,11,0.25,0.0
j6010_1.sm,0,centralizada,41,0.5462804159197505,0.8018428768813264,0.8949488457186042,0.7179104477611941,69.0,0.0,12,0.25,0.0
j6010_1.sm,0,centralizada,42,0.5422430320522137,0.7724980547393213,0.882568399340161,0.7179104477611941,77.0,0.0,13,0.25,5.111935614283701
j6010_1.sm,0,centralizada,43,0.5382056481846768,0.7401505694651377,0.863625620469347,0.6693572041779942,77.0,4.0,13,0.25,9.111935614283702
j6010_1.sm,0,centralizada,44,0.5478953694667653,0.7138550756015972,0.8445952888854623,0.6693572041779942,77.0,4.0,13,0.25,9.111935614283702
j6010_1.sm,0,centralizada,45,0.5575850907488539,0.7019054441368703,0.8361158340356115,0.6693572041779942,77.0,4.0,13,0.25,9.111935614283702
j6010_1.sm,0,centralizada,46,0.5672748120309425,0.6899558126721432,0.8281694489617673,0.6693572041779942,86.0,4.0,14,0.25,9.111935614283702
j6010_1.sm,0,centralizada,47,0.5632374281634056,0.6762314118182515,0.8238033517452267,0.6693572041779942,86.0,4.0,14,0.25,9.111935614283702
j6010_1.sm,0,centralizada,48,0.5729271494454942,0.6625070109643598,0.8160677506211452,0.6693572041779942,93.0,4.0,15,0.25,9.111935614283702
j6010_1.sm,0,centralizada,49,0.5688897655779572,0.6504362801212092,0.8125039985461195,0.5499999999999999,93.0,4.0,15,0.25,9.111935614283702
j6010_1.sm,0,centralizada,50,0.5785794868600458,0.6383655492780588,0.8066306344695984,0.5499999999999999,93.0,4.0,15,0.25,9.111935614283702
j6010_1.sm,0,centralizada,51,0.5882692081421343,0.6262948184349081,0.8008950438280267,0.5499999999999999,93.0,4.0,15,0.25,9.111935614283702
j6010_1.sm,0,centralizada,52,0.5979589294242229,0.6142240875917576,0.7950156787348533,0.5499999999999999,93.0,4.0,15,0.25,9.111935614283702
j6010_1.sm,0,centralizada,53,0.6076486507063115,0.602153356748607,0.789218529896261,0.5499999999999999,100.0,4.0,16,0.25,9.111935614283702
j6010_1.sm,0,centralizada,54,0.6036112668387745,0.5898587755798469,0.7859405470440533,0.5499999999999999,100.0,4.0,16,0.25,9.111935614283702
j6010_1.sm,0,centralizada,55,0.613300988120863,0.5775641944110866,0.7798689097291964,0.5499999999999999,115.0,4.0,19,0.25,9.111935614283702
j6010_1.sm,0,centralizada,56,0.5818093939540753,0.555057709348813,0.7780147940751267,0.6693572041779942,115.0,9.279082633139012,19,0.25,13.391018247422714
j6010_1.sm,0,centralizada,57,0.5914991152361638,0.5202046770679544,0.7547231944106914,0.5499999999999999,115.0,9.279082633139012,19,0.25,12.391018247422714
j6010_1.sm,0,centralizada,58,0.6011888365182524,0.5039526545098746,0.7443701906573944,0.5499999999999999,121.0,9.279082633139012,20,0.25,11.391018247422714
j6010_1.sm,0,centralizada,59,0.5971514526507155,0.49147690445986875,0.7394172490119058,0.5499999999999999,121.0,9.279082633139012,20,0.25,10.391018247422714
j6010_1.sm,0,centralizada,60,0.606841173932804,0.47900115440986274,0.7319545791131653,0.5499999999999999,121.0,9.279082633139012,20,0.25,9.391018247422714
j6010_1.sm,0,centralizada,61,0.6165308952148927,0.4665254043598568,0.7249643842537857,0.5499999999999999,121.0,9.279082633139012,20,0.25,9.279082633139012
j6010_1.sm,0,centralizada,62,0.6262206164969811,0.4640496543098509,0.725465180836748,0.6693572041779942,132.0,9.279082633139012,22,0.25,9.279082633139012
j6010_1.sm,0,centralizada,63,0.6084561274798188,0.4548948326912632,0.7253154602554964,0.6693572041779942,132.0,17.089136251372032,22,0.25,17.089136251372032
j6010_1.sm,0,centralizada,64,0.6181458487619074,0.4557400110726754,0.7268590450673047,0.6693572041779942,132.0,17.089136251372032,22,0.25,17.089136251372032
j6010_1.sm,0,centralizada,65,0.6278355700439959,0.45658518945408777,0.7236532264651676,0.6693572041779942,132.0,17.089136251372032,22,0.25,17.089136251372032
j6010_1.sm,0,centralizada,66,0.6375252913260845,0.45251077908111964,0.7199233794913984,0.6693572041779942,132.0,17.089136251372032,22,0.25,17.089136251372032
j6010_1.sm,0,centralizada,67,0.647215012608173,0.4433559574625319,0.7164279592205004,0.6693572041779942,140.0,17.089136251372032,23,0.25,17.089136251372032
j6010_1.sm,0,centralizada,68,0.6431776287406361,0.43570340158444204,0.7163136619658933,0.6693572041779942,140.0,17.089136251372032,23,0.25,17.089136251372032
j6010_1.sm,0,centralizada,69,0.6528673500227247,0.42805084570635205,0.7123103739433104,0.6693572041779942,141.0,17.089136251372032,25,0.25,17.089136251372032
j6010_1.sm,0,centralizada,70,0.6351028610055622,0.4299301486305975,0.7169821310225487,0.6693572041779942,141.0,17.089136251372032,25,0.25,17.089136251372032
j6010_1.sm,0,centralizada,71,0.6447925822876508,0.4318094515548428,0.7173104452866594,0.6693572041779942,149.0,17.089136251372032,26,0.25,17.089136251372032
j6010_1.sm,0,centralizada,72,0.6407551984201139,0.44603530169767325,0.72388778734325,0.7179104477611941,149.0,17.089136251372032,27,0.25,17.089136251372032
j6010_1.sm,0,centralizada,73,0.636717814552577,0.44956980924827866,0.7266961199048168,0.6693572041779942,149.0,17.089136251372032,27,0.25,17.089136251372032
j6010_1.sm,0,centralizada,74,0.6464075358346656,0.45310431679888397,0.7253673306617832,0.6693572041779942,149.0,17.089136251372032,27,0.25,17.089136251372032
j6010_1.sm,0,centralizada,75,0.6560972571167542,0.45663882434948927,0.7209102543640027,0.6693572041779942,149.0,11.779082633139014,28,0.25,17.089136251372032
j6010_1.sm,0,centralizada,76,0.6520598732492173,0.46017333190009463,0.7200962236133875,0.6693572041779942,153.0,11.779082633139014,29,0.25,16.089136251372032
j6010_1.sm,0,centralizada,77,0.6480224893816804,0.4627919742773449,0.7198075018161139,0.6693572041779942,156.0,11.779082633139014,30,0.25,15.08913625137203
j6010_1.sm,0,centralizada,78,0.6439851055141435,0.453398442340417,0.719093597677853,0.5499999999999999,159.0,11.779082633139014,31,0.25,14.08913625137203
j6010_1.sm,0,centralizada,79,0.6399477216466065,0.4382394939371623,0.7184547255640449,0.5499999999999999,160.0,11.779082633139014,32,0.25,13.08913625137203
j6010_1.sm,0,centralizada,80,0.6359103377790696,0.4274535994639779,0.7182764631889071,0.6693572041779942,160.0,11.779082633139014,32,0.25,12.08913625137203
j6010_1.sm,0,centralizada,81,0.6456000590611581,0.41375233570408,0.7148368698242314,0.6693572041779942,160.0,11.779082633139014,32,0.25,11.779082633139012
j6010_1.sm,0,centralizada,82,0.6552897803432467,0.40005107194418205,0.7117028504166302,0.6693572041779942,163.0,11.779082633139014,33,0.25,11.779082633139012
j6010_1.sm,0,centralizada,83,0.6512523964757098,0.39864923571657823,0.709550291051208,0.7179104477611941,163.0,11.779082633139014,33,0.25,11.779082633139012
j6010_1.sm,0,centralizada,84,0.6609421177577983,0.3972473994889743,0.7034136885658935,0.7179104477611941,163.0,11.779082633139014,33,0.25,11.779082633139012
j6010_1.sm,0,centralizada,85,0.6706318390398869,0.3958455632613705,0.6970872558678939,0.7179104477611941,171.0,11.779082633139014,34,0.25,11.779082633139012
j6010_1.sm,0,centralizada,86,0.6665944551723502,0.3923206824803065,0.6942300180309405,0.6693572041779942,171.0,13.279082633139014,34,0.25,13.279082633139012
j6010_1.sm,0,centralizada,87,0.6762841764544387,0.3887958016992424,0.6892487039549363,0.6693572041779942,177.0,13.279082633139014,35,0.25,13.279082633139012
j6010_1.sm,0,centralizada,88,0.6722467925869017,0.40353029152859365,0.7015890771975966,0.7179104477611941,177.0,13.279082633139014,35,0.25,13.279082633139012
j6010_1.sm,0,centralizada,89,0.6819365138689902,0.4182647813579449,0.7113342734259288,0.7179104477611941,177.0,13.279082633139014,35,0.25,13.279082633139012
j6010_1.sm,0,centralizada,90,0.6916262351510789,0.4329992711872961,0.7156120309360586,0.7179104477611941,184.0,8.000000000000002,37,0.25,13.279082633139012
j6010_1.sm,0,centralizada,91,0.6738617461339165,0.43731372057316104,0.7189643759751173,0.7179104477611941,189.0,9.005070957734821,38,0.25,13.284153590873832
j6010_1.sm,0,centralizada,92,0.6698243622663798,0.4318293785172133,0.7165203961247593,0.7179104477611941,189.0,9.005070957734821,38,0.25,12.284153590873832
j6010_1.sm,0,centralizada,93,0.6795140835484682,0.41614382790307825,0.7093356984924242,0.7179104477611941,189.0,9.005070957734821,38,0.25,11.284153590873832
j6010_1.sm,0,centralizada,94,0.6892038048305567,0.4004582772889432,0.7003283487432408,0.7179104477611941,189.0,9.005070957734821,39,0.25,10.284153590873832
j6010_1.sm,0,centralizada,95,0.6851664209630198,0.3721268808767411,0.6828441830523987,0.7179104477611941,194.0,9.005070957734821,40,0.25,9.284153590873832
j6010_1.sm,0,centralizada,96,0.681129037095483,0.37344606077826076,0.6856673978425607,0.7179104477611941,194.0,8.000000000000002,40,0.25,9.00507095773482
j6010_1.sm,0,centralizada,97,0.6908187583775715,0.3720782917936658,0.6829758400531293,0.7179104477611941,194.0,8.000000000000002,40,0.25,8.00507095773482
j6010_1.sm,0,centralizada,98,0.7005084796596601,0.37071052280907096,0.67946752928055,0.7179104477611941,194.0,8.000000000000002,40,0.25,8.0
j6010_1.sm,0,centralizada,99,0.7101982009417486,0.37333333333333335,0.6783840273112859,0.7179104477611941,198.0,9.530804325184864,41,0.25,9.53080432518486
j6010_1.sm,0,centralizada,100,0.7061608170742116,0.3833333333333333,0.6832871478713507,0.7179104477611941,198.0,10.287426785230245,41,0.25,10.287426785230242
j6010_1.sm,0,centralizada,101,0.7158505383563002,0.3933333333333333,0.6806689378049922,0.7179104477611941,198.0,10.287426785230245,42,0.25,10.287426785230242
j6010_1.sm,0,centralizada,102,0.7118131544887634,0.4033333333333333,0.6817125597508499,0.7179104477611941,198.0,10.287426785230245,43,0.25,10.287426785230242
j6010_1.sm,0,centralizada,103,0.7077757706212264,0.41164397485510335,0.6827461436105781,0.7179104477611941,198.0,19.57144149756624,43,0.25,19.571441497566234
j6010_1.sm,0,centralizada,104,0.717465491903315,0.4199546163768735,0.6805629480289755,0.7179104477611941,199.0,19.57144149756624,44,0.25,19.571441497566234
j6010_1.sm,0,centralizada,105,0.7134281080357782,0.42829493923920375,0.6826492237640323,0.7179104477611941,199.0,19.57144149756624,44,0.25,19.571441497566234
j6010_1.sm,0,centralizada,106,0.7231178293178666,0.4366352621015341,0.6822090263619045,0.7179104477611941,200.0,19.57144149756624,45,0.25,19.571441497566234
j6010_1.sm,0,centralizada,107,0.7190804454503297,0.4440104229625745,0.6867234032108375,0.7179104477611941,203.0,19.57144149756624,46,0.25,19.571441497566234
j6010_1.sm,0,centralizada,108,0.7150430615827928,0.4613855838236149,0.6998697157005386,0.7179104477611941,211.0,19.57144149756624,47,0.25,19.571441497566234
j6010_1.sm,0,centralizada,109,0.711005677715256,0.4587607446846553,0.6973628411229068,0.7179104477611941,211.0,21.151115007617737,47,0.25,21.15111500761773
j6010_1.sm,0,centralizada,110,0.7206953989973446,0.4661359055456957,0.6961951708645421,0.7179104477611941,211.0,21.151115007617737,47,0.25,21.15111500761773
j6010_1.sm,0,centralizada,111,0.730385120279433,0.47351106640673607,0.6942522250168763,0.7179104477611941,211.0,21.151115007617737,47,0.25,21.15111500761773
j6010_1.sm,0,centralizada,112,0.7400748415615217,0.47755289393444306,0.6912076499879171,0.7179104477611941,211.0,21.151115007617737,48,0.25,21.15111500761773
j6010_1.sm,0,centralizada,113,0.7360374576939848,0.47282320816022,0.6916320105981176,0.6693572041779942,211.0,28.728401772333918,48,0.25,28.72840177233391
j6010_1.sm,0,centralizada,114,0.7457271789760732,0.46809352238599705,0.6882081704782643,0.6693572041779942,215.0,28.728401772333918,50,0.25,28.72840177233391
j6010_1.sm,0,centralizada,115,0.7279626899589109,0.4696783765175642,0.6922558442522986,0.7179104477611941,215.0,28.728401772333918,50,0.25,28.72840177233391
j6010_1.sm,0,centralizada,116,0.7376524112409993,0.4643825576582703,0.6885405850080585,0.6693572041779942,215.0,26.228401772333918,50,0.25,27.728401772333918
j6010_1.sm,0,centralizada,117,0.7473421325230878,0.4590867387989763,0.6850884703265635,0.6693572041779942,215.0,26.228401772333918,50,0.25,26.728401772333918
j6010_1.sm,0,centralizada,118,0.7570318538051765,0.45379091993968235,0.6812385060580505,0.6693572041779942,215.0,24.64872826228242,50,0.25,26.228401772333914
j6010_1.sm,0,centralizada,119,0.7667215750872649,0.4591790199617258,0.6778348791937671,0.7179104477611941,215.0,24.64872826228242,50,0.25,26.228401772333914
j6010_1.sm,0,centralizada,120,0.7764112963693536,0.45655418082276616,0.6743673419873407,0.7179104477611941,223.0,24.64872826228242,51,0.25,26.228401772333914
j6010_1.sm,0,centralizada,121,0.7723739125018168,0.4525595244981175,0.6732504844160458,0.7179104477611941,223.0,24.64872826228242,52,0.25,25.228401772333914
j6010_1.sm,0,centralizada,122,0.7683365286342798,0.4585648681734688,0.6788768031669012,0.7179104477611941,223.0,24.64872826228242,52,0.25,24.648728262282418
j6010_1.sm,0,centralizada,123,0.7780262499163684,0.4585648681734688,0.6750094302041596,0.7179104477611941,223.0,24.64872826228242,52,0.25,24.648728262282418
j6010_1.sm,0,centralizada,124,0.7877159711984568,0.4685648681734688,0.6772921800699933,0.7179104477611941,223.0,24.64872826228242,52,0.25,24.648728262282418
j6010_1.sm,0,centralizada,125,0.7974056924805455,0.4785648681734688,0.6783930368411322,0.7179104477611941,223.0,24.64872826228242,52,0.25,24.648728262282418
j6010_1.sm,0,centralizada,126,0.807095413762634,0.47523344930663997,0.6756809907260889,0.7179104477611941,229.0,20.64872826228242,53,0.25,23.648728262282418
j6010_1.sm,0,centralizada,127,0.8030580298950971,0.4719020304398111,0.6754562605382124,0.7179104477611941,229.0,20.64872826228242,53,0.25,22.648728262282418
j6010_1.sm,0,centralizada,128,0.8127477511771857,0.4685706115729822,0.6725027217275831,0.7179104477611941,229.0,20.64872826228242,54,0.25,21.648728262282418
j6010_1.sm,0,centralizada,129,0.8087103673096487,0.4652391927061534,0.6719263595724371,0.7179104477611941,229.0,22.356356169429557,54,0.25,22.356356169429553
j6010_1.sm,0,centralizada,130,0.8184000885917373,0.4752391927061534,0.673731520126613,0.7179104477611941,231.0,20.64872826228242,55,0.25,22.356356169429553
j6010_1.sm,0,centralizada,131,0.8143627047242006,0.4952391927061534,0.6808042607934442,0.7408500573847171,231.0,20.64872826228242,55,0.25,22.356356169429553
j6010_1.sm,0,centralizada,132,0.8240524260062891,0.4952391927061534,0.6757050847533254,0.7179104477611941,231.0,19.89210580223704,56,0.25,21.599733709384175
j6010_1.sm,0,centralizada,133,0.8200150421387522,0.5,0.6764798636311791,0.7179104477611941,237.0,19.89210580223704,57,0.25,20.599733709384175
j6010_1.sm,0,centralizada,134,0.8159776582712153,0.5,0.6771612176871501,0.7179104477611941,237.0,27.623498357260566,57,0.25,27.623498357260566
j6010_1.sm,0,centralizada,135,0.8256673795533036,0.51,0.6794170561375941,0.7408500573847171,237.0,27.623498357260566,57,0.25,27.623498357260566
j6010_1.sm,0,centralizada,136,0.8353571008353924,0.5,0.6740893127668365,0.7179104477611941,237.0,20.04621159254438,57,0.25,26.623498357260566
j6010_1.sm,0,centralizada,137,0.845046822117481,0.5,0.6726345624500537,0.7179104477611941,237.0,20.04621159254438,57,0.25,25.623498357260566
j6010_1.sm,0,centralizada,138,0.8547365433995695,0.5,0.6712888361774406,0.7179104477611941,237.0,20.04621159254438,57,0.25,24.623498357260566
j6010_1.sm,0,centralizada,139,0.8644262646816581,0.5,0.6701703848314148,0.7179104477611941,237.0,20.04621159254438,57,0.25,23.623498357260566
j6010_1.sm,0,centralizada,140,0.8741159859637464,0.5,0.6690259809502842,0.7179104477611941,237.0,20.04621159254438,57,0.25,22.623498357260566
j6010_1.sm,0,centralizada,141,0.883805707245835,0.5,0.6679841296982079,0.7179104477611941,237.0,20.04621159254438,57,0.25,21.623498357260566
j6010_1.sm,0,centralizada,142,0.8934954285279235,0.5,0.6671327014523668,0.7179104477611941,237.0,12.314819037520856,57,0.25,20.623498357260566
j6010_1.sm,0,centralizada,143,0.9031851498100121,0.5,0.6662786967318891,0.7179104477611941,237.0,12.314819037520856,57,0.25,20.04621159254438
