observacao,metodo,observavel,exclusoes,n,taxa,IC95_min,IC95_max
publicada,legado,E_total,1,20,0.05,0.0012650894979560335,0.24873276277202772
publicada,legado,atraso_relativo,1,20,0.05,0.0012650894979560335,0.24873276277202772
publicada,legado,maximo,2,20,0.1,0.012348527170295887,0.3169827140190792
publicada,legado,retrabalho_sobre_plano,0,20,0.0,0.0,0.16843347098308548
publicada,legado,taxa_omissao,0,20,0.0,0.0,0.16843347098308548
publicada,pareada,E_total,1,20,0.05,0.0012650894979560335,0.24873276277202772
publicada,pareada,atraso_relativo,3,20,0.15,0.03207093718554477,0.37892682654529564
publicada,pareada,maximo,4,20,0.2,0.05733399705002387,0.4366140029966687
publicada,pareada,retrabalho_sobre_plano,0,20,0.0,0.0,0.16843347098308548
publicada,pareada,taxa_omissao,0,20,0.0,0.0,0.16843347098308548
renovada,legado,E_total,0,20,0.0,0.0,0.16843347098308548
renovada,legado,atraso_relativo,0,20,0.0,0.0,0.16843347098308548
renovada,legado,maximo,0,20,0.0,0.0,0.16843347098308548
renovada,legado,retrabalho_sobre_plano,0,20,0.0,0.0,0.16843347098308548
renovada,legado,taxa_omissao,0,20,0.0,0.0,0.16843347098308548
renovada,pareada,E_total,0,20,0.0,0.0,0.16843347098308548
renovada,pareada,atraso_relativo,1,20,0.05,0.0012650894979560335,0.24873276277202772
renovada,pareada,maximo,3,20,0.15,0.03207093718554477,0.37892682654529564
renovada,pareada,retrabalho_sobre_plano,1,20,0.05,0.0012650894979560335,0.24873276277202772
renovada,pareada,taxa_omissao,1,20,0.05,0.0012650894979560335,0.24873276277202772
