grupo,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,TL,TU,TW,TR,concluiu,divida_pendente,violacoes,makespan,tau_portao,tau_rede
sim=0,j6010_1.sm,1000,0.18,0.42,0.85,0.135,0.62,0.11666666666666667,1.588235294117647,0.24808365959449322,0.8357348882599336,12.0,3.0,484.0,80.13102204902131,True,0,0,135,,
sim=0,j6010_1.sm,1001,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.5647058823529412,0.23913477272918232,0.8356003694821096,13.0,4.0,479.0,77.2405315915259,True,0,0,133,,
sim=0,j6010_1.sm,1002,0.18,0.42,0.85,0.135,0.62,0.1,1.7058823529411764,0.21543194236320307,0.8638614006755662,7.0,3.0,505.0,69.58451738331459,True,0,0,145,,
sim=0,j6010_1.sm,1003,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.6352941176470588,0.2757568326780095,0.8213315524002164,13.0,3.0,483.0,89.06945695499707,True,0,0,139,,
sim=0,j6032_1.sm,1000,0.18,0.42,0.85,0.135,0.62,0.08333333333333333,1.6376811594202898,0.1778098503215305,0.8565318891692377,5.0,20.0,507.0,59.921919558355775,True,0,0,113,,
sim=0,j6032_1.sm,1001,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.5797101449275361,0.21185089728299164,0.85468130981096,9.0,7.0,514.0,71.39375238436818,True,0,0,109,,
sim=0,j6032_1.sm,1002,0.18,0.42,0.85,0.135,0.62,0.11666666666666667,1.681159420289855,0.21964962653586464,0.857112000910147,9.0,4.0,522.0,74.02192414258639,True,0,0,116,,
sim=0,j6032_1.sm,1003,0.18,0.42,0.85,0.135,0.62,0.2,1.6231884057971016,0.25859162856795465,0.8355748375770854,7.0,7.0,514.0,87.14537882740072,True,0,0,112,,
obs=0,j6010_1.sm,1004,0.18,0.42,0.85,0.135,0.62,0.08333333333333333,1.5647058823529412,0.19499762104518018,0.8750246388225372,5.0,2.0,490.0,62.984231597593194,True,0,0,133,,
obs=0,j6010_1.sm,1005,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.6823529411764706,0.2119102679409344,0.8554897433807589,12.0,3.0,494.0,68.44701654492181,True,0,0,143,,
obs=0,j6010_1.sm,1006,0.18,0.42,0.85,0.135,0.62,0.16666666666666666,1.6235294117647059,0.23627251438515792,0.8501429455212732,7.0,2.0,484.0,76.31602214640601,True,0,0,138,,
obs=0,j6010_1.sm,1007,0.18,0.42,0.85,0.135,0.62,0.03333333333333333,1.6588235294117648,0.19998012665763845,0.8525530051483975,11.0,5.0,466.0,64.59358091041722,True,0,0,141,,
obs=0,j6010_1.sm,1008,0.18,0.42,0.85,0.135,0.62,0.08333333333333333,1.4352941176470588,0.2134763985152433,0.8430319971705678,9.0,9.0,467.0,68.95287672042359,True,0,0,122,,
obs=0,j6010_1.sm,1009,0.18,0.42,0.85,0.135,0.62,0.1,1.6588235294117648,0.24096354649308221,0.8356980913437408,8.0,5.0,462.0,77.83122551726555,True,0,0,141,,
obs=0,j6010_1.sm,1010,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.5647058823529412,0.16198326591624856,0.8644921069339389,11.0,8.0,455.0,52.320594890948286,True,0,0,133,,
obs=0,j6010_1.sm,1011,0.18,0.42,0.85,0.135,0.62,0.016666666666666666,1.588235294117647,0.17307730544207198,0.8673307211877904,6.0,8.0,457.0,55.90396965778925,True,0,0,135,,
obs=0,j6010_1.sm,1012,0.18,0.42,0.85,0.135,0.62,0.16666666666666666,1.5647058823529412,0.23454789570632129,0.8351516631702163,15.0,3.0,475.0,75.75897031314177,True,0,0,133,,
obs=0,j6010_1.sm,1013,0.18,0.42,0.85,0.135,0.62,0.11666666666666667,1.6,0.18784402971579675,0.8700796652365518,8.0,3.0,480.0,60.67362159820235,True,0,0,136,,
obs=0,j6032_1.sm,1004,0.18,0.42,0.85,0.135,0.62,0.06666666666666667,1.6376811594202898,0.19320648704664198,0.8627167148714807,4.0,13.0,516.0,65.11058613471835,True,0,0,113,,
