grupo,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,TL,TU,TW,TR,concluiu,divida_pendente,violacoes,makespan,tau_portao,tau_rede
gate=0.25;rede=0.25,j6010_1.sm,0,0.1,0.5,1.0,0.1,0.55,0.15,2.5176470588235293,0.17096889040681953,0.7928507567632851,0.0,118.0,663.0,55.222951601402706,True,0,0,214,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,1,0.1,0.5,1.0,0.1,0.55,0.16666666666666666,2.764705882352941,0.17962348631706626,0.7912961500915328,0.0,91.0,565.0,58.018386080412405,True,0,0,235,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,2,0.1,0.5,1.0,0.1,0.55,0.21666666666666667,4.1647058823529415,0.21171820631272342,0.7981596141656981,0.0,97.0,654.0,68.38498063900967,True,0,0,354,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,3,0.1,0.5,1.0,0.1,0.55,0.11666666666666667,2.2823529411764705,0.13578001651938848,0.7840002016739748,0.0,122.0,602.0,43.856945335762475,True,0,0,194,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,4,0.1,0.5,1.0,0.1,0.55,0.3,2.8705882352941177,0.32287893348658386,0.7494349965596603,0.0,103.0,620.0,104.2898955161666,True,0,0,244,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,5,0.1,0.5,1.0,0.1,0.55,0.31666666666666665,2.4352941176470586,0.21820208200601457,0.7799547378210466,0.0,94.0,583.0,70.47927248794271,True,0,0,207,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,6,0.1,0.5,1.0,0.1,0.55,0.13333333333333333,2.2470588235294118,0.1525117385878167,0.8262657232208831,0.0,79.0,610.0,49.26129156386479,True,0,0,191,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,7,0.1,0.5,1.0,0.1,0.55,0.16666666666666666,2.7058823529411766,0.13055947331898385,0.7525106970268436,0.0,167.0,636.0,42.17070988203179,True,0,0,230,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,8,0.1,0.5,1.0,0.1,0.55,0.15,2.2588235294117647,0.23307074245963497,0.6872947945865095,0.0,220.0,649.0,75.28184981446209,True,0,0,192,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,9,0.1,0.5,1.0,0.1,0.55,0.16666666666666666,2.6705882352941175,0.15361356842052806,0.8484306750700897,0.0,59.0,608.0,49.617182599830564,True,0,0,227,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,10,0.1,0.5,1.0,0.1,0.55,0.25,2.5058823529411764,0.2547797156426407,0.7097652382341401,0.0,188.0,661.0,82.29384815257293,True,0,0,213,0.25,0.25
gate=0.25;rede=0.25,j6010_1.sm,11,0.1,0.5,1.0,0.1,0.55,0.2,2.4705882352941178,0.17427541077416236,0.7826528377443965,0.0,107.0,588.0,56.29095768005445,True,0,0,210,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,0,0.1,0.5,1.0,0.1,0.55,0.23333333333333334,2.6375,0.19687306292170467,0.7346508285347714,0.0,168.0,645.0,64.96811076416255,True,0,0,211,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,1,0.1,0.5,1.0,0.1,0.55,0.2,4.0,0.1669256736340072,0.8057594812294137,0.0,91.0,606.0,55.085472299222374,True,0,0,320,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,2,0.1,0.5,1.0,0.1,0.55,0.25,3.125,0.20137748628051083,0.802569666070234,0.0,90.0,636.0,66.45457047256858,True,0,0,250,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,3,0.1,0.5,1.0,0.1,0.55,0.26666666666666666,2.4375,0.22709761934975078,0.7500501644788449,0.0,141.0,648.0,74.94221438541776,True,0,0,195,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,4,0.1,0.5,1.0,0.1,0.55,0.18333333333333332,2.3,0.13861222837578627,0.7858742116381725,0.0,130.0,645.0,45.74203536400947,True,0,0,184,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,5,0.1,0.5,1.0,0.1,0.55,0.25,2.3,0.21855977394200576,0.7323052628979605,0.0,160.0,635.0,72.1247254008619,True,0,0,184,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,6,0.1,0.5,1.0,0.1,0.55,0.18333333333333332,2.0375,0.10540199195644685,0.8651806764533512,0.0,57.0,589.0,34.78265734562746,True,0,0,163,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,7,0.1,0.5,1.0,0.1,0.55,0.23333333333333334,2.9875,0.24708345941027868,0.7117172274987903,0.0,170.0,621.0,81.53754160539197,True,0,0,239,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,8,0.1,0.5,1.0,0.1,0.55,0.23333333333333334,2.9375,0.22677496632667238,0.6363764397573037,0.0,312.0,677.0,74.83573888780188,True,0,0,235,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,9,0.1,0.5,1.0,0.1,0.55,0.21666666666666667,2.4875,0.22787498862417663,0.7182452898502779,0.0,179.0,648.0,75.19874624597828,True,0,0,199,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,10,0.1,0.5,1.0,0.1,0.55,0.15,2.375,0.08403255207001852,0.7852311641982408,0.0,164.0,701.0,27.73074218310611,True,0,0,190,0.25,0.25
gate=0.25;rede=0.25,j6024_9.sm,11,0.1,0.5,1.0,0.1,0.55,0.26666666666666666,3.0125,0.21442360533435223,0.7868548113419356,0.0,98.0,623.0,70.75978976033623,True,0,0,241,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,0,0.1,0.5,1.0,0.1,0.55,0.16666666666666666,2.6944444444444446,0.08762099407148585,0.7754300412728362,0.0,165.0,672.0,29.615895996162216,True,0,0,194,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,1,0.1,0.5,1.0,0.1,0.55,0.25,2.8194444444444446,0.1822320469742797,0.7980620445377989,0.0,113.0,690.0,61.59443187730653,True,0,0,203,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,2,0.1,0.5,1.0,0.1,0.55,0.26666666666666666,4.152777777777778,0.17090305108561146,0.8382782840867602,0.0,74.0,683.0,57.765231266936674,True,0,0,299,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,3,0.1,0.5,1.0,0.1,0.55,0.13333333333333333,2.5833333333333335,0.10182431626942152,0.7726224926552796,0.0,171.0,698.0,34.416618899064474,True,0,0,186,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,4,0.1,0.5,1.0,0.1,0.55,0.15,2.6666666666666665,0.17736354592663947,0.7674339482138869,0.0,154.0,706.0,59.948878523204144,True,0,0,192,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,5,0.1,0.5,1.0,0.1,0.55,0.25,2.3333333333333335,0.18843266252078342,0.797644244071488,0.0,104.0,661.0,63.690239932024795,True,0,0,168,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,6,0.1,0.5,1.0,0.1,0.55,0.25,2.9444444444444446,0.16666939973125844,0.8304575929869744,0.0,78.0,658.0,56.33425710916535,True,0,0,212,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,7,0.1,0.5,1.0,0.1,0.55,0.18333333333333332,4.291666666666667,0.11177664876200032,0.7896189116744382,0.0,137.0,656.0,37.780507281556105,True,0,0,309,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,8,0.1,0.5,1.0,0.1,0.55,0.16666666666666666,2.9444444444444446,0.14683429381726507,0.732270946613509,0.0,218.0,732.0,49.629991310235596,True,0,0,212,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,9,0.1,0.5,1.0,0.1,0.55,0.21666666666666667,3.236111111111111,0.15722877969238114,0.7554595109929942,0.0,166.0,677.0,53.14332753602482,True,0,0,233,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,10,0.1,0.5,1.0,0.1,0.55,0.21666666666666667,3.1666666666666665,0.23374907191098027,0.7416121011327157,0.0,183.0,752.0,79.00718630591133,True,0,0,228,0.25,0.25
gate=0.25;rede=0.25,j6039_9.sm,11,0.1,0.5,1.0,0.1,0.55,0.21666666666666667,2.4722222222222223,0.15348199059563009,0.8258290699367531,0.0,85.0,649.0,51.87691282132297,True,0,0,178,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,0,0.1,0.5,1.0,0.1,0.55,0.2,3.3125,0.15950971468365618,0.819871366560822,0.0,102.0,722.0,56.62594871269795,True,0,0,265,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,1,0.1,0.5,1.0,0.1,0.55,0.2,5.075,0.21073212769630717,0.8178157434664441,0.0,74.0,668.0,74.80990533218905,True,0,0,406,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,2,0.1,0.5,1.0,0.1,0.55,0.2,4.325,0.14043720421648037,0.874366711238616,0.0,49.0,688.0,49.85520749685053,True,0,0,346,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,3,0.1,0.5,1.0,0.1,0.55,0.2,3.475,0.20052013748992079,0.7970312693769651,0.0,103.0,684.0,71.18464880892188,True,0,0,278,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,4,0.1,0.5,1.0,0.1,0.55,0.18333333333333332,3.2625,0.15571241509793418,0.7320990197890489,0.0,206.0,714.0,55.27790735976664,True,0,0,261,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,5,0.1,0.5,1.0,0.1,0.55,0.23333333333333334,3.125,0.20307602180592746,0.8054697993664682,0.0,96.0,696.0,72.09198774110425,True,0,0,250,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,6,0.1,0.5,1.0,0.1,0.55,0.18333333333333332,3.0625,0.2272512863424307,0.8210198348990915,0.0,68.0,682.0,80.6742066515629,True,0,0,245,0.25,0.25
gate=0.25;rede=0.25,j609_9.sm,7,0.1,0.5,1.0,0.1,0.55,0.13333333333333333,3.2875,0.12506946169723698,0.8201561007236015,0.0,108.0,695.0,44.39965890251913,True,0,0,263,0.25,0.25
