ponto,alternativa,variancia,I,aceito
1,K8_real,legado,2.339064329004837,True
1,K8_real,pareada,2.1251224874018773,True
1,K64_aproximado,legado,4.21223611408615,False
1,K64_aproximado,pareada,4.161847469249862,False
1,K64_real,legado,6.164636773661332,False
1,K64_real,pareada,6.151746492717774,False
159,K8_real,legado,1.6424620689746936,True
159,K8_real,pareada,1.771471574368827,True
159,K64_aproximado,legado,3.4621313176739767,False
159,K64_aproximado,pareada,3.6055061824287864,False
159,K64_real,legado,6.012786066926132,False
159,K64_real,pareada,6.26143975416732,False
274,K8_real,legado,2.461054875370258,True
274,K8_real,pareada,2.3598690974929815,True
274,K64_aproximado,legado,4.099571293322334,False
274,K64_aproximado,pareada,4.038678515371637,False
274,K64_real,legado,3.61652391590842,False
274,K64_real,pareada,3.7270089898615413,False
379,K8_real,legado,1.9097156330828733,True
379,K8_real,pareada,2.719840460103281,True
379,K64_aproximado,legado,3.6864120253448185,False
379,K64_aproximado,pareada,4.217929764013069,False
379,K64_real,legado,5.552301443193303,False
379,K64_real,pareada,5.205932757651353,False
201,K8_real,legado,3.0899906895048823,False
201,K8_real,pareada,2.25389409409844,True
201,K64_aproximado,legado,5.142830761081313,False
201,K64_aproximado,pareada,4.502702585224617,False
201,K64_real,legado,5.681839145848372,False
201,K64_real,pareada,5.447668405477714,False
366,K8_real,legado,3.1081182930376676,False
366,K8_real,pareada,3.724340799459827,False
366,K64_aproximado,legado,5.414608700671874,False
366,K64_aproximado,pareada,5.208607091799452,False
366,K64_real,legado,5.976779742027502,False
366,K64_real,pareada,5.811820633901271,False
347,K8_real,legado,3.115480746776937,False
347,K8_real,pareada,3.070996699538284,False
347,K64_aproximado,legado,5.267003632846217,False
347,K64_aproximado,pareada,5.0906086526446765,False
347,K64_real,legado,4.795610458491015,False
347,K64_real,pareada,4.761352475224414,False
59,K8_real,legado,3.2691742076555026,False
59,K8_real,pareada,5.311116260296016,False
59,K64_aproximado,legado,5.869644304846027,False
59,K64_aproximado,pareada,7.000083549609127,False
59,K64_real,legado,7.5567347905004985,False
59,K64_real,pareada,7.656131807815866,False
