grupo,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,TL,TU,TW,TR,concluiu,divida_pendente,violacoes,makespan,tau_portao,tau_rede
F=0.12,j6010_1.sm,0,0.12,0.63,0.85,0.135,0.62,0.05,1.576470588235294,0.19251920502761855,0.8557985001042514,10.0,6.0,464.0,62.18370322392079,True,0,0,134,,
F=0.12,j6010_1.sm,1,0.12,0.63,0.85,0.135,0.62,0.05,1.611764705882353,0.19187112840746728,0.872112339344182,6.0,3.0,484.0,61.97437447561193,True,0,0,137,,
F=0.12,j6010_1.sm,2,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.576470588235294,0.26771925574160965,0.8198814182079515,10.0,7.0,471.0,86.47331960453991,True,0,0,134,,
F=0.12,j6010_1.sm,3,0.12,0.63,0.85,0.135,0.62,0.03333333333333333,1.6941176470588235,0.19483781186031066,0.865486577524783,11.0,3.0,495.0,62.93261323088034,True,0,0,144,,
F=0.12,j6010_1.sm,4,0.12,0.63,0.85,0.135,0.62,0.06666666666666667,1.6470588235294117,0.16335732522219618,0.8722120562531905,15.0,3.0,483.0,52.76441604676936,True,0,0,140,,
F=0.12,j6010_1.sm,5,0.12,0.63,0.85,0.135,0.62,0.05,1.5176470588235293,0.17569864132949264,0.8494760134050409,9.0,17.0,467.0,56.75066114942612,True,0,0,129,,
F=0.12,j6010_1.sm,6,0.12,0.63,0.85,0.135,0.62,0.1,1.6352941176470588,0.2794947223491737,0.832084927841271,5.0,3.0,487.0,90.27679531878312,True,0,0,139,,
F=0.12,j6010_1.sm,7,0.12,0.63,0.85,0.135,0.62,0.05,1.6705882352941177,0.1764820808136589,0.8711927836186373,10.0,5.0,487.0,57.003712102811825,True,0,0,142,,
F=0.12,j6010_1.sm,8,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.7176470588235293,0.23335291479976877,0.8345167222893421,17.0,4.0,486.0,75.37299148032531,True,0,0,146,,
F=0.12,j6010_1.sm,9,0.12,0.63,0.85,0.135,0.62,0.05,1.611764705882353,0.23302597446694662,0.840873296467551,9.0,6.0,477.0,75.26738975282376,True,0,0,137,,
F=0.12,j6010_1.sm,10,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.5647058823529412,0.24573767894377696,0.8235062884348768,17.0,5.0,473.0,79.37327029883996,True,0,0,133,,
F=0.12,j6010_1.sm,11,0.12,0.63,0.85,0.135,0.62,0.13333333333333333,1.611764705882353,0.2889213029094555,0.8305739712497372,3.0,2.0,482.0,93.32158083975413,True,0,0,137,,
F=0.12,j6010_1.sm,12,0.12,0.63,0.85,0.135,0.62,0.1,1.6,0.22820870901315196,0.8503533470376071,5.0,4.0,470.0,73.71141301124808,True,0,0,136,,
F=0.12,j6010_1.sm,13,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.5411764705882354,0.13097820423805262,0.8887923594511685,8.0,7.0,458.0,42.305959968890996,True,0,0,131,,
F=0.12,j6010_1.sm,14,0.12,0.63,0.85,0.135,0.62,0.03333333333333333,1.6235294117647059,0.20971147124337872,0.8512702629767118,9.0,8.0,485.0,67.73680521161133,True,0,0,138,,
F=0.12,j6010_1.sm,15,0.12,0.63,0.85,0.135,0.62,0.06666666666666667,1.8823529411764706,0.20474768462120504,0.868678373399589,7.0,2.0,497.0,66.13350213264923,True,0,0,160,,
F=0.12,j6010_1.sm,16,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.6470588235294117,0.2402395524065606,0.8443401946355251,6.0,6.0,486.0,77.59737542731908,True,0,0,140,,
F=0.12,j6010_1.sm,17,0.12,0.63,0.85,0.135,0.62,0.05,1.588235294117647,0.20750580099018873,0.8588911886192917,8.0,4.0,481.0,67.02437371983096,True,0,0,135,,
F=0.12,j6010_1.sm,18,0.12,0.63,0.85,0.135,0.62,0.03333333333333333,1.7294117647058824,0.23554604941271756,0.8504767289310989,9.0,3.0,501.0,76.08137396030777,True,0,0,147,,
F=0.12,j6010_1.sm,19,0.12,0.63,0.85,0.135,0.62,0.1,1.6941176470588235,0.3611479030270484,0.796383362662364,11.0,3.0,511.0,116.65077267773664,True,0,0,144,,
F=0.12,j6010_1.sm,20,0.12,0.63,0.85,0.135,0.62,0.06666666666666667,1.611764705882353,0.1499267341313022,0.8865076140339848,7.0,5.0,472.0,48.42633512441061,True,0,0,137,,
F=0.12,j6010_1.sm,21,0.12,0.63,0.85,0.135,0.62,0.05,1.6705882352941177,0.30632128575638207,0.8077065148757427,14.0,3.0,487.0,98.94177529931142,True,0,0,142,,
F=0.12,j6010_1.sm,22,0.12,0.63,0.85,0.135,0.62,0.1,1.6,0.2913837888851268,0.797766304341343,15.0,8.0,462.0,94.11696380989595,True,0,0,136,,
F=0.12,j6010_1.sm,23,0.12,0.63,0.85,0.135,0.62,0.06666666666666667,1.5058823529411764,0.2016564921192693,0.8484421990359109,13.0,6.0,471.0,65.13504695452399,True,0,0,128,,
F=0.12,j6010_1.sm,24,0.12,0.63,0.85,0.135,0.62,0.05,1.5529411764705883,0.2193362366255243,0.8443196401649965,7.0,9.0,471.0,70.84560443004435,True,0,0,132,,
F=0.12,j6010_1.sm,25,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.6470588235294117,0.18645491059562258,0.8628174056113238,15.0,3.0,492.0,60.2249361223861,True,0,0,140,,
F=0.12,j6010_1.sm,26,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.611764705882353,0.241021400570961,0.830008109819352,14.0,4.0,468.0,77.8499123844204,True,0,0,137,,
F=0.12,j6010_1.sm,27,0.12,0.63,0.85,0.135,0.62,0.03333333333333333,1.5294117647058822,0.1417452320120432,0.8865118476296244,6.0,8.0,467.0,45.78370993988995,True,0,0,130,,
F=0.12,j6010_1.sm,28,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.5294117647058822,0.16096156845408802,0.8731496628688797,11.0,5.0,468.0,51.990586610670434,True,0,0,130,,
F=0.12,j6010_1.sm,29,0.12,0.63,0.85,0.135,0.62,0.11666666666666667,1.6235294117647059,0.2271786033824155,0.8473411212049371,7.0,7.0,485.0,73.3786888925202,True,0,0,138,,
F=0.12,j6010_1.sm,30,0.12,0.63,0.85,0.135,0.62,0.05,1.5176470588235293,0.2626436412770002,0.8254145184332627,12.0,3.0,472.0,84.83389613247105,True,0,0,129,,
F=0.12,j6010_1.sm,31,0.12,0.63,0.85,0.135,0.62,0.08333333333333333,1.6235294117647059,0.159576790995748,0.8634319658878897,10.0,9.0,446.0,51.5433034916266,True,0,0,138,,
F=0.12,j6032_1.sm,0,0.12,0.63,0.85,0.135,0.62,0.15,1.5507246376811594,0.16059199794335177,0.8754871646642626,7.0,8.0,486.0,54.11950330690954,True,0,0,107,,
