alternativa,nroy,parametro,reducao
legado,40,risco.F_ancora,0.33959401678013657
legado,40,retrabalho.f_retrabalho,0.02906714351644135
legado,40,agentes.tau_sat,0.10577486157413374
legado,40,agentes.k_heuristico,0.0241622494633581
legado,40,fuzzy.mu_minimo,0.6897204305478437
so_Vsim_div8,13,risco.F_ancora,0.47081319919310005
so_Vsim_div8,13,retrabalho.f_retrabalho,0.35516207953086154
so_Vsim_div8,13,agentes.tau_sat,0.19514145729895516
so_Vsim_div8,13,agentes.k_heuristico,0.12719536127974396
so_Vsim_div8,13,fuzzy.mu_minimo,0.8684095058748637
so_Vobs_div8,30,risco.F_ancora,0.33959401678013657
so_Vobs_div8,30,retrabalho.f_retrabalho,0.10395686895487777
so_Vobs_div8,30,agentes.tau_sat,0.10577486157413374
so_Vobs_div8,30,agentes.k_heuristico,0.0241622494633581
so_Vobs_div8,30,fuzzy.mu_minimo,0.7180043232013106
ambas_div8,4,risco.F_ancora,0.601118270242486
ambas_div8,4,retrabalho.f_retrabalho,0.42284290543032765
ambas_div8,4,agentes.tau_sat,0.19514145729895516
ambas_div8,4,agentes.k_heuristico,0.32284370709562404
ambas_div8,4,fuzzy.mu_minimo,0.9533045076780905
