grupo,instancia,semente,risco.F_ancora,retrabalho.f_retrabalho,agentes.tau_sat,agentes.k_heuristico,fuzzy.mu_minimo,taxa_omissao,atraso_relativo,retrabalho_sobre_plano,E_total,TL,TU,TW,TR,concluiu,divida_pendente,violacoes,makespan,tau_portao,tau_rede
vertice=0,j6010_1.sm,0,0.05,0.3,0.7,0.06,0.4,0.016666666666666666,2.235294117647059,0.08995647522370878,0.9312759797618281,10.0,5.0,597.0,29.055941497257937,True,0,0,190,,
vertice=0,j6010_1.sm,1,0.05,0.3,0.7,0.06,0.4,0.016666666666666666,2.2588235294117647,0.02717042897798508,0.9666408585181242,8.0,5.0,631.0,8.77604855988918,True,0,0,192,,
vertice=0,j6032_1.sm,0,0.05,0.3,0.7,0.06,0.4,0.05,2.4057971014492754,0.07865800868779031,0.9471473720714538,6.0,7.0,708.0,26.507748927785336,True,0,0,166,,
vertice=0,j6032_1.sm,1,0.05,0.3,0.7,0.06,0.4,0.016666666666666666,2.260869565217391,0.022070296928434048,0.9418367519816244,4.0,30.0,671.0,7.437690064882274,True,0,0,156,,
vertice=1,j6010_1.sm,0,0.05,0.3,0.7,0.06,0.7,0.0,1.4588235294117646,0.046740104387174956,0.9299339442229153,11.0,6.0,426.0,15.097053717057511,True,0,0,124,,
vertice=1,j6010_1.sm,1,0.05,0.3,0.7,0.06,0.7,0.016666666666666666,1.5529411764705883,0.05473140402737222,0.9336942163765575,8.0,5.0,432.0,17.678243500841226,True,0,0,132,,
vertice=1,j6032_1.sm,0,0.05,0.3,0.7,0.06,0.7,0.03333333333333333,1.434782608695652,0.04868335527774501,0.9372297773365708,6.0,8.0,454.0,16.40629072860007,True,0,0,99,,
vertice=1,j6032_1.sm,1,0.05,0.3,0.7,0.06,0.7,0.05,1.5217391304347827,0.04423145571024166,0.9143432090548839,4.0,24.0,458.0,14.90600057435144,True,0,0,105,,
vertice=2,j6010_1.sm,0,0.05,0.3,0.7,0.16,0.4,0.05,2.4,0.06890220865372922,0.9477026609607029,10.0,4.0,657.0,22.255413395154537,True,0,0,204,,
vertice=2,j6010_1.sm,1,0.05,0.3,0.7,0.16,0.4,0.016666666666666666,2.5058823529411764,0.04972715118418651,0.9599732873464392,8.0,5.0,697.0,16.061869832492242,True,0,0,213,,
vertice=2,j6032_1.sm,0,0.05,0.3,0.7,0.16,0.4,0.05,2.5217391304347827,0.0751752392347361,0.954544592005619,6.0,5.0,763.0,25.334055622106064,True,0,0,174,,
vertice=2,j6032_1.sm,1,0.05,0.3,0.7,0.16,0.4,0.06666666666666667,2.5652173913043477,0.11957984597075451,0.9252387770249341,3.0,19.0,771.0,40.29840809214427,True,0,0,177,,
vertice=3,j6010_1.sm,0,0.05,0.3,0.7,0.16,0.7,0.0,1.5294117647058822,0.050612147913101146,0.9295492043145063,11.0,6.0,440.0,16.34772377593167,True,0,0,130,,
vertice=3,j6010_1.sm,1,0.05,0.3,0.7,0.16,0.7,0.016666666666666666,1.388235294117647,0.058529879148183916,0.9326760831784482,8.0,5.0,442.0,18.905150964863406,True,0,0,118,,
vertice=3,j6032_1.sm,0,0.05,0.3,0.7,0.16,0.7,0.016666666666666666,1.5072463768115942,0.023228885187381518,0.9550702547532939,6.0,8.0,464.0,7.828134308147572,True,0,0,104,,
vertice=3,j6032_1.sm,1,0.05,0.3,0.7,0.16,0.7,0.03333333333333333,1.565217391304348,0.04171992827786433,0.9225241836662041,2.0,24.0,477.0,14.05961582964028,True,0,0,108,,
vertice=4,j6010_1.sm,0,0.05,0.3,1.4,0.06,0.4,0.016666666666666666,1.9058823529411764,0.07359028824962445,0.9345957367292167,10.0,5.0,554.0,23.769663104628698,True,0,0,162,,
vertice=4,j6010_1.sm,1,0.05,0.3,1.4,0.06,0.4,0.016666666666666666,2.2588235294117647,0.032570987260879994,0.9591702293792915,15.0,3.0,670.0,10.520428885264238,True,0,0,192,,
vertice=4,j6032_1.sm,0,0.05,0.3,1.4,0.06,0.4,0.06666666666666667,2.347826086956522,0.08028361150436795,0.9442978543900435,7.0,7.0,696.0,27.055577076972,True,0,0,162,,
vertice=4,j6032_1.sm,1,0.05,0.3,1.4,0.06,0.4,0.08333333333333333,2.3043478260869565,0.06039193268991586,0.9477030442899232,6.0,12.0,695.0,20.352081316501646,True,0,0,159,,
vertice=5,j6010_1.sm,0,0.05,0.3,1.4,0.06,0.7,0.016666666666666666,1.4705882352941178,0.060754749957627995,0.920834627435398,11.0,6.0,426.0,19.623784236313842,True,0,0,125,,
vertice=5,j6010_1.sm,1,0.05,0.3,1.4,0.06,0.7,0.016666666666666666,1.4823529411764707,0.04271463783263511,0.9335901447980837,15.0,3.0,447.0,13.796828019941142,True,0,0,126,,
vertice=5,j6032_1.sm,0,0.05,0.3,1.4,0.06,0.7,0.03333333333333333,1.4202898550724639,0.053692582931847,0.9357678989485225,8.0,5.0,453.0,18.094400448032438,True,0,0,98,,
vertice=5,j6032_1.sm,1,0.05,0.3,1.4,0.06,0.7,0.05,1.4492753623188406,0.027596439169139467,0.9550917141049968,6.0,6.0,453.0,9.3,True,0,0,100,,
vertice=6,j6010_1.sm,0,0.05,0.3,1.4,0.16,0.4,0.016666666666666666,1.9058823529411764,0.07359028824962445,0.9345957367292167,10.0,5.0,554.0,23.769663104628698,True,0,0,162,,
