arquivo,semente,cenario,lei,concluiu,makespan,makespan_cpm,E_total,S_UR_final,S_UR_maximo,S_PV_final,TW,TL,TU,TR,n_limpas,n_com_erro,n_reportadas,n_adiamentos,taxa_omissao,E_plano,retrabalho_sobre_plano,divida_latente_sobre_plano,retrabalho_sobre_esforco_realizado,N_req,N_success,N_fail,N_blocked,violacoes
j6010_1.sm,0,centralizada,unitario,True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,323.0,0.2163761100468743,0.08894242034778303,0.09628116280705729,0,0,0,99,0
j6010_1.sm,0,centralizada,crowder_eq3,True,205,85,0.7370267955765616,8.881784197001252e-16,28.728401772333918,246.0,535.0,0.0,121.0,69.8894835451404,46,14,2,0,0.23333333333333334,323.0,0.2163761100468743,0.08894242034778303,0.09628116280705729,0,0,0,99,0
j6010_1.sm,0,adaptativa,unitario,True,122,85,0.7193397638598709,0.0,7.61935030585853,300.0,382.0,80.0,32.0,37.04251869831918,56,4,6,0,0.06666666666666667,323.0,0.11468272042823274,0.02358931983237935,0.0697543367885439,104,80,24,0,0
j6010_1.sm,0,adaptativa,crowder_eq3,True,122,85,0.8330621258086366,0.0,7.61935030585853,300.0,382.0,7.506715705057797,32.0,37.04251869831918,56,4,6,0,0.06666666666666667,323.0,0.11468272042823274,0.02358931983237935,0.08078198788515169,104,80,24,0,0
j6010_1.sm,1,centralizada,unitario,True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,323.0,0.22776083727179905,0.080676008929519,0.11204763322179441,0,0,0,58,0
j6010_1.sm,1,centralizada,crowder_eq3,True,258,85,0.7889525317171706,8.881784197001252e-16,26.058350884234635,240.0,518.0,0.0,65.0,73.56675043879109,46,14,3,0,0.23333333333333334,323.0,0.22776083727179905,0.080676008929519,0.11204763322179441,0,0,0,58,0
j6010_1.sm,1,adaptativa,unitario,True,123,85,0.6852080146252651,0.0,6.190084017686869,315.0,359.0,93.0,39.0,32.92848936002933,59,1,9,0,0.016666666666666666,323.0,0.10194578749235088,0.019164346803984114,0.06284920562394113,111,93,18,0,0
j6010_1.sm,1,adaptativa,crowder_eq3,True,123,85,0.8169962012471552,0.0,6.190084017686869,315.0,359.0,8.486038457825702,39.0,32.92848936002933,59,1,9,0,0.016666666666666666,323.0,0.10194578749235088,0.019164346803984114,0.07493718863496193,111,93,18,0,0
j6010_1.sm,2,centralizada,unitario,True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,323.0,0.263177118177048,0.12674635278409738,0.12006421422588559,0,0,0,90,0
j6010_1.sm,2,centralizada,crowder_eq3,True,202,85,0.7415189205961639,0.0,40.93907194926345,214.0,525.0,0.0,98.0,85.0062091711865,41,19,3,0,0.31666666666666665,323.0,0.263177118177048,0.12674635278409738,0.12006421422588559,0,0,0,90,0
j6010_1.sm,2,adaptativa,unitario,True,137,85,0.7081461578716822,0.0,4.021882301250375,298.0,420.0,57.0,52.0,64.09790123313071,55,5,12,0,0.08333333333333333,323.0,0.19844551465365545,0.012451647991487227,0.1080730535378097,101,57,44,0,0
j6010_1.sm,2,adaptativa,crowder_eq3,True,137,85,0.7732862979186401,0.0,4.021882301250375,298.0,420.0,7.038581503551001,52.0,64.09790123313071,55,5,12,0,0.08333333333333333,323.0,0.19844551465365545,0.012451647991487227,0.11801435416410068,101,57,44,0,0
j6010_1.sm,3,centralizada,unitario,True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,323.0,0.2314813573031632,0.05040944109350287,0.09256176789195182,0,0,0,204,0
j6010_1.sm,3,centralizada,crowder_eq3,True,222,85,0.6511766849779445,0.0,16.28224947320143,262.0,526.0,0.0,207.0,74.76847840892171,47,13,5,0,0.21666666666666667,323.0,0.2314813573031632,0.05040944109350287,0.09256176789195182,0,0,0,204,0
j6010_1.sm,3,adaptativa,unitario,True,149,85,0.6449360781624025,8.881784197001252e-16,5.085930124891899,303.0,406.0,112.0,57.0,54.51975203000572,55,5,14,0,0.08333333333333333,323.0,0.1687918019504821,0.015745913699355723,0.086605308021228,166,112,54,0,0
