grupo,conjunto,arquivo,posicao,atributo,tipo_declarado
promise,cm1,cm1.arff,1,loc,numeric
promise,cm1,cm1.arff,2,v(g),numeric
promise,cm1,cm1.arff,3,ev(g),numeric
promise,cm1,cm1.arff,4,iv(g),numeric
promise,cm1,cm1.arff,5,n,numeric
promise,cm1,cm1.arff,6,v,numeric
promise,cm1,cm1.arff,7,l,numeric
promise,cm1,cm1.arff,8,d,numeric
promise,cm1,cm1.arff,9,i,numeric
promise,cm1,cm1.arff,10,e,numeric
promise,cm1,cm1.arff,11,b,numeric
promise,cm1,cm1.arff,12,t,numeric
promise,cm1,cm1.arff,13,lOCode,numeric
promise,cm1,cm1.arff,14,lOComment,numeric
promise,cm1,cm1.arff,15,lOBlank,numeric
promise,cm1,cm1.arff,16,locCodeAndComment,numeric
promise,cm1,cm1.arff,17,uniq_Op,numeric
promise,cm1,cm1.arff,18,uniq_Opnd,numeric
promise,cm1,cm1.arff,19,total_Op,numeric
promise,cm1,cm1.arff,20,total_Opnd,numeric
promise,cm1,cm1.arff,21,branchCount,numeric
promise,cm1,cm1.arff,22,defects,"{false,true}"
promise,cm1,cm1.csv,1,loc,(nao declarado)
promise,cm1,cm1.csv,2,v(g),(nao declarado)
promise,cm1,cm1.csv,3,ev(g),(nao declarado)
promise,cm1,cm1.csv,4,iv(g),(nao declarado)
promise,cm1,cm1.csv,5,n,(nao declarado)
promise,cm1,cm1.csv,6,v,(nao declarado)
promise,cm1,cm1.csv,7,l,(nao declarado)
promise,cm1,cm1.csv,8,d,(nao declarado)
promise,cm1,cm1.csv,9,i,(nao declarado)
promise,cm1,cm1.csv,10,e,(nao declarado)
promise,cm1,cm1.csv,11,b,(nao declarado)
promise,cm1,cm1.csv,12,t,(nao declarado)
promise,cm1,cm1.csv,13,lOCode,(nao declarado)
promise,cm1,cm1.csv,14,lOComment,(nao declarado)
promise,cm1,cm1.csv,15,lOBlank,(nao declarado)
promise,cm1,cm1.csv,16,locCodeAndComment,(nao declarado)
promise,cm1,cm1.csv,17,uniq_Op,(nao declarado)
promise,cm1,cm1.csv,18,uniq_Opnd,(nao declarado)
promise,cm1,cm1.csv,19,total_Op,(nao declarado)
promise,cm1,cm1.csv,20,total_Opnd,(nao declarado)
promise,cm1,cm1.csv,21,branchCount,(nao declarado)
promise,cm1,cm1.csv,22,defects,(nao declarado)
promise,jm1,jm1.arff,1,loc,numeric
promise,jm1,jm1.arff,2,v(g),numeric
promise,jm1,jm1.arff,3,ev(g),numeric
promise,jm1,jm1.arff,4,iv(g),numeric
promise,jm1,jm1.arff,5,n,numeric
promise,jm1,jm1.arff,6,v,numeric
promise,jm1,jm1.arff,7,l,numeric
promise,jm1,jm1.arff,8,d,numeric
promise,jm1,jm1.arff,9,i,numeric
promise,jm1,jm1.arff,10,e,numeric
promise,jm1,jm1.arff,11,b,numeric
promise,jm1,jm1.arff,12,t,numeric
promise,jm1,jm1.arff,13,lOCode,numeric
promise,jm1,jm1.arff,14,lOComment,numeric
promise,jm1,jm1.arff,15,lOBlank,numeric
promise,jm1,jm1.arff,16,locCodeAndComment,numeric
promise,jm1,jm1.arff,17,uniq_Op,numeric
promise,jm1,jm1.arff,18,uniq_Opnd,numeric
promise,jm1,jm1.arff,19,total_Op,numeric
promise,jm1,jm1.arff,20,total_Opnd,numeric
promise,jm1,jm1.arff,21,branchCount,numeric
promise,jm1,jm1.arff,22,defects,"{false,true}"
promise,jm1,jm1.csv,1,loc,(nao declarado)
promise,jm1,jm1.csv,2,v(g),(nao declarado)
promise,jm1,jm1.csv,3,ev(g),(nao declarado)
promise,jm1,jm1.csv,4,iv(g),(nao declarado)
promise,jm1,jm1.csv,5,n,(nao declarado)
promise,jm1,jm1.csv,6,v,(nao declarado)
promise,jm1,jm1.csv,7,l,(nao declarado)
promise,jm1,jm1.csv,8,d,(nao declarado)
promise,jm1,jm1.csv,9,i,(nao declarado)
promise,jm1,jm1.csv,10,e,(nao declarado)
promise,jm1,jm1.csv,11,b,(nao declarado)
promise,jm1,jm1.csv,12,t,(nao declarado)
promise,jm1,jm1.csv,13,lOCode,(nao declarado)
promise,jm1,jm1.csv,14,lOComment,(nao declarado)
promise,jm1,jm1.csv,15,lOBlank,(nao declarado)
promise,jm1,jm1.csv,16,locCodeAndComment,(nao declarado)
promise,jm1,jm1.csv,17,uniq_Op,(nao declarado)
promise,jm1,jm1.csv,18,uniq_Opnd,(nao declarado)
promise,jm1,jm1.csv,19,total_Op,(nao declarado)
promise,jm1,jm1.csv,20,total_Opnd,(nao declarado)
promise,jm1,jm1.csv,21,branchCount,(nao declarado)
promise,jm1,jm1.csv,22,defects,(nao declarado)
promise,kc1,kc1.arff,1,loc,numeric
promise,kc1,kc1.arff,2,v(g),numeric
promise,kc1,kc1.arff,3,ev(g),numeric
promise,kc1,kc1.arff,4,iv(g),numeric
promise,kc1,kc1.arff,5,n,numeric
promise,kc1,kc1.arff,6,v,numeric
promise,kc1,kc1.arff,7,l,numeric
promise,kc1,kc1.arff,8,d,numeric
promise,kc1,kc1.arff,9,i,numeric
promise,kc1,kc1.arff,10,e,numeric
