metrica,n_projetos_com,ausente_em
CALL_PAIRS,10,JM1; KC1
CONDITION_COUNT,10,JM1; KC1
CYCLOMATIC_DENSITY,10,JM1; KC1
DECISION_COUNT,10,JM1; KC1
DECISION_DENSITY,8,JM1; KC1; MC1; PC5
DESIGN_DENSITY,10,JM1; KC1
EDGE_COUNT,10,JM1; KC1
ESSENTIAL_DENSITY,10,JM1; KC1
GLOBAL_DATA_COMPLEXITY,4,CM1; JM1; KC1; MW1; PC1; PC2; PC3; PC4
GLOBAL_DATA_DENSITY,4,CM1; JM1; KC1; MW1; PC1; PC2; PC3; PC4
LOC_BLANK,11,PC2
MAINTENANCE_SEVERITY,10,JM1; KC1
MODIFIED_CONDITION_COUNT,10,JM1; KC1
MULTIPLE_CONDITION_COUNT,10,JM1; KC1
NODE_COUNT,10,JM1; KC1
NORMALIZED_CYLOMATIC_COMPLEXITY,10,JM1; KC1
NUMBER_OF_LINES,10,JM1; KC1
PARAMETER_COUNT,10,JM1; KC1
PERCENT_COMMENTS,10,JM1; KC1
