modelo,termo,coeficiente,erro_padrao,p_valor,razao_de_chances,ic95_inferior,ic95_superior
M0_nulo,Intercept,-1.550986,0.019967,0.0,0.212039,0.203901,0.220502
M1_projeto,Intercept,-1.91482,0.165282,4.902004927559971e-31,0.147368,0.10659,0.203748
M1_projeto,C(project)[T.JM1],0.618913,0.167571,0.00022124186332883597,1.856909,1.337069,2.578858
M1_projeto,C(project)[T.KC1],0.896869,0.177915,4.6310862686806013e-07,2.451915,1.730071,3.474937
M1_projeto,C(project)[T.KC3],0.435743,0.247841,0.07872080930662949,1.546112,0.951214,2.513065
M1_projeto,C(project)[T.MC1],-1.828013,0.222649,2.206231226507253e-16,0.160733,0.103893,0.24867
M1_projeto,C(project)[T.MC2],1.30456,0.249782,1.7625096845337163e-07,3.686067,2.259166,6.014207
M1_projeto,C(project)[T.MW1],-0.209879,0.26226,0.4235542476164875,0.810683,0.484859,1.35546
M1_projeto,C(project)[T.PC1],-0.442005,0.212755,0.03775216252229834,0.642746,0.423587,0.975296
M1_projeto,C(project)[T.PC2],-1.904265,0.301977,2.8634378710411134e-10,0.148932,0.082403,0.269173
M1_projeto,C(project)[T.PC3],-0.036407,0.189318,0.8475030519397038,0.964248,0.665335,1.397451
M1_projeto,C(project)[T.PC4],0.078854,0.184035,0.6683070504096577,1.082046,0.754388,1.552018
M1_projeto,C(project)[T.PC5],0.946811,0.173919,5.210588641272396e-08,2.577477,1.832966,3.624391
M2_projeto_complexidade,Intercept,-3.162873,0.175785,2.2182771253879977e-72,0.042304,0.029975,0.059705
M2_projeto_complexidade,C(project)[T.JM1],0.738367,0.170145,1.4271342459053436e-05,2.092515,1.499137,2.92076
M2_projeto_complexidade,C(project)[T.KC1],1.233329,0.181277,1.0206550412967449e-11,3.432637,2.406161,4.897011
M2_projeto_complexidade,C(project)[T.KC3],0.487018,0.251299,0.05262327272409639,1.627456,0.994496,2.663273
M2_projeto_complexidade,C(project)[T.MC1],-1.50135,0.225143,2.5856022360347178e-11,0.222829,0.143328,0.346429
M2_projeto_complexidade,C(project)[T.MC2],1.278432,0.255484,5.616327096865402e-07,3.591006,2.176446,5.924947
M2_projeto_complexidade,C(project)[T.MW1],-0.146395,0.265146,0.5808598422240321,0.863817,0.513723,1.452493
M2_projeto_complexidade,C(project)[T.PC1],-0.475995,0.21563,0.027281680178543644,0.621266,0.40713,0.948031
M2_projeto_complexidade,C(project)[T.PC2],-1.674603,0.303964,3.604502528427986e-08,0.187382,0.103275,0.339988
