metrica,escala,coeficiente,razao_de_chances,ic95_inferior,ic95_superior,p_valor,estatistica_LR_vs_M1,pseudo_r2,aic,ressalva
CYCLOMATIC_COMPLEXITY,original,0.036198,1.03686,1.03267,1.04107,1.0052077610551739e-68,411.121,0.08847,14713.75,
CYCLOMATIC_COMPLEXITY,log1p,0.642986,1.90215,1.8087,2.00043,4.0305804641816965e-138,639.828,0.10267,14485.05,
DESIGN_COMPLEXITY,original,0.057533,1.05922,1.05209,1.06639,1.1958950733405363e-62,373.793,0.08616,14751.08,
DESIGN_COMPLEXITY,log1p,0.74739,2.11148,1.99293,2.23709,9.031703029066449e-142,650.78,0.10334,14474.09,
ESSENTIAL_COMPLEXITY,original,0.041291,1.04216,1.03556,1.04879,3.2834359820183535e-37,200.576,0.07541,14924.3,
ESSENTIAL_COMPLEXITY,log1p,0.437485,1.54881,1.46788,1.6342,1.8322085105026035e-57,245.783,0.07821,14879.09,
HALSTEAD_DIFFICULTY,original,0.018697,1.01887,1.01675,1.021,5.133998324559065e-69,364.244,0.08556,14760.63,
HALSTEAD_DIFFICULTY,log1p,0.621677,1.86205,1.76621,1.96309,1.192426245213939e-117,568.037,0.09821,14556.84,
HALSTEAD_EFFORT,original,0.0,1.0,1.0,1.0,8.942718849556322e-11,86.917,0.06835,15037.96,
HALSTEAD_EFFORT,log1p,0.268538,1.30805,1.28231,1.33431,1.580056282039468e-154,784.843,0.11166,14340.03,
LOC_TOTAL,original,0.006277,1.0063,1.00563,1.00696,2.7175782925102247e-77,495.114,0.09368,14629.76,
LOC_TOTAL,log1p,0.698066,2.00986,1.92304,2.10061,9.420067219622328e-211,1069.1,0.12931,14055.77,
HALSTEAD_ERROR_EST,original,0.346679,1.41436,1.33826,1.4948,1.0995319102612786e-34,231.056,0.0773,14893.82,CIRCULAR
HALSTEAD_ERROR_EST,log1p,1.669718,5.31067,4.63227,6.08843,1.0431304858409739e-126,663.241,0.10412,14461.63,CIRCULAR
